# ptxas phase registry (binary-derived, CUDA 13.0.88)
#
# All 159 phase IDs from the name table at VA 0x22BD0C0 (file off 0x1EBD0C0, rodata delta 0x400000).
# Verified byte-exact against extracted/phase_names.json (count 159) and
# decoded/ptxas-passes/phase_pipeline.tsv (159 rows): ZERO mismatches.
#
# bin_index : phase ID; index into name table 0x22BD0C0 AND the 159-arm factory jump table 0x22BBEB8.
# phase_name : exact plaintext string (no decoding needed).
# name_va    : VA of the name string in .rodata.
# is_default : true for IDs 0..156 (in the default schedule 0x22BEEA0, count 157);
#              false for 157 (DebuggerBreak) and 158 (NOP) -- registered but NOT dispatched
#              by default; reachable only via the recipe/named-phases path (knob 298).
#
# Factory: sub_C60D30, cmp $0x9e (158) upper bound, jmp *0x22BBEB8(,idx,8); all 159 arms distinct
#          (each phase has its own 16-byte object + vtable). Arm 157 -> 0xc60d61, arm 158 -> 0xc61ae8.
#
bin_index	phase_name	name_va	is_default
0	OriCheckInitialProgram	0x22bc429	true
1	ApplyNvOptRecipes	0x22bc440	true
2	PromoteFP16	0x22bc452	true
3	AnalyzeControlFlow	0x22bc45e	true
4	AdvancedPhaseBeforeConvUnSup	0x22bc471	true
5	ConvertUnsupportedOps	0x22bc48e	true
6	SetControlFlowOpLastInBB	0x22bc4a4	true
7	AdvancedPhaseAfterConvUnSup	0x22bc4bd	true
8	UpdateAfterConvertUnsupportedOps	0x22bcf10	true
9	OriCreateMacroInsts	0x22bc4d9	true
10	ReportInitialRepresentation	0x22bc4ed	true
11	EarlyOriSimpleLiveDead	0x22bc509	true
12	ReplaceUniformsWithImm	0x22bc520	true
13	OriSanitize	0x22bc537	true
14	GeneralOptimizeEarly	0x22bc543	true
15	MergeEquivalentConditionalFlow	0x22bcf38	true
16	DoSwitchOptFirst	0x22bc558	true
17	OriBranchOpt	0x22bc569	true
18	OriPerformLiveDeadFirst	0x22bc576	true
19	OptimizeBindlessHeaderLoads	0x22bc58e	true
20	OriLoopSimplification	0x22bc5aa	true
21	OriSplitLiveRanges	0x22bc5c0	true
22	OriCopyProp	0x21e6ce1	true
23	PerformPGO	0x22bc5d3	true
24	OriStrengthReduce	0x22bc5de	true
25	OriLoopUnrolling	0x22bc5f0	true
26	GenerateMovPhi	0x22bc601	true
27	OriPipelining	0x22bc610	true
28	StageAndFence	0x22bc61e	true
29	OriRemoveRedundantBarriers	0x22bc62c	true
30	AnalyzeUniformsForSpeculation	0x22bc647	true
