## ptxas CUDA 13.0.88 — EIATTR (.nv.info attribute) enumeration
## INDEPENDENTLY RE-EXTRACTED FROM BINARY (this run) by walking the .rodata name-pointer table at
##   file 0x1FFDC20 / VMA 0x23FDC20 (97 x 16-byte entries, terminates when the name ptr leaves .rodata):
##   struct { const char *name; u32 fmt_kind; u32 fmt_sub; }   -> EIATTR code == array index.
##   The extraction reproduced all 97 names AND both fmt words byte-for-byte (see body). EIATTR_ERROR string
##   @ file 0x1FFC6C7 / VMA 0x23FC6C7 (rodata file->VMA delta = +0x400000). ERROR_LAST is 96 in the 13.0.88
##   binary; earlier CUDA toolchains exposed a shorter enum (ERROR_LAST near 52, then 59) — the enum has grown
##   over releases to 97 entries. Codes 0..55 retain the historical low-range ordering; binary-emitted .nv.info
##   bytes confirm e.g. 0x2f=47=REGCOUNT, 0x17=23=KPARAM_INFO, 0x36=54=SW_WAR, 0x37=55=CUDA_API_VERSION, 0x0a=10=PARAM_CBANK.
## fmt_kind/fmt_sub are the per-entry classification words (NOT the on-wire EIFMT byte; EIFMT is chosen per emit call:
##   EIFMT_NVAL=1 no payload, EIFMT_BVAL=2 1-byte, EIFMT_HVAL=3 2-byte, EIFMT_SVAL=4 size-prefixed blob).
## status: baseline=present in earlier toolchains (low-range codes); NEW=added since; moved=reindexed.
code	name	fmt_kind	fmt_sub	status	notes
0	EIATTR_ERROR	0x1	0x0	baseline	sentinel, never emitted
1	EIATTR_PAD	0x1	0x0	baseline	4/8-byte alignment padding element
2	EIATTR_IMAGE_SLOT	0x1	0x0	baseline	image-slot record {symidx, slot}
3	EIATTR_JUMPTABLE_RELOCS	0x1	0x0	baseline	jump-table-reloc record {cbank,start,size}
4	EIATTR_CTAIDZ_USED	0x1	0x0	baseline	nval
5	EIATTR_MAX_THREADS	0x1	0x0	baseline	max-thread record {x,y,z}
6	EIATTR_IMAGE_OFFSET	0x1	0x0	baseline	image-offset record
7	EIATTR_IMAGE_SIZE	0x1	0x0	baseline	(g) image-size record
8	EIATTR_TEXTURE_NORMALIZED	0x1	0x0	baseline	(g)
9	EIATTR_SAMPLER_INIT	0x1	0x0	baseline	(g) sampler-initialization record
10	EIATTR_PARAM_CBANK	0x1	0x0	baseline	param-cbank record {symidx,offset,bytes}
11	EIATTR_SMEM_PARAM_OFFSETS	0x1	0x0	baseline	deprecated by KPARAM_INFO
12	EIATTR_CBANK_PARAM_OFFSETS	0x1	0x0	baseline	deprecated by KPARAM_INFO
13	EIATTR_SYNC_STACK	0x1	0x0	baseline	deprecated by CRS_STACK_SIZE
14	EIATTR_TEXID_SAMPID_MAP	0x1	0x0	baseline
15	EIATTR_EXTERNS	0x1	0x0	baseline	array of symtab indices
