code	name	eifmt	observed_value	status	notes
0	EICOMPAT_ATTR_ERROR	-	-	inferred	sentinel; string present @ .rodata VMA 0x2405bd3; never emitted
1	EICOMPAT_ATTR_PAD	-	-	inferred	alignment padding element; string present
2	EICOMPAT_ATTR_ISA_CLASS	BVAL	0x01	confirmed	ISA class / arch-variant selector (carries the 'a'/'f' distinction; sm_90==sm_90a in e_flags)
3	EICOMPAT_ATTR_INST_TENSORMAP_V1	BVAL	0x00	confirmed	tensormap v1 instruction requirement level
4	EICOMPAT_ATTR_INST_TCGEN05_MMA_DEPRECATED	-	-	inferred	string present; deprecated tcgen05 MMA variant (fills code 4 by string order)
5	EICOMPAT_ATTR_INST_TCGEN05_MMA	BVAL	0x05	confirmed	tcgen05 MMA instruction-class requirement level (Blackwell tensor core)
6	EICOMPAT_ATTR_ENABLE_OPPORTUNISTIC_FINALIZATION	BVAL	0x01	confirmed	opportunistic-finalization enable flag
7	EICOMPAT_ATTR_MERCURY_ISA_MAJOR_MINOR_VERSION	HVAL	0x0101	confirmed	Mercury ISA major.minor (0x0101 = v1.1 on sm_90)
8	EICOMPAT_ATTR_MERCURY_ISA_PATCH_VERSION	-	-	inferred	string present; Mercury ISA patch component (fills code 8 by string order)
9	EICOMPAT_ATTR_CUDA_ACCELERATOR_TARGET	BVAL	0x00	confirmed	accelerator target id (0x0 = none); FIRST element emitted
10	EICOMPAT_ATTR_(reserved)	-	-	inferred	gap; no string anchor recovered for code 10
11	EICOMPAT_ATTR_CAN_FASTPATH_FINALIZE	SVAL	(8-byte blob)	confirmed	fast-path-finalize capability descriptor (sized payload, 8 bytes observed)
