order	eifmt	eiattr_code	eiattr_name	payload_meaning (decoded)
1	SVAL	47	EIATTR_REGCOUNT	{u32 symidx=0xe, u32 regCount=0xa}  (regcount record; (g) module-level)
2	SVAL	17	EIATTR_FRAME_SIZE	{u32 symidx, u32 frameSize}  (frame-size record)
3	SVAL	18	EIATTR_MIN_STACK_SIZE	{u32 symidx, s32 stackSize}  (min-stack-size record; -1 = unknown/recursion)
order	eifmt	eiattr_code	eiattr_name	observed_value / payload
1	SVAL	55	EIATTR_CUDA_API_VERSION	0x82 (=130; link-time API version stamp, u32 word)
2	SVAL	23	EIATTR_KPARAM_INFO	param ordinal 2 (12-byte record; bitfield below)
3	SVAL	23	EIATTR_KPARAM_INFO	param ordinal 1
4	SVAL	23	EIATTR_KPARAM_INFO	param ordinal 0 (params emitted in DESCENDING ordinal)
5	HVAL	80	EIATTR_SPARSE_MMA_MASK	0x0 (Mercury-path attr; emitted by default on sm_90, absent on sm_75)
6	HVAL	27	EIATTR_MAXREG_COUNT	0xff (255 = no maxregcount limit)
7	HVAL	95	EIATTR_MERCURY_ISA_VERSION	0x101 (Mercury ISA v1.1 on sm_90; =0x0 on sm_75)
8	SVAL	28	EIATTR_EXIT_INSTR_OFFSETS	0x90 (byte offset of EXIT instr in .text; array of u32)
9	HVAL	25	EIATTR_CBANK_PARAM_SIZE	0x14 (=20 bytes total param size)
10	SVAL	10	EIATTR_PARAM_CBANK	{u32 symidx=0xf(.nv.constant0.<entry>), u16 offset=0x210, u16 bytes=0x14}
11	SVAL	54	EIATTR_SW_WAR	0x8 (SW workaround bitmask, u32 word)
