class	index	abi_value	name	handler	bit_actions	status
CUDA	0	0	R_CUDA_NONE	NVRH_NONE	(none)	baseline
CUDA	1	1	R_CUDA_32	NVRH_EITHER	bits[0..31]=ADDR>>0	baseline
CUDA	2	2	R_CUDA_64	NVRH_EITHER	bits[0..63]=ADDR>>0	baseline
CUDA	3	3	R_CUDA_G32	NVRH_DRIVER	bits[0..31]=GADDR>>0	baseline
CUDA	4	4	R_CUDA_G64	NVRH_DRIVER	bits[0..63]=GADDR>>0	baseline
CUDA	5	5	R_CUDA_ABS32_26	NVRH_EITHER	bits[26..57]=ADDR>>0	baseline
CUDA	6	6	R_CUDA_TEX_HEADER_INDEX	NVRH_DRIVER	bits[0..19]=HEADER>>0	baseline
CUDA	7	7	R_CUDA_SAMP_HEADER_INDEX	NVRH_DRIVER	bits[20..31]=HEADER>>0	baseline
CUDA	8	8	R_CUDA_SURF_HW_DESC	NVRH_DRIVER	bits[0..31]=HWDESC>>0	baseline
CUDA	9	9	R_CUDA_SURF_HW_SW_DESC	NVRH_DRIVER	bits[0..31]=HWSWDESC>>0	baseline
CUDA	10	10	R_CUDA_ABS32_LO_26	NVRH_EITHER	bits[26..57]=LOADDR>>0	baseline
CUDA	11	11	R_CUDA_ABS32_HI_26	NVRH_EITHER	bits[26..57]=HIADDR>>32	baseline
CUDA	12	12	R_CUDA_ABS32_23	NVRH_EITHER	bits[23..54]=ADDR>>0	baseline
CUDA	13	13	R_CUDA_ABS32_LO_23	NVRH_EITHER	bits[23..54]=LOADDR>>0	baseline
CUDA	14	14	R_CUDA_ABS32_HI_23	NVRH_EITHER	bits[23..54]=HIADDR>>32	baseline
CUDA	15	15	R_CUDA_ABS24_26	NVRH_LINKER	bits[26..49]=ADDR>>0	baseline
CUDA	16	16	R_CUDA_ABS24_23	NVRH_LINKER	bits[23..46]=ADDR>>0	baseline
CUDA	17	17	R_CUDA_ABS16_26	NVRH_LINKER	bits[26..41]=ADDR>>0	baseline
CUDA	18	18	R_CUDA_ABS16_23	NVRH_LINKER	bits[23..38]=ADDR>>0	baseline
CUDA	19	19	R_CUDA_TEX_SLOT	NVRH_LINKER	bits[32..39]=SLOT>>0	baseline
CUDA	20	20	R_CUDA_SAMP_SLOT	NVRH_LINKER	bits[40..44]=SLOT>>0	baseline
CUDA	21	21	R_CUDA_SURF_SLOT	NVRH_LINKER	bits[26..31]=SLOT>>0	baseline
CUDA	22	22	R_CUDA_TEX_BINDLESSOFF13_32	NVRH_LINKER	bits[32..44]=SHIFT2>>0	baseline
CUDA	23	23	R_CUDA_TEX_BINDLESSOFF13_47	NVRH_LINKER	bits[47..59]=SHIFT2>>0	baseline
CUDA	24	24	R_CUDA_CONST_FIELD19_28	NVRH_LINKER	bits[28..41]=SHIFT2>>0 ; bits[42..45]=CBANK>>0 ; bits[26..26]=CBANK4>>0	baseline
CUDA	25	25	R_CUDA_CONST_FIELD19_23	NVRH_LINKER	bits[23..36]=SHIFT2>>0 ; bits[37..41]=CBANK>>0	baseline
CUDA	26	26	R_CUDA_TEX_SLOT9_49	NVRH_LINKER	bits[49..57]=SLOT>>0	baseline
CUDA	27	27	R_CUDA_6_31	NVRH_LINKER	bits[31..36]=ADDR>>0	baseline
CUDA	28	28	R_CUDA_2_47	NVRH_LINKER	bits[47..48]=ADDR>>0	baseline
CUDA	29	29	R_CUDA_TEX_BINDLESSOFF13_41	NVRH_LINKER	bits[41..53]=SHIFT2>>0	baseline
CUDA	30	30	R_CUDA_TEX_BINDLESSOFF13_45	NVRH_LINKER	bits[45..57]=SHIFT2>>0	baseline
CUDA	31	31	R_CUDA_FUNC_DESC32_23	NVRH_DRIVER	bits[23..54]=FDESC>>0	baseline
CUDA	32	32	R_CUDA_FUNC_DESC32_LO_23	NVRH_DRIVER	bits[23..54]=LOFDESC>>0	baseline
CUDA	33	33	R_CUDA_FUNC_DESC32_HI_23	NVRH_DRIVER	bits[23..54]=HIFDESC>>32	baseline
CUDA	34	34	R_CUDA_FUNC_DESC_32	NVRH_DRIVER	bits[0..31]=FDESCA>>0	baseline
CUDA	35	35	R_CUDA_FUNC_DESC_64	NVRH_DRIVER	bits[0..63]=FDESCA>>0	baseline
CUDA	36	36	R_CUDA_CONST_FIELD21_26	NVRH_LINKER	bits[26..41]=ADDR>>0 ; bits[42..46]=CBANK>>0	baseline
CUDA	37	37	R_CUDA_QUERY_DESC21_37	NVRH_LINKER	bits[37..52]=ADDR>>0 ; bits[53..57]=CBANK>>0	baseline
CUDA	38	38	R_CUDA_CONST_FIELD19_26	NVRH_LINKER	bits[26..39]=SHIFT2>>0 ; bits[40..44]=CBANK>>0	baseline
CUDA	39	39	R_CUDA_CONST_FIELD21_23	NVRH_LINKER	bits[23..38]=ADDR>>0 ; bits[39..43]=CBANK>>0	baseline
CUDA	40	40	R_CUDA_PCREL_IMM24_26	NVRH_LINKER	bits[26..49]=PCREL>>0	baseline
CUDA	41	41	R_CUDA_PCREL_IMM24_23	NVRH_LINKER	bits[23..46]=PCREL>>0	baseline
CUDA	42	42	R_CUDA_ABS32_20	NVRH_EITHER	bits[20..51]=ADDR>>0	baseline
CUDA	43	43	R_CUDA_ABS32_LO_20	NVRH_EITHER	bits[20..51]=LOADDR>>0	baseline
CUDA	44	44	R_CUDA_ABS32_HI_20	NVRH_EITHER	bits[20..51]=HIADDR>>32	baseline
CUDA	45	45	R_CUDA_ABS24_20	NVRH_LINKER	bits[20..43]=ADDR>>0	baseline
