kind	value	name_or_macro	on_wire_section	purpose / binary evidence
HDR	0x41	e_ident[EI_OSABI]	(ELF ident byte 7)	BINARY: emitted cubins carry 0x41 (earlier toolchains used the CUDA OSABI tag 0x33)
HDR	0x08	e_ident[EI_ABIVERSION]	(ELF ident byte 8)	BINARY: 0x08 (cuobjdump prints ABI=8); earlier builds used 7
HDR	190	EM_CUDA	(e_machine)	device-ELF machine id (0xbe); host ptxas binary itself is EM_X86_64=62
HDR	1	ET_REL	(e_type)	relocatable output (ptxas -c) — keeps SHT_CUDA_* memory-space types
HDR	2	ET_EXEC	(e_type)	final cubin (default) — memory-space sections lowered to PROGBITS/NOBITS
EFLAG	0x000000ff	format/ABI nibble	(e_flags bits 0..7)	BINARY: 0x04 for sm_<=90, 0x02 for Blackwell sm_100/103/120/121
EFLAG	0x0000ff00	real SM (SM*10)	(e_flags bits 8..15)	BINARY: sm_90->0x5a sm_100->0x64 sm_103->0x67 sm_120->0x78 sm_121->0x79 (earlier toolchains carried real-SM in the low byte)
EFLAG	0x00ff0000	virtual/PTX SM	(e_flags bits 16..23)	EF_CUDA_VIRTUAL_SM; carries compute_ target; 0 when virtual==real
EFLAG	0xff000000	high format byte	(e_flags bits 24..31)	BINARY: constant 0x06 across all 13.0.88 samples
EFLAG	0x100	EF_CUDA_TEXMODE_UNIFIED	(e_flags)	unified texture mode
EFLAG	0x200	EF_CUDA_TEXMODE_INDEPENDENT	(e_flags)	independent texture mode (set via .target texmode_independent)
EFLAG	0x400	EF_CUDA_64BIT_ADDRESS	(e_flags)	64-bit device address model
EFLAG	0x80000000	EF_CUDA_MERCURY	(e_flags MSB)	set on pre-finalize Mercury ELF; clear on final SASS cubin
SHT	0x00	SHT_NULL	(index 0)	standard null section
SHT	0x01	SHT_PROGBITS	.text.<entry>, .nv.constant* (final), .debug_frame	loadable program data; .text is ALWAYS PROGBITS in both modes
SHT	0x02	SHT_SYMTAB	.symtab	symbol table (24-byte ELF64 entries)
SHT	0x03	SHT_STRTAB	.strtab, .shstrtab	string tables
SHT	0x04	SHT_RELA	.rela.<sec>, .nv.merc.rela	relocations WITH addend (24-byte: r_offset, r_info=(sym<<32)|type, r_addend)
SHT	0x07	SHT_NOTE	.note.nv.tkinfo, .note.nv.cuinfo	ELF notes (binary uses sh_type 7; standard NOTE)
SHT	0x08	SHT_NOBITS	.nv.global, .nv.shared.<e> (final)	zero-init / no file data
SHT	0x09	SHT_REL	.rel.<sec>	relocations WITHOUT addend (not seen in normal ptxas output)
SHT	0x12	SHT_SYMTAB_SHNDX	.symtab_shndx, .nv.merc.symtab_shndx	extended section-index table (>SHN_LORESERVE)
SHT	0x70000000	SHT_CUDA_INFO	.nv.info, .nv.info.<entry>	BINARY-confirmed 0x70000000 in BOTH modes; EIATTR attribute stream
SHT	0x70000001	SHT_CUDA_CALLGRAPH	.nv.callgraph	BINARY-confirmed 0x70000001 in BOTH modes; 8-byte call records
