index	va	label	format_id	width_bits	active_slots	slot_sizes	slot_types	slot_flags	encoder_count	descriptor_bytes
0	0x23F1D70	64b_B	4	64	1	8		0	70	136
1	0x23F1DF8	128b_0x03	8	128	2	10,17	28	0,3	202	136
2	0x23F1E80	128b_0x09_idx2	9	128	2	8,17	28	0,4	0	136
3	0x23F1F08	64b_A	3	64	1	10		0	215	136
4	0x23F1F90	64b_C	2	64	1	8	12	0	20	136
5	0x23F2018	128b_0x07	6	128	2	10,17	24	0,3	26	136
6	0x23F20A0	128b_0x04_idx6	4	128	2	10,17	20	0,3	0	136
7	0x23F2128	128b_0x09	7	128	2	8,17	24	0,4	2	136
8	0x23F21B0	128b_0x0A	10	128	2	10,17		0,3	135	136
9	0x23F2238	64b_D	2	64	1	10	14	0	17	136
10	0x23F22C0	128b_0x09_idx10	9	128	2	8,17	28	0,4	0	136
11	0x23F2348	128b_0x0D	8	128	2	10,17	28	0,3	11	136
12	0x23F23D0	128b_0x0B_idx12	11	128	2	8,17		0,4	0	136
13	0x23F2458	128b_0x08_idx13	8	128	2	8,17	26	0,4	0	136
14	0x23F24E0	64b_0x03_idx14	3	64	1	6	12	0	0	136
15	0x23F2568	128b_0x08_idx15	8	128	2	12,17	30	0,2	0	136
16	0x23F25F0	128b_0x12	9	128	2	10,17	30	0,3	21	136
17	0x23F2678	128b_0x13	9	128	2	12,17		0,2	143	136
18	0x23F2700	128b_0x0B_idx18	11	128	2	6,17	30	0,5	0	136
19	0x23F2788	64b_0x05_idx19	5	64	1	6		0	0	136
20	0x23F2810	128b_0x16	7	128	2	10,17	26	0,3	6	136
21	0x23F2898	128b_0x05_idx21	5	128	2	12,17	24	0,2	0	136
22	0x23F2920	128b_0x05_idx22	5	128	2	8,17	20	0,4	0	136
23	0x23F29A8	128b_0x19	7	128	2	12,17	28	0,2	152	136
24	0x23F2A30	128b_0x06_idx24	6	128	2	12,17	26	0,2	0	136
25	0x23F2AB8	128b_0x0D_idx25	13	128	3	12,17,33	42	0,2,9	0	136
26	0x23F2B40	128b_0x0E_idx26	14	128	3	8,17,33	40	0,4,11	0	136
27	0x23F2BC8	128b_0x07_idx27	7	128	2	8,17	24	0,4	0	136
28	0x23F2C50	64b_E	1	64	1	10	12	0	1	136
29	0x23F2CD8	128b_0x10_idx29	16	128	3	8,17,33	44,52,68,84,100,116	0,4,11	0	136
30	0x23F2D60	64b_0x04_idx30	4	64	1	6	14	0	0	136
31	0x23F2DE8	128b_0x21	6	128	2	10,17	24	0,3	2	136
32	0x23F2E70	64b_0x02_idx32	2	64	1	12		0	0	136
33	0x23F2EF8	128b_0x23	7	128	2	12,17	28	0,2	9	136
34	0x23F2F80	128b_0x07_idx34	7	128	2	14,17	30	0,1	0	136
35	0x23F3008	128b_0x08_idx35	8	128	2	14,17		0,1	0	136
36	0x23F3090	128b_0x0C_idx36	12	128	3	14,17,33	42	0,1,8	0	136
37	0x23F3118	128b_0x0D_idx37	13	128	3	10,17,33	40	0,3,10	0	136
