va	label	element_type	count	is_identity	has_gaps	values
0x22FCD20	rounding_mode_023	dword	3	False	False	0,2,3
0x22FCD30	gap_table_neg1	dword	5	False	True	0,-1,2,3,4
0x22FCD50	gap_table_dual_neg1	dword	6	False	True	0,-1,1,-1,2,3
0x22FCD70	swap_01	dword	4	False	False	1,0,2,3
0x22FCD80	gap_no_3	dword	4	False	False	0,1,2,4
0x22FCD90	fold_last_two	dword	4	False	False	0,1,2,2
0x22FCDA0	large_jump_9_to_12	dword	19	False	False	0,1,2,3,4,5,6,7,8,12,13,14,15,17,18,19,20,21,22
0x22FCDF4	fold_3_3	dword	4	False	False	1,2,3,3
0x22FCE1C	complex_remapping_15	dword	15	False	True	0,10,11,17,19,20,-1,25,26,28,42,35,12,33,34
0x22FCE60	alt_remapping_11	dword	11	False	False	10,11,17,19,20,21,25,26,28,34,35
0x22FCEA4	pair_fold_group	dword	18	False	False	0,1,1,2,3,4,5,0,1,2,3,4,5,7,8,10,11,12
0x22FCEF4	identity_4a	dword	4	True	False	0,1,2,3
0x22FCF10	compound_remap_13	dword	13	False	False	0,1,0,1,6,7,8,17,18,19,20,21,22
0x22FCF50	offset_2_to_6	dword	6	False	False	0,2,3,4,5,6
0x22FCF70	rotation	dword	5	False	False	1,2,3,0,4
0x22FCF90	fold_0_1_1_2_2	dword	5	False	False	0,1,1,2,2
0x22FCFAC	pair_1_3	dword	2	False	False	1,3
0x22FCFC4	fold_2_dup	dword	9	False	False	0,1,2,2,3,4,5,6,7
0x22FCFF0	split_block	dword	9	False	False	0,1,2,4,5,0,3,4,5
0x22FD020	identity_byte_64	byte	64	True	None	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0x22FD060	stride_skip_byte_36	byte	36	False	None	0,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,31,33,34,36,37,39,40,42,43,45,46,48,49,51,52
0x22FD0A0	identity_byte_96	byte	96	True	None	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0x22FD100	small_identity_8	dword	8	True	False	0,1,2,3,4,5,6,7
0x22FD150	skip_4	dword	6	False	False	0,1,2,3,5,6
0x22FD170	skip_1_3	dword	5	False	False	0,2,4,5,6
0x22FD18C	stride_9_then_1_4	dword	9	False	False	0,9,18,27,36,1,2,3,4
0x22FD1B8	fold_1_2_2_3_4	dword	5	False	False	1,2,2,3,4
0x22FD1E0	jump_5_to_9	dword	13	False	False	0,1,2,3,4,5,9,10,11,12,13,14,15
0x22FD220	identity_byte_256	byte	256	True	None	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0x22FD320	power_encoding_1_3_15	dword	3	False	False	1,3,15
0x22FD354	identity_7_plus_3	dword	10	False	False	1,2,3,4,5,6,0,1,2,3
0x22FD384	identity_22	dword	22	False	False	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,7
0x22FD3E4	identity_17_rotated	dword	17	False	False	1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5
0x22FD440	identity_8_dup_tail	dword	13	False	False	0,1,2,3,4,5,6,7,2,3,4,5,6
0x22FD480	identity_5	dword	5	True	False	0,1,2,3,4
0x22FD498	tristate	dword	3	True	False	0,1,2
0x22FD4C0	identity_11	dword	11	True	False	0,1,2,3,4,5,6,7,8,9,10
0x22FD500	identity_9	dword	9	True	False	0,1,2,3,4,5,6,7,8
0x22FD540	identity_10	dword	10	True	False	0,1,2,3,4,5,6,7,8,9
0x22FD570	quaternary	dword	4	True	False	0,1,2,3
