opcode	encoding_slot	is_sentinel
0	0	False
1	0	False
2	0	False
3	0	False
4	0	False
5	160	False
6	241	False
7	148	False
8	97	False
9	0	False
10	93	False
11	94	False
12	0	False
13	95	False
14	0	False
15	0	False
16	0	False
17	0	False
18	0	False
19	0	False
20	29	False
21	0	False
22	37	False
23	0	False
24	188	False
25	190	False
26	0	False
27	0	False
28	0	False
29	32	False
30	271	False
31	159	False
32	72	False
33	0	False
34	55	False
35	42	False
36	53	False
37	0	False
38	0	False
39	0	False
40	355	True
41	0	False
42	0	False
43	0	False
44	0	False
45	0	False
46	0	False
47	224	False
48	235	False
49	355	True
50	150	False
51	87	False
52	0	False
53	0	False
54	0	False
55	16	False
56	0	False
57	98	False
58	153	False
59	183	False
60	288	False
61	18	False
62	302	False
63	303	False
64	0	False
65	248	False
66	0	False
67	0	False
68	283	False
69	164	False
70	168	False
71	130	False
72	0	False
73	0	False
74	12	False
75	13	False
76	0	False
77	172	False
78	30	False
79	0	False
80	0	False
81	0	False
82	0	False
83	0	False
84	86	False
85	88	False
86	89	False
87	0	False
88	187	False
89	0	False
90	0	False
91	0	False
92	0	False
93	0	False
94	0	False
95	0	False
96	0	False
97	0	False
98	0	False
99	1	False
100	25	False
101	33	False
102	38	False
103	0	False
104	44	False
105	45	False
106	59	False
107	0	False
108	60	False
109	62	False
110	68	False
111	71	False
112	78	False
113	79	False
114	106	False
115	0	False
116	0	False
117	0	False
118	147	False
119	149	False
120	0	False
121	0	False
122	179	False
123	180	False
124	192	False
125	191	False
126	199	False
127	215	False
128	0	False
129	221	False
130	225	False
131	2	False
132	10	False
133	48	False
134	0	False
135	0	False
136	0	False
137	0	False
138	0	False
139	0	False
140	0	False
141	120	False
142	126	False
143	129	False
144	139	False
145	143	False
146	151	False
147	163	False
148	0	False
149	200	False
150	201	False
151	206	False
152	207	False
153	208	False
154	213	False
155	0	False
156	214	False
157	0	False
158	216	False
159	217	False
160	219	False
161	227	False
162	229	False
163	290	False
164	7	False
165	0	False
166	0	False
167	0	False
168	36	False
169	355	True
170	0	False
171	0	False
172	110	False
173	115	False
174	114	False
175	117	False
176	196	False
177	254	False
178	255	False
179	256	False
180	257	False
181	258	False
182	259	False
183	260	False
184	261	False
185	0	False
186	0	False
187	262	False
188	243	False
189	0	False
190	0	False
191	0	False
192	0	False
193	0	False
194	0	False
195	0	False
196	0	False
197	0	False
198	0	False
199	0	False
200	0	False
201	0	False
202	96	False
203	0	False
204	169	False
205	178	False
206	197	False
207	239	False
208	154	False
209	0	False
210	195	False
211	175	False
212	355	True
213	355	True
214	355	True
215	355	True
216	355	True
217	309	False
218	170	False
219	355	True
220	355	True
221	0	False
