enc_op_byte	sm_90a	sm_100	sm_103	sm_110	sm_120	sm_121
0x00	1	1	1	1	1	1
0x02	8	8	8	5	56	56
0x05	1	1	1	1	1	1
0x06	1	1	1	1	1	1
0x07	10	10	10	10	10	10
0x08	20	20	20	20	20	20
0x09	1	1	1	1	1	1
0x0b	17	17	17	17	17	17
0x0c	30	30	30	30	30	30
0x10	5	5	5	20	34	34
0x11	1	1	1	1	1	1
0x12	40	40	40	40	40	40
0x13	3	3	3	3	3	3
0x16	1	1	1	1	1	1
0x17	0	0	0	3	0	0
0x18	13	13	150	147	152	152
0x19	6	6	6	6	6	6
0x1c	4	4	4	4	4	4
0x20	8	8	8	8	8	8
0x21	5	5	5	5	5	5
0x23	24	24	24	24	24	24
0x24	75	75	74	80	5	5
0x25	1	1	1	1	1	1
0x27	2	2	2	2	2	2
0x28	13	13	13	13	13	13
0x29	2	2	2	2	2	2
0x2a	6	6	6	6	6	6
0x2b	30	30	30	30	30	30
0x30	1	1	1	1	1	1
0x31	0	0	0	0	4	4
0x32	1	1	1	1	1	1
0x35	0	0	0	0	1	1
0x36	15	15	15	0	0	0
0x44	4	4	4	4	4	4
0x46	1	1	1	0	0	0
0x47	42	42	42	42	42	42
0x48	2	2	2	0	3	3
0x4d	1	1	1	1	1	1
0x50	4	4	4	4	4	4
0x80	10	10	10	10	10	10
0x82	6	6	6	6	6	6
0x85	24	24	24	24	24	24
0xac	0	1	1	1	1	1
0xb9	1	0	0	0	0	0
