# entry_format={u64 dispatch_opcode, u64 handler_ptr, u64 padding} opcode_encoding=(format_id << 8) | minor_opcode
table_id	start_va	dispatch_opcode	dispatch_opcode_hex	format_id	minor_opcode	handler_va	entry_format
sm50_7x	0x22E7AD0	1	0x0001	0	1	0xE23DF0	A
sm50_7x	0x22E7AD0	2	0x0002	0	2	0xCD0890	A
sm50_7x	0x22E7AD0	4	0x0004	0	4	0xE2E7C0	A
sm50_7x	0x22E7AD0	6	0x0006	0	6	0xE350F0	A
sm50_7x	0x22E7AD0	8	0x0008	0	8	0xE33B80	A
sm50_7x	0x22E7AD0	10	0x000A	0	10	0xE35630	A
sm50_7x	0x22E7AD0	12	0x000C	0	12	0xE340A0	A
sm50_7x	0x22E7AD0	14	0x000E	0	14	0xE30A00	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xCB54F0	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xD0AA50	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xD5A7B0	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xE3F3D0	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xE445E0	B
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xE47D20	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xE5B3D0	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xE6C270	A
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xEA6B80	B
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xEA6FE0	B
sm50_7x	0x22E7AD0	512	0x0200	2	0	0xEA7440	B
sm50_7x	0x22E7AD0	513	0x0201	2	1	0xD0A4E0	A
sm50_7x	0x22E7AD0	513	0x0201	2	1	0xD0B530	A
sm50_7x	0x22E7AD0	513	0x0201	2	1	0xDCB560	A
sm50_7x	0x22E7AD0	513	0x0201	2	1	0xDF05D0	A
sm50_7x	0x22E7AD0	513	0x0201	2	1	0xE44A20	A
