sass_class	SM100	SM103	SM110	SM120
acqbulk_	1	1	1	1
acqshminit_	1	1	1	1
arrives_	1	1	1	1
atom_fp_uniform__memdesc	1	1	1	1
atom_int_uniform__memdesc	1	1	1	1
atomg_fp_uniform__memdesc	1	1	1	1
atomg_int_uniform__memdesc	1	1	1	1
atoms_arrive__arrive	1	1	1	1
atoms_arrive__popcinc	1	1	1	1
atoms_uniform_	1	1	1	1
bmov_clear_barrier_	1	1	1	1
bra_uniform_	1	1	1	1
bra_uniform_pred_	1	1	1	1
break_inst_	1	1	1	1
break_reliability_	1	1	1	1
brx_	1	1	1	1
brxu_	1	1	1	1
bssy_	1	1	1	1
bssy_reliability_	1	1	1	1
bsync_	1	1	1	1
bsync_reliability_	1	1	1	1
cctl_c_ivall_wball_nosrc_	1	1	1	1
cctl_c_ldc_const_bindless_	1	1	1	1
cctl_c_ldc_const_bound_	1	1	1	1
cctl_c_ldc_ivall_	1	1	1	1
cctl_c_ldc_va_	1	1	1	1
cctl_c_ldcu_const_bindless_	1	1	1	1
cctl_c_ldcu_const_bound_	1	1	1	1
cctl_c_ldcu_ivall_	1	1	1	1
cctl_c_ldcu_va_	1	1	1	1
cctl_i_ivall_wball_nosrc_	1	1	1	1
cgaerrbar_	1	1	1	1
credux_	1	1	0	0
cs2r_	1	1	1	1
cs2ur_	0	0	0	1
csmtest_bop_	1	1	1	1
depbar_ur_	1	1	1	1
dmma_	1	1	1	1
elect_	1	1	1	1
endcollective_	1	1	1	1
errbar_	1	1	1	1
exit_	1	1	1	1
fence_	1	1	1	1
fence_g_	1	1	1	1
fence_t_	1	1	1	0
footprint_b_urc_	0	0	0	1
footprint_scr_b_urc_	0	0	0	1
footprint_scr_uniform_	1	1	1	1
footprint_uniform_	1	1	1	1
fswzadd_	1	1	1	1
gather_	1	1	0	0
gather_bitextract_	1	1	0	0
genmetadata_	1	1	0	0
getlmembase_	1	1	1	1
hmma_sparse_	1	1	1	1
hmma_x8_	1	1	1	1
ide_	1	1	1	1
imma_	1	1	1	1
imma_sp_	1	1	1	1
ipa_	1	1	1	1
ipa_ur_	1	1	1	1
isberd_	1	1	1	1
isbewr_	1	1	1	1
jmp_imm_uniform_	1	1	1	1
jmp_imm_uniform_pred_	1	1	1	1
jmx_	1	1	1	1
jmxu_	1	1	1	1
kill_	1	1	1	1
ldcu_256_ur_offs_	0	0	0	1
ldcu_ur_offs_	1	1	1	1
ldgdepbar_	1	1	1	1
ldgmc_fp__memdesc	1	1	1	1
ldgmc_int__memdesc	1	1	1	1
ldgsts_memdesc_	1	1	1	1
ldl_memdesc_	1	1	1	1
ldl_uniform_	1	1	1	1
lds_uniform_	1	1	1	1
ldtm_	1	1	1	0
ldtm_stat_	0	1	1	0
ldtram_	1	1	1	1
membar_	1	1	1	1
membar_async_	1	1	1	1
mov64iur_imm_	0	0	0	1
mov64iur_ur_	0	0	0	1
mov_imm64_	0	0	0	1
movm_	1	1	1	1
mxqmma_scale_	0	0	0	1
nanosleep_clear_	1	1	1	1
nop_	1	1	1	1
omma_scale_	0	0	0	1
omma_sp_scale_	0	0	0	1
pixld_	1	1	1	1
plop3_lut_2out_	1	1	1	1
plop3_lut_2out_uniform_	1	1	1	1
pmtrig_	1	1	1	1
preexit_	1	1	1	1
qadd4_rb_imm_	1	1	0	0
qadd4_rc_	1	1	0	0
qadd4_urc_	1	1	0	0
qfma4_imm_rc_	1	1	0	0
qfma4_rb_imm_	1	1	0	0
qfma4_rb_rc_	1	1	0	0
qfma4_rb_urc_	1	1	0	0
qfma4_urb_rc_	1	1	0	0
qmma_	0	0	0	1
qmma_scale_	0	0	0	1
qmma_sp_	0	0	0	1
qmma_sp_scale_	0	0	0	1
qmul4_imm_	1	1	0	0
qmul4_rb_	1	1	0	0
qmul4_urb_	1	1	0	0
r2b_	1	1	1	1
redg_fp_uniform__memdesc	1	1	1	1
redg_int_uniform__memdesc	1	1	1	1
redux_	1	1	1	1
rtt_	1	1	1	1
s2r_	1	1	1	1
s2ur_	1	1	1	1
scatter_	1	1	0	0
setctaid_	1	1	1	1
setlmembase_	1	1	1	1
stl_memdesc_	1	1	1	1
stl_uniform_	1	1	1	1
sts_uniform_	1	1	1	1
sttm_	1	1	1	0
suatom_cas_r_urc_	0	0	0	1
suatom_cas_reg_	1	1	1	1
suatom_cas_urc_	1	1	1	1
suatom_r_urc_	0	0	0	1
suatom_reg_	1	1	1	1
suatom_urc_	1	1	1	1
suld_d_r_urc_	0	0	0	1
suld_d_reg_	1	1	1	1
suld_d_urc_	1	1	1	1
suld_p_r_urc_	0	0	0	1
suld_p_reg_	1	1	1	1
suld_p_urc_	1	1	1	1
suquery_r_urc_	0	0	0	1
suquery_reg_	1	1	1	1
suquery_urc_	1	1	1	1
sured_r_urc_	0	0	0	1
sured_reg_	1	1	1	1
sured_urc_	1	1	1	1
sust_d_r_urc_	0	0	0	1
sust_d_reg_	1	1	1	1
sust_d_urc_	1	1	1	1
sust_p_r_urc_	0	0	0	1
sust_p_reg_	1	1	1	1
sust_p_urc_	1	1	1	1
syncs_arrive_	1	1	1	1
syncs_cctl_	1	1	1	1
syncs_cctl_all_	1	1	1	1
syncs_flush_	1	1	1	1
syncs_ld_	1	1	1	1
syncs_phasechk_	1	1	1	1
syncs_uniform_cas_	1	1	1	1
syncs_uniform_exch_	1	1	1	1
syncs_uniform_ld_	1	1	1	1
tex_b_urc_	0	0	0	1
tex_scr_b_urc_	0	0	0	1
tex_scr_urc_	1	1	1	1
tex_urc_	1	1	1	1
tld4_b_urc_	0	0	0	1
tld4_scr_b_urc_	0	0	0	1
tld4_scr_urc_	1	1	1	1
tld4_urc_	1	1	1	1
tld_b_urc_	0	0	0	1
tld_scr_b_urc_	0	0	0	1
tld_scr_urc_	1	1	1	1
tld_urc_	1	1	1	1
tmml_b_urc_	0	0	0	1
tmml_urc_	1	1	1	1
ttucctl_	0	0	0	1
ttugo_	0	0	0	1
ttuld__close	0	0	0	1
ttuld__no_close	0	0	0	1
ttumacrofuse_	0	0	0	1
ttuopen_	0	0	0	1
ttust_	0	0	0	1
txd_b_urc_	0	0	0	1
txd_urc_	1	1	1	1
txq_b_urc_	0	0	0	1
txq_urc_	1	1	1	1
ublkcp_	1	1	1	1
ublkcp_desc_	1	1	1	1
ublkred_	1	1	1	1
ublkred_desc_	1	1	1	1
ucgabar_arrive_	1	1	1	1
ucgabar_get_	1	1	1	1
ucgabar_set_	1	1	1	1
ucgabar_wait_	1	1	1	1
ugetnextworkid_	1	1	1	1
umemsets_	1	1	1	1
umov_imm64_	0	0	0	1
uplop3_lut_2out_	1	1	1	1
uredgr_	1	1	1	0
ustgr_	1	1	1	0
utcatomsws_cas_	1	1	1	0
utcatomsws_fas_	1	1	1	0
utcatomsws_op_	1	1	1	0
utcbar_flush_	1	1	1	0
utcldsws_	1	1	1	0
utcstsws_	1	1	1	0
utmacctl_	1	1	1	1
utmacmdflush_	1	1	1	1
uvirtcount__imm	1	1	1	1
vote_	1	1	1	1
voteu_	1	1	1	1
yield_inst_	1	1	1	1
