source	va	width_bits	slot_idx	slot_size	slot_type	slot_flag	note
universal_slot_template	0x23F1C60	-	0	3	-1	-1	refcount=7302
universal_slot_template	0x23F1C60	-	1	2	-1	-1	refcount=7302
universal_slot_template	0x23F1C60	-	2	4	-1	-1	refcount=7302
universal_slot_template	0x23F1C60	-	3	6	-1	-1	refcount=7302
universal_slot_template	0x23F1C60	-	4	8	14	0	refcount=7302
64b_B	0x23F1D70	64	0	8	-1	0	fmt_id=4
128b_0x03	0x23F1DF8	128	0	10	-1	0	fmt_id=8
128b_0x03	0x23F1DF8	128	1	17	28	3	fmt_id=8
128b_0x09_idx2	0x23F1E80	128	0	8	-1	0	fmt_id=9
128b_0x09_idx2	0x23F1E80	128	1	17	28	4	fmt_id=9
64b_A	0x23F1F08	64	0	10	-1	0	fmt_id=3
64b_C	0x23F1F90	64	0	8	12	0	fmt_id=2
128b_0x07	0x23F2018	128	0	10	-1	0	fmt_id=6
128b_0x07	0x23F2018	128	1	17	24	3	fmt_id=6
128b_0x04_idx6	0x23F20A0	128	0	10	-1	0	fmt_id=4
128b_0x04_idx6	0x23F20A0	128	1	17	20	3	fmt_id=4
128b_0x09	0x23F2128	128	0	8	-1	0	fmt_id=7
128b_0x09	0x23F2128	128	1	17	24	4	fmt_id=7
128b_0x0A	0x23F21B0	128	0	10	-1	0	fmt_id=10
128b_0x0A	0x23F21B0	128	1	17	-1	3	fmt_id=10
64b_D	0x23F2238	64	0	10	14	0	fmt_id=2
128b_0x09_idx10	0x23F22C0	128	0	8	-1	0	fmt_id=9
128b_0x09_idx10	0x23F22C0	128	1	17	28	4	fmt_id=9
128b_0x0D	0x23F2348	128	0	10	-1	0	fmt_id=8
128b_0x0D	0x23F2348	128	1	17	28	3	fmt_id=8
128b_0x0B_idx12	0x23F23D0	128	0	8	-1	0	fmt_id=11
128b_0x0B_idx12	0x23F23D0	128	1	17	-1	4	fmt_id=11
128b_0x08_idx13	0x23F2458	128	0	8	-1	0	fmt_id=8
128b_0x08_idx13	0x23F2458	128	1	17	26	4	fmt_id=8
64b_0x03_idx14	0x23F24E0	64	0	6	12	0	fmt_id=3
128b_0x08_idx15	0x23F2568	128	0	12	-1	0	fmt_id=8
128b_0x08_idx15	0x23F2568	128	1	17	30	2	fmt_id=8
128b_0x12	0x23F25F0	128	0	10	-1	0	fmt_id=9
128b_0x12	0x23F25F0	128	1	17	30	3	fmt_id=9
128b_0x13	0x23F2678	128	0	12	-1	0	fmt_id=9
128b_0x13	0x23F2678	128	1	17	-1	2	fmt_id=9
128b_0x0B_idx18	0x23F2700	128	0	6	-1	0	fmt_id=11
128b_0x0B_idx18	0x23F2700	128	1	17	30	5	fmt_id=11
64b_0x05_idx19	0x23F2788	64	0	6	-1	0	fmt_id=5
128b_0x16	0x23F2810	128	0	10	-1	0	fmt_id=7
128b_0x16	0x23F2810	128	1	17	26	3	fmt_id=7
128b_0x05_idx21	0x23F2898	128	0	12	-1	0	fmt_id=5
128b_0x05_idx21	0x23F2898	128	1	17	24	2	fmt_id=5
128b_0x05_idx22	0x23F2920	128	0	8	-1	0	fmt_id=5
128b_0x05_idx22	0x23F2920	128	1	17	20	4	fmt_id=5
128b_0x19	0x23F29A8	128	0	12	-1	0	fmt_id=7
128b_0x19	0x23F29A8	128	1	17	28	2	fmt_id=7
128b_0x06_idx24	0x23F2A30	128	0	12	-1	0	fmt_id=6
128b_0x06_idx24	0x23F2A30	128	1	17	26	2	fmt_id=6
128b_0x0D_idx25	0x23F2AB8	128	0	12	-1	0	fmt_id=13
128b_0x0D_idx25	0x23F2AB8	128	1	17	-1	2	fmt_id=13
128b_0x0D_idx25	0x23F2AB8	128	2	33	42	9	fmt_id=13
128b_0x0E_idx26	0x23F2B40	128	0	8	-1	0	fmt_id=14
128b_0x0E_idx26	0x23F2B40	128	1	17	-1	4	fmt_id=14
128b_0x0E_idx26	0x23F2B40	128	2	33	40	11	fmt_id=14
128b_0x07_idx27	0x23F2BC8	128	0	8	-1	0	fmt_id=7
128b_0x07_idx27	0x23F2BC8	128	1	17	24	4	fmt_id=7
64b_E	0x23F2C50	64	0	10	12	0	fmt_id=1
128b_0x10_idx29	0x23F2CD8	128	0	8	-1	0	fmt_id=16
128b_0x10_idx29	0x23F2CD8	128	1	17	-1	4	fmt_id=16
128b_0x10_idx29	0x23F2CD8	128	2	33	44	11	fmt_id=16
64b_0x04_idx30	0x23F2D60	64	0	6	14	0	fmt_id=4
128b_0x21	0x23F2DE8	128	0	10	-1	0	fmt_id=6
128b_0x21	0x23F2DE8	128	1	17	24	3	fmt_id=6
64b_0x02_idx32	0x23F2E70	64	0	12	-1	0	fmt_id=2
128b_0x23	0x23F2EF8	128	0	12	-1	0	fmt_id=7
128b_0x23	0x23F2EF8	128	1	17	28	2	fmt_id=7
128b_0x07_idx34	0x23F2F80	128	0	14	-1	0	fmt_id=7
128b_0x07_idx34	0x23F2F80	128	1	17	30	1	fmt_id=7
128b_0x08_idx35	0x23F3008	128	0	14	-1	0	fmt_id=8
128b_0x08_idx35	0x23F3008	128	1	17	-1	1	fmt_id=8
128b_0x0C_idx36	0x23F3090	128	0	14	-1	0	fmt_id=12
128b_0x0C_idx36	0x23F3090	128	1	17	-1	1	fmt_id=12
128b_0x0C_idx36	0x23F3090	128	2	33	42	8	fmt_id=12
128b_0x0D_idx37	0x23F3118	128	0	10	-1	0	fmt_id=13
128b_0x0D_idx37	0x23F3118	128	1	17	-1	3	fmt_id=13
128b_0x0D_idx37	0x23F3118	128	2	33	40	10	fmt_id=13
