group	va_start	sm_range	offset	lo	hi	dword0	dword1	dword2	dword3
group_A_maxwell_turing	0x202A280	sm_50-sm_75	0	0x0000000100000000	0x0000000100000001	0	1	1	1
group_A_maxwell_turing	0x202A280	sm_50-sm_75	16	0x0000000100000002	0x0000000100000003	2	1	3	1
group_A_maxwell_turing	0x202A280	sm_50-sm_75	32	0x0000000100000000	0x0000000100000002	0	1	2	1
group_A_maxwell_turing	0x202A280	sm_50-sm_75	48	0x0000000100000003	0x0000000100000004	3	1	4	1
group_A_maxwell_turing	0x202A280	sm_50-sm_75	64	0x0000000200000000	0x0000000200000002	0	2	2	2
group_A_maxwell_turing	0x202A280	sm_50-sm_75	80	0x0000000200000004	0x0000000200000006	4	2	6	2
group_A_maxwell_turing	0x202A280	sm_50-sm_75	96	0x0000000100000002	0xFFFFFFFFFFFFFFFF	2	1	4294967295	4294967295
group_A_maxwell_turing	0x202A280	sm_50-sm_75	112	0x0000000200000004	0xFFFFFFFFFFFFFFFF	4	2	4294967295	4294967295
group_A_maxwell_turing	0x202A280	sm_50-sm_75	128	0x0000000100000003	0xFFFFFFFFFFFFFFFF	3	1	4294967295	4294967295
group_A_maxwell_turing	0x202A280	sm_50-sm_75	144	0x0000000100000000	0x0000000100000003	0	1	3	1
group_A_maxwell_turing	0x202A280	sm_50-sm_75	160	0x0000000100000004	0xFFFFFFFFFFFFFFFF	4	1	4294967295	4294967295
group_A_maxwell_turing	0x202A280	sm_50-sm_75	176	0xFFFFFFFF00000001	0xFFFFFFFFFFFFFFFF	1	4294967295	4294967295	4294967295
group_B_ampere_ada	0x22F1B30	sm_80-sm_89	0	0x0000000200000000	0x0000000100000001	0	2	1	1
group_B_ampere_ada	0x22F1B30	sm_80-sm_89	16	0x0000000100000000	0x0000000200000001	0	1	1	2
group_B_ampere_ada	0x22F1B30	sm_80-sm_89	32	0x0000000100000002	0x0000000200000003	2	1	3	2
group_D_lovelace_hopper	0x22F1BA0	sm_89-sm_90	0	0x0000000100000001	0x0000000100000003	1	1	3	1
group_D_lovelace_hopper	0x22F1BA0	sm_89-sm_90	16	0x0000000200000000	0x0000000100000002	0	2	2	1
group_E_blackwell_dc	0x22F1AA0	sm_100-sm_103	0	0x0000000200000000	0x0000000200000001	0	2	1	2
group_E_blackwell_dc	0x22F1AA0	sm_100-sm_103	16	0x0000000100000004	0x0000000100000005	4	1	5	1
group_E_blackwell_dc	0x22F1AA0	sm_100-sm_103	32	0x0000000200000000	0x0000000200000003	0	2	3	2
group_E_blackwell_dc	0x22F1AA0	sm_100-sm_103	48	0x0000000200000004	0x0000000200000005	4	2	5	2
group_F_blackwell_consumer	0x22F1C20	sm_120-sm_121	0	0x0000000400000000	0x0000000400000001	0	4	1	4
group_F_blackwell_consumer	0x22F1C20	sm_120-sm_121	16	0x0000000400000002	0x0000000400000003	2	4	3	4
group_G_cross_arch	0x23B2DE0	cross-architecture	0	0x0000000100000000	0x0000000400000001	0	1	1	4
