bit_index	attribute_name	kind	confidence	used
0	BOP	BOOL	HIGH	yes
2	CMP	BOOL	HIGH	yes
3	(unnamed)	UNNAMED	-	yes
4	(unnamed)	UNNAMED	-	yes
5	RESULT	BOOL	HIGH	yes
6	RESULTP	BOOL	HIGH	yes
7	APRX	BOOL	HIGH	yes
8	RELU	BOOL	HIGH	yes
9	FTZ	BOOL	HIGH	yes
10	NOFTZ	BOOL	HIGH	yes
11	SAT	BOOL	HIGH	yes
12	SATF	BOOL	HIGH	yes
13	(unnamed)	UNNAMED	-	yes
14	(unnamed)	UNNAMED	-	yes
15	(unnamed)	UNNAMED	-	yes
19	(unnamed)	UNNAMED	-	yes
22	VSAT	BOOL	HIGH	yes
23	CC	BOOL	HIGH	yes
24	SHAMT	BOOL	HIGH	yes
25	ROUNDF	BOOL	HIGH	yes
26	ROUNDI	BOOL	HIGH	yes
27	SIGNED	BOOL	HIGH	yes
28	FLOW	BOOL	HIGH	yes
29	BRANCH	BOOL	HIGH	yes
30	(used, unlabeled)	UNK	-	yes
32	DOUBLERES	BOOL	HIGH	yes
33	LARG	BOOL	HIGH	yes
34	SREGARG	BOOL	HIGH	yes
35	MEMSPACE	FIELD	MED	yes
36	DESC/MEMSPACES/MBARRIER/IM2COL	FIELD	MED	yes
37	TESTP	BOOL	HIGH	yes
38	CACHEOP	BOOL	HIGH	yes
39	ORDER/SCOPE/MEMSPACE	FIELD	MED	yes
40	PROXYKIND	FIELD	MED	yes
41	PREFETCHSIZE	FIELD	MED	yes
42	PREFETCHSIZE/LEVEL	FIELD	MED	yes
43	EVICTPRIORITY	BOOL	HIGH	yes
44	ORDER/SCOPE/MEMSPACE	FIELD	MED	yes
45	(used, unlabeled)	UNK	-	yes
46	TEXADDR	BOOL	HIGH	yes
47	TEXMOD	BOOL	HIGH	yes
48	MULTICAST/PACKEDOFF/MBARRIER/IM2COL	FIELD	MED	yes
49	MULTICAST/PACKEDOFF/MBARRIER/IM2COL	FIELD	MED	yes
50	MULTICAST/PACKEDOFF/MBARRIER/IM2COL	FIELD	MED	yes
51	PACKEDOFF/MBARRIER/IM2COL	FIELD	MED	yes
52	(unnamed)	UNNAMED	-	yes
53	(used, unlabeled)	UNK	-	yes
54	MULTICAST/PACKEDOFF/IM2COL	FIELD	MED	yes
55	MULTICAST	FIELD	MED	yes
56	MULTICAST	FIELD	MED	yes
59	(used, unlabeled)	UNK	-	yes
60	MULTICAST/PACKEDOFF/DESC/MEMSPACES/MBARRIER/IM2COL	FIELD	MED	yes
63	COMPMOD	BOOL	HIGH	yes
64	SURFQ	BOOL	HIGH	yes
65	SMPLQ	BOOL	HIGH	yes
66	TEXQ	BOOL	HIGH	yes
67	VOTE	BOOL	HIGH	yes
68	ATOMOPF	BOOL	HIGH	yes
69	ATOMOPI	BOOL	HIGH	yes
