index	name	operand_type_signature	datatype_sig	attribute_mask_hex	flags	name_kind
3	tanh	F16	00	a000000200000000000000000000000000	STD	str
3	tanh	F32	00	a000000000000000000000000000000000	STD	str
3	tanh	H32	00	a000000200000000000000000000000000	STD	str
4	ex2	F16	00	a002000200000000000000000000000000	STD	str
4	ex2	H32	00	a002000200000000000000000000000000	STD	str
10	cvt	F16F32	01	2011000202000000000000000000000000	STD	str
10	cvt	H32F32	011	2011000202000000000000000000000000	STD	str
10	cvt	E16F32	x1	2013000200000000000000000000000000	STD	str
10	cvt	E32F32	d11	2011000200000000000000000000000000	STD	str
10	cvt	F32E16	0x	2002000200000000000000000000000000	STD	str
11	mma	F16F16F16F16	hhhhdC	2000000000200000000042041000000000	STD	str
11	mma	F32F16F16F32	dhhddC	2000000000200000000042041000000000	STD	str
11	mma	F32F32	dddddC	2000000000200000000042041000000000	STD	str
11	mma	I32I8I8I32	sddsdC	2010000000200000000042041000000000	STD	str
11	mma	I32I32	sddsdC	2010000000200000000042041000000000	STD	str
12	_mma	F16F16	hhhh	2018000000200000000000040000000000	STD	str
12	_mma	F32F16	fhhh	2018000000200000000000040000000000	STD	str
12	_mma	F32F32	fhhf	2018000000200000000000040000000000	STD	str
12	_mma	F16F32	VVVV	2018000000200000000000040000000000	STD	str
12	_mma	I8I8	ssss	2018000000200000000000040000000000	STD	str
12	_mma		sdds	2018000000200000000000040000000000	STD	str
12	_mma	I32I32	sdds	2100000000200000800000040000000000	STD	str
12	_mma	F64F64F64F64	0123	2000000200200000000000040000000000	STD	str
12	_mma	F16F16F16F16	hhhhdC	2010000000200000000000043800000000	STD	str
12	_mma	F32F16F16F32	dhhddC	2010000000200000000000043800000000	STD	str
12	_mma	F32F32	dddddC	2010000000200000000000043800000000	STD	str
12	_mma	I32I8I8I32	sddsdC	2010000000200000000000043800000000	STD	str
12	_mma	I32I32	sddsdC	2010000000200000000000043800000000	STD	str
12	_mma	I32I8I8I32	sdds	2010000000200000000000040000000000	STD	str
12	_mma	I32I32	sdds	2010000000200000000000040000000000	STD	str
12	_mma	F16Q8Q8F16	hddh	2000000000200000000000040000000000	STD	str
12	_mma	F32Q8Q8F32	fddf	2000000000200000000000040000000000	STD	str
12	_mma	F16Q8Q8F16	hddhdC	2000000000200000000000043800000000	STD	str
12	_mma	F32Q8Q8F32	fddfdC	2000000000200000000000043800000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUUh	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUUf	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUhh	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUhf	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hhUh	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fhUf	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUUhP	2000000000200000000000040078010000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUUfP	2000000000200000000000040078010000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUhhP	2000000000200000000000040058010000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUhfP	2000000000200000000000040058010000	STD	str
13	_mma.warpgroup	F16F16F16F16	hhUhP	2000000000200000000000040070010000	STD	str
13	_mma.warpgroup	F32F16F16F32	fhUfP	2000000000200000000000040070010000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUUhu	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUUfu	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUhhu	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUhfu	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hhUhu	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fhUfu	20000000002000000000000400f0000000	STD	str
14	_warpgroup.arrive			20000000002000000000000400f0000000	STD	str
15	_warpgroup.commit_batch			20000000002000000000000400f0000000	STD	str
16	_warpgroup.wait			20000000002000000000000400f0000000	STD	str
16	_warpgroup.wait		u	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUUf	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUdf	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fdUf	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUUf	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUdf	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fdUf	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUUfP	2000000000200000000000040078010000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUdfP	2000000000200000000000040058010000	STD	str
13	_mma.warpgroup	F32E16E16F32	fdUfP	2000000000200000000000040070010000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUUfP	2000000000200000000000040078010000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUdfP	2000000000200000000000040058010000	STD	str
13	_mma.warpgroup	F32T32T32F32	fdUfP	2000000000200000000000040070010000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUUfu	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUdfu	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fdUfu	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUUfu	20000000002000000000000400f8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUdfu	20000000002000000000000400d8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fdUfu	20000000002000000000000400f0000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUUhdC	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUUfdC	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUhhdC	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUhfdC	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hhUhdC	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fhUfdC	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUUhdCP	2000000000200000000000043878010000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUUfdCP	2000000000200000000000043878010000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUhhdCP	2000000000200000000000043858010000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUhfdCP	2000000000200000000000043858010000	STD	str
13	_mma.warpgroup	F16F16F16F16	hhUhdCP	2000000000200000000000043870010000	STD	str
13	_mma.warpgroup	F32F16F16F32	fhUfdCP	2000000000200000000000043870010000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUUhdCu	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUUfdCu	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hUhhdCu	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fUhfdCu	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F16F16F16F16	hhUhdCu	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F32F16F16F32	fhUfdCu	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUUfdC	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUdfdC	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fdUfdC	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUUfdC	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUdfdC	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fdUfdC	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUUfdCP	2000000000200000000000043878010000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUdfdCP	2000000000200000000000043858010000	STD	str
13	_mma.warpgroup	F32E16E16F32	fdUfdCP	2000000000200000000000043870010000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUUfdCP	2000000000200000000000043878010000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUdfdCP	2000000000200000000000043858010000	STD	str
13	_mma.warpgroup	F32T32T32F32	fdUfdCP	2000000000200000000000043870010000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUUfdCu	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fUdfdCu	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F32E16E16F32	fdUfdCu	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUUfdCu	20000000002000000000000438f8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fUdfdCu	20000000002000000000000438d8000000	STD	str
13	_mma.warpgroup	F32T32T32F32	fdUfdCu	20000000002000000000000438f0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUUh	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUUf	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUhh	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUhf	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hhUh	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fhUf	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUUhP	2000000000200000000000040050010000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUUfP	2000000000200000000000040050010000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUhhP	2000000000200000000000040050010000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUhfP	2000000000200000000000040050010000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hhUhP	2000000000200000000000040050010000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fhUfP	2000000000200000000000040050010000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUUhu	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUUfu	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUhhu	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUhfu	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hhUhu	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fhUfu	20000000002000000000000400d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUUhd	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUUfd	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUhhd	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUhfd	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hhUhd	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fhUfd	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUUhdP	2000000000200000000000043850010000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUUfdP	2000000000200000000000043850010000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUhhdP	2000000000200000000000043850010000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUhfdP	2000000000200000000000043850010000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hhUhdP	2000000000200000000000043850010000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fhUfdP	2000000000200000000000043850010000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUUhdu	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUUfdu	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hUhhdu	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fUhfdu	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F16Q8Q8F16	hhUhdu	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	F32Q8Q8F32	fhUfdu	20000000002000000000000438d0000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUUs	2010000000200000000000040080000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUds	2010000000200000000000040080000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sdUs	2010000000200000000000040080000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUUsP	2010000000200000000000040000010000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUdsP	2010000000200000000000040000010000	STD	str
13	_mma.warpgroup	I32I8I8I32	sdUsP	2010000000200000000000040000010000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUUsu	2010000000200000000000040080000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUdsu	2010000000200000000000040080000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sdUsu	2010000000200000000000040080000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUUsd	2010000000200000000000043880000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUdsd	2010000000200000000000043880000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sdUsd	2010000000200000000000043880000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUUsdP	2010000000200000000000043800010000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUdsdP	2010000000200000000000043800010000	STD	str
13	_mma.warpgroup	I32I8I8I32	sdUsdP	2010000000200000000000043800010000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUUsdu	2010000000200000000000043880000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sUdsdu	2010000000200000000000043880000000	STD	str
13	_mma.warpgroup	I32I8I8I32	sdUsdu	2010000000200000000000043880000000	STD	str
13	_mma.warpgroup	I32B1B1I32	sUUs	2100000000200000800000040080000000	STD	str
13	_mma.warpgroup	I32B1B1I32	sUds	2100000000200000800000040080000000	STD	str
13	_mma.warpgroup	I32B1B1I32	sdUs	2100000000200000800000040080000000	STD	str
13	_mma.warpgroup	I32B1B1I32	sUUsP	2100000000200000800000040000010000	STD	str
13	_mma.warpgroup	I32B1B1I32	sUdsP	2100000000200000800000040000010000	STD	str
13	_mma.warpgroup	I32B1B1I32	sdUsP	2100000000200000800000040000010000	STD	str
