opcode_id	mnemonic	rot13	sm_gen	enc_category	isel_slot	ctor_verified	notes
0	ERRBAR	REEONE	sm_70	0	0	yes	
1	IMAD	VZNQ	sm_70	1	0	yes	
2	IMAD_WIDE	VZNQ_JVQR	sm_70	2	0	yes	
3	IADD3	VNQQ3	sm_70	3	0	yes	
4	BMSK	OZFX	sm_70	4	0	yes	
5	SGXT	FTKG	sm_70	5	160	yes	
6	LOP3	YBC3	sm_70	6	241	yes	
7	ISETP	VFRGC	sm_70	7	148	yes	
8	IABS	VNOF	sm_70	8	97	yes	
9	LEA	YRN	sm_70	9	0	yes	
10	SHF	FUS	sm_70	10	93	yes	
11	FFMA	SSZN	sm_70	11	94	yes	
12	FADD	SNQQ	sm_70	12	0	yes	
13	FMUL	SZHY	sm_70	13	95	yes	
14	FMNMX	SZAZK	sm_70	14	0	yes	
15	FSWZADD	SFJMNQQ	sm_70	15	0	yes	
16	FSET	SFRG	sm_70	16	0	yes	
17	FSEL	SFRY	sm_70	17	0	yes	
18	FSETP	SFRGC	sm_70	18	0	yes	
19	MOV	ZBI	sm_70	19	0	yes	
20	SEL	FRY	sm_70	20	29	yes	
21	P2R	C2E	sm_70	21	0	yes	
22	R2P	E2C	sm_70	22	37	yes	
23	PLOP3	CYBC3	sm_70	23	0	yes	
24	PRMT	CEZG	sm_70	24	188	yes	
25	NOP	ABC	sm_70	25	190	yes	
26	VOTE	IBGR	sm_70	26	0	yes	
27	CS2R_32	PF2E_32	sm_70	27	0	yes	
28	CS2R_64	PF2E_64	sm_70	28	0	yes	
29	PMTRIG	CZGEVT	sm_70	29	32	yes	
30	CSMTEST	PFZGRFG	sm_70	30	271	yes	
31	VABSDIFF	INOFQVSS	sm_70	31	159	yes	
32	VABSDIFF4	INOFQVSS4	sm_70	32	72	yes	
33	IDP	VQC	sm_70	33	0	yes	
34	IDE	VQR	sm_70	34	55	yes	
35	I2I	V2V	sm_70	35	42	yes	
36	I2IP	V2VC	sm_70	36	53	yes	
37	IMNMX	VZAZK	sm_70	37	0	yes	
38	POPC	CBCP	sm_70	38	0	yes	
39	FLO	SYB	sm_70	39	0	yes	
40	FCHK	SPUX	sm_70	40	355	yes	
41	IPA	VCN	sm_70	41	0	yes	
42	MUFU	ZHSH	sm_70	42	0	yes	
43	F2F	S2S	sm_70	43	0	yes	
44	F2F_X	S2S_K	sm_70	44	0	yes	
45	F2I	S2V	sm_70	45	0	yes	
46	F2I_X	S2V_K	sm_70	46	0	yes	
47	I2F	V2S	sm_70	47	224	yes	
48	I2F_X	V2S_K	sm_70	48	235	yes	
49	FRND	SEAQ	sm_70	49	355	yes	
50	FRND_X	SEAQ_K	sm_70	50	150	yes	
