merc_index	mnemonic	rot13	va_ref
0	UTCSTSWS	HGPFGFJF	33768864
1	UTCSHIFT.2CTA	HGPFUVSG.2PGN	33768880
2	UTCSHIFT.1CTA	HGPFUVSG.1PGN	33768896
3	UTCQMMA.2CTA	HGPDZZN.2PGN	33768912
4	UTCQMMA.1CTA	HGPDZZN.1PGN	33768928
5	UTCOMMA.2CTA	HGPBZZN.2PGN	33768944
6	UTCOMMA.1CTA	HGPBZZN.1PGN	33768960
7	UTCMXQMMA.2CTA	HGPZKDZZN.2PGN	33768976
8	UTCMXQMMA.1CTA	HGPZKDZZN.1PGN	33768992
9	UTCLDSWS	HGPYQFJF	33769008
10	UTCIMMA.2CTA	HGPVZZN.2PGN	33769024
11	UTCIMMA.1CTA	HGPVZZN.1PGN	33769040
12	UTCHMMA.2CTA	HGPUZZN.2PGN	33769056
13	UTCHMMA.1CTA	HGPUZZN.1PGN	33769072
14	UTCCP.2CTA	HGPPC.2PGN	33769088
15	UTCCP.1CTA	HGPPC.1PGN	33769104
16	UTCBAR.2CTA	HGPONE.2PGN	33769120
17	UTCBAR.1CTA.FLUSH	HGPONE.1PGN.SYHFU	33769136
18	UTCBAR.1CTA	HGPONE.1PGN	33769160
19	UTCATOMSWS	HGPNGBZFJF	33769176
20	SYNCSU.ARRIVE.MULTICAST.A1T0	FLAPFH.NEEVIR.ZHYGVPNFG.N1G0	33770208
21	SYNCSU.ARRIVE.A1T0	FLAPFH.NEEVIR.N1G0	33770240
22	SYNCS.PHASECHK	FLAPF.CUNFRPUX	33770264
23	SYNCS.LD.UNIFORM	FLAPF.YQ.HAVSBEZ	33770288
24	SYNCS.LD.NON_UNIFORM	FLAPF.YQ.ABA_HAVSBEZ	33770320
25	SYNCS.FLUSH	FLAPF.SYHFU	33770344
26	SYNCS.CCTL	FLAPF.PPGY	33770360
27	SYNCS.CAS.EXCH	FLAPF.PNF.RKPU	33770376
28	SYNCS.ARRIVE.A1TR.ART0.A0TR.A0TX	FLAPF.NEEVIR.N1GE.NEG0.N0GE.N0GK	33770400
29	SYNCS.ARRIVE.A1T0.A0T1	FLAPF.NEEVIR.N1G0.N0G1	33770448
30	QMMA.SP.16864	DZZN.FC.16864	33770792
31	QMMA.SP.16832	DZZN.FC.16832	33770808
32	QMMA.SF.SP	DZZN.FS.FC	33770824
33	QMMA.SF	DZZN.FS	33770840
34	QMMA.16832	DZZN.16832	33770848
35	QMMA.16816	DZZN.16816	33770864
36	QMMA	DZZN	33770875
37	OMMA.SP	BZZN.FC	33770976
38	OMMA	BZZN	33770984
39	MERCURY_warpgroup_mma_wait_sync_0	ZREPHEL_jnectebhc_zzn_jnvg_flap_0	33771296
40	MERCURY_warpgroup_mma_sync_0	ZREPHEL_jnectebhc_zzn_flap_0	33771344
41	MERCURY_warpgroup_mma_sp_int_sync_srcs_ur4_r4_0	ZREPHEL_jnectebhc_zzn_fc_vag_flap_fepf_he4_e4_0	33771392
42	MERCURY_warpgroup_mma_sp_int_sync_srcs_ur4_0	ZREPHEL_jnectebhc_zzn_fc_vag_flap_fepf_he4_0	33771456
43	MERCURY_warpgroup_mma_sp_int_sync_srcs_r4_ur4_0	ZREPHEL_jnectebhc_zzn_fc_vag_flap_fepf_e4_he4_0	33771520
44	MERCURY_warpgroup_mma_sp_fp8_sync_srcs_ur4_r2_0	ZREPHEL_jnectebhc_zzn_fc_sc8_flap_fepf_he4_e2_0	33771584
45	MERCURY_warpgroup_mma_sp_fp8_sync_srcs_ur4_1	ZREPHEL_jnectebhc_zzn_fc_sc8_flap_fepf_he4_1	33771648
46	MERCURY_warpgroup_mma_sp_fp8_sync_srcs_ur4_0	ZREPHEL_jnectebhc_zzn_fc_sc8_flap_fepf_he4_0	33771712
47	MERCURY_warpgroup_mma_sp_fp8_sync_srcs_r4_ur4_0	ZREPHEL_jnectebhc_zzn_fc_sc8_flap_fepf_e4_he4_0	33771776
48	MERCURY_warpgroup_mma_sp_fp16_sync_srcs_r4_ur4_0	ZREPHEL_jnectebhc_zzn_fc_sc16_flap_fepf_e4_he4_0	33771840
49	MERCURY_warpgroup_mma_int_sync_srcs_r4_ur4_0	ZREPHEL_jnectebhc_zzn_vag_flap_fepf_e4_he4_0	33771904
50	MERCURY_warpgroup_mma_fp8_sync_srcs_ur4_0	ZREPHEL_jnectebhc_zzn_sc8_flap_fepf_he4_0	33771968
51	MERCURY_warpgroup_mma_fp8_sync_srcs_r4_ur4_0	ZREPHEL_jnectebhc_zzn_sc8_flap_fepf_e4_he4_0	33772032
52	MERCURY_warpgroup_mma_fp16_sync_srcs_ur4_r2_0	ZREPHEL_jnectebhc_zzn_sc16_flap_fepf_he4_e2_0	33772096
53	MERCURY_warpgroup_mma_fp16_sync_srcs_ur4_0	ZREPHEL_jnectebhc_zzn_sc16_flap_fepf_he4_0	33772160
54	MERCURY_warpgroup_mma_fp16_sync_srcs_r4_ur4_0	ZREPHEL_jnectebhc_zzn_sc16_flap_fepf_e4_he4_0	33772224
55	MERCURY_warpgroup_mma_b1_sync_srcs_ur4_0	ZREPHEL_jnectebhc_zzn_o1_flap_fepf_he4_0	33772288
56	MERCURY_warpgroup_mma_b1_sync_srcs_r4_ur4_0	ZREPHEL_jnectebhc_zzn_o1_flap_fepf_e4_he4_0	33772352
57	MERCURY_warpgroup_mma_arrive_sync_0	ZREPHEL_jnectebhc_zzn_neevir_flap_0	33772416
58	MERCURY_warpgroup_arrive_sync_0	ZREPHEL_jnectebhc_neevir_flap_0	33772480
59	MERCURY_vote_sync_unaligned_srcs_r_2	ZREPHEL_ibgr_flap_hanyvtarq_fepf_e_2	33772512
60	MERCURY_vote_sync_unaligned_srcs_r_1	ZREPHEL_ibgr_flap_hanyvtarq_fepf_e_1	33772576
61	MERCURY_vote_sync_unaligned_srcs_r_0	ZREPHEL_ibgr_flap_hanyvtarq_fepf_e_0	33772640
62	MERCURY_vote_sync_unaligned_2	ZREPHEL_ibgr_flap_hanyvtarq_2	33772688
63	MERCURY_vote_sync_unaligned_1	ZREPHEL_ibgr_flap_hanyvtarq_1	33772720
64	MERCURY_vote_sync_unaligned_0	ZREPHEL_ibgr_flap_hanyvtarq_0	33772752
65	MERCURY_vabsdiff4_srcs_ur_r_1	ZREPHEL_inofqvss4_fepf_he_e_1	33772784
66	MERCURY_vabsdiff4_srcs_ur_r_0	ZREPHEL_inofqvss4_fepf_he_e_0	33772816
67	MERCURY_vabsdiff4_srcs_uimm_r_0	ZREPHEL_inofqvss4_fepf_hvzz_e_0	33772864
