group_idx	start_slot	size	first_target	last_target
0	0	68	0xBB3972	0xBAFD97
1	69	3	0xBB4152	0xBAF9D0
2	73	14	0xBAF87F	0xBAB80E
3	88	11	0xBAB7A7	0xBAB3E6
4	100	4	0xBB0BD4	0xBB0694
5	122	2	0xBB456F	0xBB44DB
6	125	1	0xBB0600	0xBB0600
7	127	1	0xBB04EE	0xBB04EE
8	129	3	0xBB0AE8	0xBB082B
9	133	5	0xBB07C0	0xBAC795
10	139	1	0xBB49DE	0xBB49DE
11	144	8	0xBB4920	0xBB4B1C
12	155	1	0xBB40A0	0xBB40A0
13	157	1	0xBAAB3C	0xBAAB3C
14	160	4	0xBAAAD5	0xBAAA10
15	172	1	0xBAA9A9	0xBAA9A9
16	178	1	0xBAC493	0xBAC493
17	180	1	0xBAC3AB	0xBAC3AB
18	187	4	0xBAC1E8	0xBAC253
19	194	2	0xBAC317	0xBAC022
20	200	1	0xBABDFF	0xBABDFF
21	203	1	0xBABD3E	0xBABD3E
22	205	1	0xBABC50	0xBABC50
23	209	1	0xBABC09	0xBABC09
24	213	1	0xBACAE5	0xBACAE5
25	216	1	0xBACA48	0xBACA48
26	219	3	0xBABB75	0xBAB14A
27	226	1	0xBAB103	0xBAB103
28	228	1	0xBAB191	0xBAB191
29	230	1	0xBAB084	0xBAB084
30	233	4	0xBAAFE1	0xBAAEF6
31	238	1	0xBAAD1E	0xBAAD1E
32	246	3	0xBAACA8	0xBAAC20
33	250	1	0xBAAE32	0xBAAE32
34	253	1	0xBAAD65	0xBAAD65
35	255	1	0xBAABC3	0xBAABC3
36	268	3	0xBAAB73	0xBAC620
37	272	3	0xBAC6D8	0xBAA866
38	276	2	0xBAA7FD	0xBAA75E
39	283	1	0xBAA6EA	0xBAA6EA
40	285	3	0xBAD5ED	0xBA9D41
41	289	2	0xBAD438	0xBAD74E
42	292	9	0xBAD693	0xBAA450
43	328	1	0xBAA3BD	0xBAA3BD
44	333	1	0xBAA347	0xBAA347
45	342	3	0xBAA2EA	0xBAA0FD
46	346	1	0xBAA03F	0xBAA03F
47	349	1	0xBAA008	0xBAA008
48	359	1	0xBA9F83	0xBA9F83
49	369	4	0xBA9F33	0xBA9E32
50	374	14	0xBBD49F	0xBBD9C9
51	389	5	0xBB65AF	0xBB5654
52	395	9	0xBBB1C5	0xBBAFF1
53	405	8	0xBB8E3B	0xBB8D2A
54	414	6	0xBB741A	0xBB71DB
55	421	5	0xBB6345	0xBB62A9
56	427	5	0xBB653A	0xBB6192
57	433	5	0xBB59B0	0xBB5C3B
58	439	5	0xBB60BD	0xBB5F91
59	445	5	0xBB647A	0xBB611A
60	451	6	0xBB7516	0xBB6E28
61	458	6	0xBB6CC9	0xBB7453
62	465	6	0xBB6F39	0xBB6E76
63	472	6	0xBB75B2	0xBB6CF0
64	479	6	0xBB6E01	0xBB6D3E
65	486	30	0xBBE0AA	0xBC0E10
66	517	6	0xBB764E	0xBB7E33
67	524	6	0xBB7B23	0xBB7988
68	531	6	0xBB7BA7	0xBB7D3D
69	538	25	0xBBE5B7	0xBBE0D1
70	564	6	0xBB8130	0xBB806D
71	571	10	0xBBA0BE	0xBB9FFB
72	582	6	0xBB8034	0xBB7F71
73	589	6	0xBB7EA8	0xBB8477
74	596	10	0xBBA835	0xBBA6D6
75	607	6	0xBB692D	0xBB686A
76	614	5	0xBB53FD	0xBB5F6A
77	620	13	0xBBC110	0xBBBF2A
78	634	34	0xBC1CC5	0xBC58EC
79	669	23	0xBBECFB	0xBBF0D6
80	693	23	0xBBDE16	0xBBF682
81	717	8	0xBB9360	0xBB924F
82	726	5	0xBB593B	0xBB589F
83	732	8	0xBB96D1	0xBB95C0
84	741	5	0xBB5472	0xBB5E4A
85	747	10	0xBBB91B	0xBBB7BC
86	758	10	0xBBB570	0xBBB411
87	769	10	0xBBADF9	0xBBAC9A
88	780	6	0xBB6FD5	0xBB6FFC
89	787	9	0xBBB150	0xBBA433
90	797	9	0xBBA40C	0xBBA45A
91	807	69	0xBC5298	0xBC3741
92	877	26	0xBBEB57	0xBBF634
93	904	5	0xBB5F31	0xBB59D7
94	910	22	0xBBFA75	0xBC00D8
95	933	30	0xBC0A11	0xBC0126
96	964	29	0xBBF4B1	0xBBF889
97	994	16	0xBBD26B	0xBBCFDA
98	1011	8	0xBB8AE6	0xBB89D5
99	1020	5	0xBB4CFE	0xBB4C3E
100	1026	7	0xBB99EC	0xBB9A37
101	1034	7	0xBB9BD8	0xBB9A5E
102	1042	6	0xBB8810	0xBB85FD
103	1049	15	0xBBCBB7	0xBBC995
104	1065	45	0xBC2583	0xBC53F7
105	1111	5	0xBB528F	0xBB4FDA
106	1117	6	0xBB892A	0xBB6AD4
107	1124	5	0xBB5151	0xBB5025
108	1130	18	0xBBC5BA	0xBBC605
109	1149	18	0xBBCF8F	0xBBC197
110	1168	5	0xBB4FB3	0xBB4F17
111	1174	14	0xBBD3B5	0xBBC947
112	1189	12	0xBBBF03	0xBBB9DE
113	1202	6	0xBB6A5F	0xBB6A86
114	1209	9	0xBBA2B0	0xBBAA5A
115	1219	26	0xBBF60D	0xBC0E5E
116	1246	23	0xBC15B7	0xBBF0FD
117	1270	34	0xBC48B4	0xBC416D
118	1305	33	0xBC1E33	0xBC405C
119	1339	41	0xBC3213	0xBC371A
120	1381	48	0xBC5D57	0xBC5D90
121	1430	8	0xBB9DB2	0xBB9C35
122	1439	152	0xBDBA31	0xBD9E68
123	1592	14	0xBBC8EA	0xBBC149
124	1607	9	0xBBAA0F	0xBBAEA4
125	1617	5	0xBB5361	0xBB4E54
126	1623	43	0xBC2D0F	0xBC4146
127	1667	24	0xBBEA1F	0xBBE69E
128	1692	12	0xBBBE19	0xBBB942
129	1705	6	0xBB85D6	0xBB8513
130	1712	5	0xBB4E09	0xBB4D49
131	1718	9	0xBBA68B	0xBBA51D
132	1728	8	0xBB8F73	0xBB8E62
133	1737	6	0xBB873E	0xBB6954
134	1744	12	0xBBBCBD	0xBBBE40
135	1757	39	0xBC36F3	0xBC4083
136	1797	5	0xBB6702	0xBB65D6
137	1803	36	0xBC3FFF	0xBC546C
138	1840	6	0xBB6C2D	0xBB6B6A
139	1847	8	0xBB9F9E	0xBB9DFD
140	1856	5	0xBB4EF0	0xBB4C17
141	1862	7	0xBB976D	0xBB97E2
142	1870	8	0xBB991A	0xBB9809
143	1879	5	0xBB681F	0xBB675F
# total slots=1884 real=1611 sentinels=273 groups=144
