record_idx	record_va	typelist_va	header	type_count	type_ids	constraint_flags
0	0x22B8900	0x22B8960	[2, 2, 3, 0, 0, 2, 1, 3]	21	[1, 2, 3, 4, 8, 16, 5, 6, 7, 14, 17, 12, 19, 20, 21, 22, 23, 24, 9, 10]	[0, 0, 0, 0, 0]
1	0x22B8A00	0x22B8A60	[0, 1, 1, 1, 2, 2, 2, 2]	20	[1, 2, 3, 4, 16, 5, 6, 7, 14, 17, 12, 19, 20, 21, 22, 23, 24, 8, 10]	[0, 0, 0, 0, 0]
2	0x22B8B00	0x22B8B60	[1, 1, 1, 2, 2, 2, 2, 2]	15	[1, 2, 3, 4, 8, 5, 6, 16, 19, 22, 20, 23, 9, 10]	[0, 0, 0, 0, 0]
3	0x22B8C00	0x22B8C60	[1, 1, 1, 1, 2, 2, 0, 0]	14	[1, 2, 3, 4, 5, 6, 16, 19, 22, 20, 23, 8, 10]	[0, 0, 0, 0, 0]
4	0x22B8D00	0x22B8D60	[1, 1, 1, 2, 2, 0, 0, 0]	13	[1, 2, 3, 4, 5, 6, 16, 19, 22, 20, 23, 8]	[0, 0, 0, 0, 0]
5	0x22B8E00	0x22B8E60	[1, 1, 1, 2, 0, 0, 0, 0]	14	[1, 2, 3, 4, 8, 5, 6, 16, 19, 22, 20, 23, 9]	[0, 0, 0, 0, 0]
6	0x22B8F00	0x22B8F60	[1, 1, 1, 1, 2, 0, 0, 0]	13	[1, 2, 3, 4, 5, 6, 16, 19, 22, 20, 23, 8]	[0, 0, 0, 0, 0]
7	0x22B9000	0x22B9060	[1, 1, 1, 2, 0, 0, 0, 0]	12	[1, 2, 3, 4, 16, 5, 6, 7, 8, 14, 9]	[0, 0, 0, 0, 0]
8	0x22B9100	0x22B9160	[1, 1, 2, 0, 0, 0, 0, 0]	11	[1, 2, 3, 4, 16, 5, 6, 7, 14, 8]	[0, 0, 0, 0, 0]
9	0x22B9200	0x22B9260	[1, 2, 0, 0, 0, 0, 0, 0]	7	[1, 2, 3, 8, 25, 9]	[0, 0, 0, 0, 0]
10	0x22B9300	0x22B9360	[0, 0, 0, 0, 0, 0, 0, 0]	6	[1, 2, 3, 25, 8]	[0, 0, 0, 0, 0]
11	0x22B9400	0x22B9460	[0, 0, 0, 0, 0, 0, 0, 0]	15	[1, 2, 3, 4, 16, 5, 6, 7, 8, 17, 18, 12, 9, 10]	[0, 0, 0, 0, 0]
12	0x22B9500	0x22B9560	[1, 1, 1, 1, 2, 2, 0, 0]	14	[1, 2, 3, 4, 16, 5, 6, 7, 17, 18, 12, 8, 10]	[0, 0, 0, 0, 0]
13	0x22B9600	0x22B9660	[1, 1, 1, 2, 2, 0, 0, 0]	13	[1, 2, 3, 4, 16, 5, 6, 7, 17, 18, 12, 8]	[0, 0, 0, 0, 0]
14	0x22B9700	0x22B9760	[1, 1, 1, 2, 0, 0, 0, 0]	13	[1, 2, 3, 4, 16, 5, 6, 7, 8, 17, 12, 9]	[0, 0, 0, 0, 0]
15	0x22B9800	0x22B9860	[1, 1, 1, 2, 0, 0, 0, 0]	12	[1, 2, 3, 4, 16, 5, 6, 7, 17, 12, 8]	[0, 0, 0, 0, 0]
