opcode	mnemonic	sm_gen	encoding_slot	path
0	ERRBAR	sm_70	0	slot0/default
1	IMAD	sm_70	0	slot0/default
2	IMAD_WIDE	sm_70	0	slot0/default
3	IADD3	sm_70	0	slot0/default
4	BMSK	sm_70	0	slot0/default
5	SGXT	sm_70	160	direct
6	LOP3	sm_70	241	direct
7	ISETP	sm_70	148	direct
8	IABS	sm_70	97	direct
9	LEA	sm_70	0	slot0/default
10	SHF	sm_70	93	direct
11	FFMA	sm_70	94	direct
12	FADD	sm_70	0	slot0/default
13	FMUL	sm_70	95	direct
14	FMNMX	sm_70	0	slot0/default
15	FSWZADD	sm_70	0	slot0/default
16	FSET	sm_70	0	slot0/default
17	FSEL	sm_70	0	slot0/default
18	FSETP	sm_70	0	slot0/default
19	MOV	sm_70	0	slot0/default
20	SEL	sm_70	29	direct
21	P2R	sm_70	0	slot0/default
22	R2P	sm_70	37	direct
23	PLOP3	sm_70	0	slot0/default
24	PRMT	sm_70	188	direct
25	NOP	sm_70	190	direct
26	VOTE	sm_70	0	slot0/default
27	CS2R_32	sm_70	0	slot0/default
28	CS2R_64	sm_70	0	slot0/default
29	PMTRIG	sm_70	32	direct
30	CSMTEST	sm_70	271	direct
31	VABSDIFF	sm_70	159	direct
32	VABSDIFF4	sm_70	72	direct
33	IDP	sm_70	0	slot0/default
34	IDE	sm_70	55	direct
35	I2I	sm_70	42	direct
36	I2IP	sm_70	53	direct
37	IMNMX	sm_70	0	slot0/default
38	POPC	sm_70	0	slot0/default
39	FLO	sm_70	0	slot0/default
40	FCHK	sm_70	355	EXTENDED(355)
41	IPA	sm_70	0	slot0/default
42	MUFU	sm_70	0	slot0/default
43	F2F	sm_70	0	slot0/default
44	F2F_X	sm_70	0	slot0/default
45	F2I	sm_70	0	slot0/default
46	F2I_X	sm_70	0	slot0/default
47	I2F	sm_70	224	direct
48	I2F_X	sm_70	235	direct
49	FRND	sm_70	355	EXTENDED(355)
50	FRND_X	sm_70	150	direct
51	AL2P	sm_70	87	direct
52	AL2P_INDEXED	sm_70	0	slot0/default
53	BREV	sm_70	0	slot0/default
54	BMOV_B	sm_70	0	slot0/default
55	BMOV_R	sm_70	16	direct
56	BMOV	sm_70	0	slot0/default
57	S2R	sm_70	98	direct
58	B2R	sm_70	153	direct
59	R2B	sm_70	183	direct
60	LEPC	sm_70	288	direct
61	BAR	sm_70	18	direct
62	BAR_INDEXED	sm_70	302	direct
63	SETCTAID	sm_70	303	direct
64	SETLMEMBASE	sm_70	0	slot0/default
65	GETLMEMBASE	sm_70	248	direct
66	DEPBAR	sm_70	0	slot0/default
67	BRA	sm_70	0	slot0/default
68	BRX	sm_70	283	direct
69	JMP	sm_70	164	direct
70	JMX	sm_70	168	direct
71	CALL	sm_70	130	direct
72	RET	sm_70	0	slot0/default
73	BSSY	sm_70	0	slot0/default
74	BREAK	sm_70	12	direct
75	BPT	sm_70	13	direct
76	KILL	sm_70	0	slot0/default
77	EXIT	sm_70	172	direct
78	RTT	sm_70	30	direct
79	BSYNC	sm_70	0	slot0/default
80	MATCH	sm_70	0	slot0/default
81	NANOSLEEP	sm_70	0	slot0/default
82	NANOTRAP	sm_70	0	slot0/default
83	TEX	sm_70	0	slot0/default
84	TLD	sm_70	86	direct
85	TLD4	sm_70	88	direct
86	TMML	sm_70	89	direct
87	TXD	sm_70	0	slot0/default
88	TXQ	sm_70	187	direct
89	LDC	sm_70	0	slot0/default
90	ALD	sm_70	0	slot0/default
91	AST	sm_70	0	slot0/default
92	OUT	sm_70	0	slot0/default
93	OUT_FINAL	sm_70	0	slot0/default
94	LDS	sm_70	0	slot0/default
95	STS	sm_70	0	slot0/default
96	LDG	sm_70	0	slot0/default
97	STG	sm_70	0	slot0/default
98	LDL	sm_70	0	slot0/default
99	STL	sm_70	1	direct
100	LD	sm_70	25	direct
101	ST	sm_70	33	direct
102	ATOM	sm_70	38	direct
103	ATOMG	sm_70	0	slot0/default
104	RED	sm_70	44	direct
105	ATOMS	sm_70	45	direct
106	QSPC	sm_70	59	direct
107	CCTL_NO_SB	sm_70	0	slot0/default
108	CCTL	sm_70	60	direct
109	CCTLL	sm_70	62	direct
110	CCTLT	sm_70	68	direct
111	MEMBAR	sm_70	71	direct
112	SULD	sm_70	78	direct
113	SUST	sm_70	79	direct
114	SUATOM	sm_70	106	direct
115	SURED	sm_70	0	slot0/default
116	PIXLD	sm_70	0	slot0/default
117	ISBERD	sm_70	0	slot0/default
118	ISBEWR	sm_70	147	direct
119	SHFL	sm_70	149	direct
120	WARPSYNC	sm_70	0	slot0/default
121	YIELD	sm_70	0	slot0/default
122	DFMA	sm_70	179	direct
123	DADD	sm_70	180	direct
124	DMUL	sm_70	192	direct
125	DSETP	sm_70	191	direct
126	HADD2	sm_70	199	direct
127	HADD2_F32	sm_70	215	direct
128	HFMA2	sm_70	0	slot0/default
129	HMUL2	sm_70	221	direct
130	HSET2	sm_70	225	direct
131	HSETP2	sm_70	2	direct
132	HMMA_16	sm_70	10	direct
133	HMMA_32	sm_70	48	direct
134	IMMA	sm_70	0	slot0/default
135	INTRINSIC	sm_70	0	slot0/default
136	SM70_LAST	sm_70	0	slot0/default
137	SM73_FIRST	sm_73	0	slot0/default
138	UBREV	sm_73	0	slot0/default
139	UBMSK	sm_73	0	slot0/default
140	UCLEA	sm_73	0	slot0/default
141	UISETP	sm_73	120	direct
142	ULDC	sm_73	126	direct
143	ULEA	sm_73	129	direct
