sass_opcode	sm_90a	sm_100	sm_103	sm_110	sm_120	sm_121
BRA	42	42	42	42	42	42
CALL	4	4	4	4	4	4
DADD	2	2	2	2	2	2
DFMA	30	30	30	30	30	30
DMUL	13	13	13	13	13	13
DSETP	6	6	6	6	6	6
EXIT	1	1	1	1	1	1
F2I	1	1	1	1	1	1
FADD	5	5	5	5	5	5
FCHK	1	1	1	1	1	1
FFMA	24	24	24	24	24	24
FLO	1	1	1	1	1	1
FMUL	8	8	8	8	8	8
FSEL	7	7	7	7	7	7
FSETP	17	17	17	17	17	17
HADD2	1	1	1	1	1	1
HFMA2	0	0	0	0	4	4
HMUL2	1	1	1	1	1	1
I2F	1	1	1	1	1	1
IABS	3	3	3	3	3	3
IADD	0	0	0	0	1	1
IADD3	5	5	5	20	34	34
IMAD	78	78	77	83	8	8
IMNMX	0	0	0	3	0	0
ISETP	30	30	30	30	30	30
LD	10	10	10	10	10	10
LDC	6	6	6	6	6	6
LDCU	0	1	1	1	1	1
LEA	1	1	1	1	1	1
LOP3	44	44	44	44	44	44
MOV	7	7	7	4	55	55
MUFU	13	13	13	13	13	13
NOP	13	13	150	147	152	152
OPC	1	1	1	1	1	1
RET	4	4	4	4	4	4
RMT	1	1	1	1	1	1
SEL	10	10	10	10	10	10
SHF	6	6	6	6	6	6
ST	24	24	24	24	24	24
ULDC	1	0	0	0	0	0
VIADD	15	15	15	0	0	0
VIADDMNMX	1	1	1	0	0	0
VIMNMX	2	2	2	0	3	3
