# ptxas device-builtin (embedded PTX intrinsic) catalog (CUDA 13.0.88)
# source_va=0x1D1E200 end_va=0x1D4B777 size_bytes=185719 entry_count=1080
# categories: cuda_other=549, sm70_intrinsics=433, sm20_math=70, redux_sync=17, sanitizer=7, sm80_intrinsics=4
# n_params parsed from final paren group of the .func declaration
index	va	function_name	category	return_type	n_params	declaration
0	0x1D1E200	__cuda_sm20_div_s16	sm20_math	.reg .s32 %d	2	.weak .func (.reg .s32 %d) __cuda_sm20_div_s16 (.reg .s32 %a0, .reg .s32 %a1)        ;
1	0x1D1E260	__cuda_sm20_div_u16	sm20_math	.reg .u32 %d	2	.weak .func (.reg .u32 %d) __cuda_sm20_div_u16 (.reg .u32 %a0, .reg .u32 %a1)        ;
2	0x1D1E2C0	__cuda_sm20_rem_s16	sm20_math	.reg .s32 %d	2	.weak .func (.reg .s32 %d) __cuda_sm20_rem_s16 (.reg .s32 %a0, .reg .s32 %a1)        ;
3	0x1D1E320	__cuda_sm20_rem_u16	sm20_math	.reg .u32 %d	2	.weak .func (.reg .u32 %d) __cuda_sm20_rem_u16 (.reg .u32 %a0, .reg .u32 %a1)        ;
4	0x1D1E37C	__cuda_sm20_div_u64	sm20_math	.reg .u64 %rdv1	2	.weak .func (.reg .u64 %rdv1) __cuda_sm20_div_u64 (.reg .u64 %rda1, .reg .u64 %rda2)    ;
5	0x1D1E3DC	__cuda_sm20_div_s64	sm20_math	.reg .u64 %rdv1	2	.weak .func (.reg .u64 %rdv1) __cuda_sm20_div_s64 (.reg .u64 %rda1, .reg .u64 %rda2)    ;
6	0x1D1E43C	__cuda_sm20_rem_u64	sm20_math	.reg .u64 %rdv1	2	.weak .func (.reg .u64 %rdv1) __cuda_sm20_rem_u64 (.reg .u64 %rda1, .reg .u64 %rda2)    ;
7	0x1D1E49C	__cuda_sm20_rem_s64	sm20_math	.reg .u64 %rdv1	2	.weak .func (.reg .u64 %rdv1) __cuda_sm20_rem_s64 (.reg .u64 %rda1, .reg .u64 %rda2)    ;
8	0x1D1E4FC	__cuda_sm20_div_rn_noftz_f32_slowpath	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rn_noftz_f32_slowpath (.reg .f32 %fa1, .reg .f32 %fa2)    ;
9	0x1D1E56C	__cuda_sm20_div_rn_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rn_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
10	0x1D1E5CC	__cuda_sm20_div_rd_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rd_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
11	0x1D1E62C	__cuda_sm20_div_ru_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_ru_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
12	0x1D1E68C	__cuda_sm20_div_rz_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rz_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
13	0x1D1E6EC	__cuda_sm20_div_rn_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rn_ftz_f32_slowpath (.reg .f32 %fa1, .reg .f32 %fa2)    ;
14	0x1D1E75C	__cuda_sm20_div_rn_ftz_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rn_ftz_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
15	0x1D1E7C4	__cuda_sm20_div_rd_ftz_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rd_ftz_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
16	0x1D1E82C	__cuda_sm20_div_ru_ftz_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_ru_ftz_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
17	0x1D1E894	__cuda_sm20_div_rz_ftz_f32	sm20_math	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm20_div_rz_ftz_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
18	0x1D1E8FC	__cuda_sm3x_div_rn_noftz_f32_slowpath	cuda_other	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm3x_div_rn_noftz_f32_slowpath (.reg .f32 %fa1, .reg .f32 %fa2)    ;
19	0x1D1E96C	__cuda_sm3x_div_rn_noftz_f32	cuda_other	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm3x_div_rn_noftz_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
20	0x1D1E9D4	__cuda_sm3x_div_rn_ftz_f32_slowpath	cuda_other	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm3x_div_rn_ftz_f32_slowpath (.reg .f32 %fa1, .reg .f32 %fa2)    ;
21	0x1D1EA44	__cuda_sm3x_div_rn_ftz_f32	cuda_other	.reg .f32 %fv1	2	.weak .func (.reg .f32 %fv1) __cuda_sm3x_div_rn_ftz_f32 (.reg .f32 %fa1, .reg .f32 %fa2)    ;
22	0x1D1EAA8	__cuda_sm20_div_ru_f64_v2	sm20_math	.reg .f64 %fdv1	2	.weak .func (.reg .f64 %fdv1) __cuda_sm20_div_ru_f64_v2 (.reg .f64 %fdnum, .reg .f64 %fdden);
23	0x1D1EB08	__cuda_sm20_div_rd_f64_v2	sm20_math	.reg .f64 %fdv1	2	.weak .func (.reg .f64 %fdv1) __cuda_sm20_div_rd_f64_v2 (.reg .f64 %fdnum, .reg .f64 %fdden);
24	0x1D1EB68	__cuda_sm20_div_rz_f64_v2	sm20_math	.reg .f64 %fdv1	2	.weak .func (.reg .f64 %fdv1) __cuda_sm20_div_rz_f64_v2 (.reg .f64 %fdnum, .reg .f64 %fdden);
25	0x1D1EBC8	__cuda_sm20_div_rn_f64_full	sm20_math	.reg .f64 %fdv1	2	.weak .func (.reg .f64 %fdv1) __cuda_sm20_div_rn_f64_full (.reg .f64 %fdnum, .reg .f64 %fdden);
26	0x1D1EC28	__cuda_sm20_div_rn_f64_fast	sm20_math	.reg .f64 %fdv1	2	.weak .func (.reg .f64 %fdv1) __cuda_sm20_div_rn_f64_fast (.reg .f64 %fdnum, .reg .f64 %fdden);
27	0x1D1EC8C	__cuda_sm20_rcp_rn_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rn_f32_slowpath (.reg .f32 %fa1)    ;
28	0x1D1ECE4	__cuda_sm20_rcp_rn_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rn_f32 (.reg .f32 %fa1)    ;
29	0x1D1ED34	__cuda_sm20_rcp_rd_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rd_f32_slowpath (.reg .f32 %fa1)    ;
30	0x1D1ED8C	__cuda_sm20_rcp_rd_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rd_f32 (.reg .f32 %fa1)    ;
31	0x1D1EDDC	__cuda_sm20_rcp_ru_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_ru_f32_slowpath (.reg .f32 %fa1)    ;
32	0x1D1EE34	__cuda_sm20_rcp_ru_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_ru_f32 (.reg .f32 %fa1)    ;
33	0x1D1EE84	__cuda_sm20_rcp_rz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rz_f32_slowpath (.reg .f32 %fa1)    ;
34	0x1D1EEDC	__cuda_sm20_rcp_rz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rz_f32 (.reg .f32 %fa1)    ;
35	0x1D1EF2C	__cuda_sm20_rcp_rn_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rn_ftz_f32_slowpath (.reg .f32 %fa1)    ;
36	0x1D1EF8C	__cuda_sm20_rcp_rn_ftz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rn_ftz_f32 (.reg .f32 %fa1)    ;
37	0x1D1EFE4	__cuda_sm20_rcp_rd_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rd_ftz_f32_slowpath (.reg .f32 %fa1)    ;
38	0x1D1F044	__cuda_sm20_rcp_rd_ftz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rd_ftz_f32 (.reg .f32 %fa1)    ;
39	0x1D1F09C	__cuda_sm20_rcp_ru_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_ru_ftz_f32_slowpath (.reg .f32 %fa1)    ;
40	0x1D1F0FC	__cuda_sm20_rcp_ru_ftz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_ru_ftz_f32 (.reg .f32 %fa1)    ;
41	0x1D1F154	__cuda_sm20_rcp_rz_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rz_ftz_f32_slowpath (.reg .f32 %fa1)    ;
42	0x1D1F1B4	__cuda_sm20_rcp_rz_ftz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_rcp_rz_ftz_f32 (.reg .f32 %fa1)    ;
43	0x1D1F20C	__cuda_sm20_sqrt_rn_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rn_f32_slowpath (.reg .f32 %fa1)    ;
44	0x1D1F264	__cuda_sm20_sqrt_rn_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rn_f32 (.reg .f32 %fa1)    ;
45	0x1D1F2B4	__cuda_sm20_sqrt_rd_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rd_f32_slowpath (.reg .f32 %fa1)    ;
46	0x1D1F30C	__cuda_sm20_sqrt_rd_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rd_f32 (.reg .f32 %fa1)    ;
47	0x1D1F35C	__cuda_sm20_sqrt_ru_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_ru_f32_slowpath (.reg .f32 %fa1)    ;
48	0x1D1F3B4	__cuda_sm20_sqrt_ru_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_ru_f32 (.reg .f32 %fa1)    ;
49	0x1D1F404	__cuda_sm20_sqrt_rz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rz_f32_slowpath (.reg .f32 %fa1)    ;
50	0x1D1F45C	__cuda_sm20_sqrt_rz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rz_f32 (.reg .f32 %fa1)    ;
51	0x1D1F4AC	__cuda_sm20_sqrt_rn_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rn_ftz_f32_slowpath (.reg .f32 %fa1)    ;
52	0x1D1F50C	__cuda_sm20_sqrt_rn_ftz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rn_ftz_f32 (.reg .f32 %fa1)    ;
53	0x1D1F564	__cuda_sm20_sqrt_rd_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rd_ftz_f32_slowpath (.reg .f32 %fa1)    ;
54	0x1D1F5C4	__cuda_sm20_sqrt_rd_ftz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_rd_ftz_f32 (.reg .f32 %fa1)    ;
55	0x1D1F61C	__cuda_sm20_sqrt_ru_ftz_f32_slowpath	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_ru_ftz_f32_slowpath (.reg .f32 %fa1)    ;
56	0x1D1F67C	__cuda_sm20_sqrt_ru_ftz_f32	sm20_math	.reg .f32 %fv1	1	.weak .func (.reg .f32 %fv1) __cuda_sm20_sqrt_ru_ftz_f32 (.reg .f32 %fa1)    ;
