va	name	rot13_stored	is_rot13	region
0x21B64C8	NamedPhases	NamedPhases	False	OCG knobs (ctor_005)
0x21B64DA	VERTEX_AB	VERTEX_AB	False	OCG knobs (ctor_005)
0x21B64E4	VERTEX_A	VERTEX_A	False	OCG knobs (ctor_005)
0x21B64ED	VERTEX	VERTEX	False	OCG knobs (ctor_005)
0x21B64F4	TESSELLATION_INIT	TESSELLATION_INIT	False	OCG knobs (ctor_005)
0x21B6506	TESSELLATION	TESSELLATION	False	OCG knobs (ctor_005)
0x21B6513	PIXEL	PIXEL	False	OCG knobs (ctor_005)
0x21B6519	GEOMETRY	GEOMETRY	False	OCG knobs (ctor_005)
0x21B6522	COMPUTE	COMPUTE	False	OCG knobs (ctor_005)
0x21B6530	VERTEX_B	VERTEX_B	False	OCG knobs (ctor_005)
0x21B6668	DUMP_KNOBS_TO_FILE	DUMP_KNOBS_TO_FILE	False	OCG knobs (ctor_005)
0x21B67A8	C1m	P1z	True	OCG knobs (ctor_005)
0x21B67B0	C1m	P1z	True	OCG knobs (ctor_005)
0x21B6868	TrgXaboVaqrk	GetKnobIndex	True	OCG knobs (ctor_005)
0x21B6878	ParseKnobValue	ParseKnobValue	False	OCG knobs (ctor_005)
0x21B6888	ReadKnobsFile	ReadKnobsFile	False	OCG knobs (ctor_005)
0x21B6900	MercuryUseActiveThreadCollectiveInsts	ZrephelHfrNpgvirGuernqPbyyrpgvirVafgf	True	OCG knobs (ctor_005)
0x21B6940	MercuryTrackMultiReadsWarLatency	ZrephelGenpxZhygvErnqfJneYngrapl	True	OCG knobs (ctor_005)
0x21B6970	MercuryTepidAwareSb	ZrephelGrcvqNjnerFo	True	OCG knobs (ctor_005)
0x21B69A0	MercuryPresumeXblockWaitBeneficial	ZrephelCerfhzrKoybpxJnvgOrarsvpvny	True	OCG knobs (ctor_005)
0x21B69D0	MercuryMergePrologueBlocks	ZrephelZretrCebybthrOybpxf	True	OCG knobs (ctor_005)
0x21B6A00	MercuryIssueDelayWBStallSelfLoop	ZrephelVffhrQrynlJOFgnyyFrysYbbc	True	OCG knobs (ctor_005)
0x21B6A30	MercuryInsertXblockWait	ZrephelVafregKoybpxJnvg	True	OCG knobs (ctor_005)
0x21B6A60	MercuryInsertBackedgeDepbar	ZrephelVafregOnpxrqtrQrcone	True	OCG knobs (ctor_005)
0x21B6A90	MercuryInsertAssumes	ZrephelVafregNffhzrf	True	OCG knobs (ctor_005)
0x21B6AB0	MercuryGenSassUCode	ZrephelTraFnffHPbqr	True	OCG knobs (ctor_005)
0x21B6AD0	MercuryForceUnknownTcgen05Attr	ZrephelSbeprHaxabjaGptra05Ngge	True	OCG knobs (ctor_005)
0x21B6B00	MercuryForceISAClass	ZrephelSbeprVFNPynff	True	OCG knobs (ctor_005)
0x21B6B20	MercuryEncodeNewWorkerFiles	ZrephelRapbqrArjJbexreSvyrf	True	OCG knobs (ctor_005)
0x21B6B50	MercuryEncodeDecode	ZrephelRapbqrQrpbqr	True	OCG knobs (ctor_005)
0x21B6B70	MercuryDumpInstsAsBinary	ZrephelQhzcVafgfNfOvanel	True	OCG knobs (ctor_005)
0x21B6BA0	MercuryDisableLegalizationOfTexToURBound	ZrephelQvfnoyrYrtnyvmngvbaBsGrkGbHEObhaq	True	OCG knobs (ctor_005)
0x21B6BE0	MercuryDepStagePreferNonLiveinPSB	ZrephelQrcFgntrCersreAbaYvirvaCFO	True	OCG knobs (ctor_005)
