index	bss_offset	name	type	description	min	max	default	stepsize	flags
0	0x590		OKT_INT		0	1	""""""	0x1	0x0
1	0x598		OKT_INT		0	1	1	1	0x1
2	0x59c		OKT_INT		0	1	1	1	0x1
3	0x5a0		OKT_INT		0	1	1	1	0x1
4	0x5b0		OKT_BDGT		0	2147483647	2147483647	1	0x4
5	0x5b8		OKT_NONE		0	0	0	0x1	0x6
6	0x5c0		OKT_INT		0	1	1	1	0x1
7	0x5d0		OKT_NONE		0	0	0	0x1	0x3
8	0x5e0		OKT_INT		0	2	1	1	0x1
9	0x5f0		OKT_INT		0	20	0	1	0x2
10	0x600		OKT_INT		0	20	10	1	0x1
11	0x610		OKT_INT		0	1	0	1	0x2
12	0x620		OKT_NONE		0	0	0	0x1	0x1
13	0x630		OKT_INT		0	100	100	1	0x2
14	0x640		OKT_NONE		0	0	0	0x1	0x3
15	0x650		OKT_INT		0	5	2	1	0x3
16	0x660		OKT_BDGT		0	2147483647	2147483647	2147483647	0x4
17	0x670		OKT_INT		0	1	1	1	0x1
18	0x678		OKT_NONE		0	1	1	1	0x1
19	0x680		OKT_INT		0	1	1	1	0x1
20	0x690		OKT_INT		0	1	1	1	0x1
21	0x6a0		OKT_INT		0	1	1	1	0x1
22	0x6b0		OKT_INT		0	1	1	1	0x1
23	0x6c0		OKT_INT		0	5	1	1	0x0
24	0x6d0		OKT_INT		0	10	0	1	0x0
25	06d4		OKT_OPCODE_STR_LIST		0	0	""""""	0x1	0x6
26	0x6e0		OKT_INT		0	1	1	1	0x1
27	0x6f0		OKT_INT		0	200	100	1	0x1
28	0x6f8		OKT_INT		0	1	1	1	0x1
29	0x700		OKT_INT		0	10	2	1	0x3
30	0x710		OKT_NONE		0	0	""""""	0x1	0x0
31	0x720		OKT_INT		0	1	0	1	0x0
32	0x730		OKT_INT		0	1	""""""	0x1	0x6
33	0x740		OKT_NONE		0	0	0	0x1	0x1
34	0x750		OKT_DBL		0.0	1.0	""""""	0x1	0x0
35	0x760		OKT_DBL		0.0	1.0	""""""	0x1	0x0
36	0x770		OKT_DBL		0.0	1.0	""""""	0x1	0x0
37	0x780		OKT_DBL		0.0	1.0	""""""	0x1	0x0
38	0x790		OKT_DBL		0.0	1.0	""""""	0x1	0x0
39	0x7a0		OKT_DBL		0.0	1.0	""""""	0x1	0x0
40	0x7b0		OKT_DBL		0.0	1.0	""""""	0x1	0x0
41	0x7c0		OKT_DBL		0.0	1.0	""""""	0x1	0x0
42	0x7d0		OKT_DBL		0.0	1.0	""""""	0x1	0x0
43	0x7e0		OKT_DBL		0.0	1.0	""""""	0x1	0x0
44	0x7e5		OKT_INT		0	2147483647	5	1	0x0
45	0x7ea		OKT_NONE		0	0	0	0x1	0x6
46	0x7f0		OKT_INT		1	54	1	1	0x1
47	0x800		OKT_INT		8	40	8	1	0x2
48	0x810		OKT_INT		20	60	40	1	0x6
49	0x818		OKT_INT		0	2147483647	50	1	0x6
50	0x820		OKT_INT		5	20	5	1	0x2
51	0x830		OKT_NONE		0	0	""""""	0x1	0x0
52	0x840		OKT_INT		0	1	""""""	0x1	0x0
53	0x850		OKT_INT		0	1	""""""	0x1	0x0
54	0x858		OKT_INT		0	1	""""""	0x1	0x0
55	0x860		OKT_BDGT		0	2147483647	2147483647	2147483647	0x4
56	0x870		OKT_BDGT		0	2147483647	2147483647	2147483647	0x4
57	0x880		OKT_BDGT		0	2147483647	2147483647	2147483647	0x4
58	0x890		OKT_INT		0	1	1	0x1	0x6
59	0x8a0		OKT_INT		1	40	1	1	0x2
60	0x8b0		OKT_INT		0	200	200	1	0x2
61	0x8c0		OKT_NONE		0	0	0	1	0x3
62	0x8d0		OKT_INT		0	1	0	0x1	0x6
63	0x8e0		OKT_NONE		0	0	""""""	0x1	0x0
64	0x8f0		OKT_INT		0	1	""""""	0x1	0x0
65	0x900		OKT_INT		0	1	""""""	0x1	0x0
66	0x910		OKT_INT		0	1	""""""	0x1	0x0
67	0x920		OKT_INT		0	1	""""""	0x1	0x0
68	0x930		OKT_INT		0	2147483647	""""""	0x1	0x6
69	0x940		OKT_INT		0	1	1	0x1	0x6
70	0x950		OKT_INT		0	1	1	1	0x2
71	0x960		OKT_BDGT		0	2147483647	2147483647	2147483647	0x4
72	0x970		OKT_NONE		0	0	0	0x1	0x2
73	0x980		OKT_INT		0	1	1	1	0x3
74	0x990		OKT_INT		0	1	1	1	0x3
75	0x9a0		OKT_BDGT		0	2147483647	2147483647	1	0x4
76	0x9b0		OKT_INT		0	1	1	1	0x3
77	0x9c0		OKT_INT		0	1	1	1	0x3
78	0x9d0		OKT_INT		0	1	1	1	0x3
79	0x9e0		OKT_INT		0	2147483647	""""""	0x1	0x0
80	0x9f0		OKT_BDGT		0	2147483647	2147483647	2147483647	0x0
81	0xa00		OKT_INT		0	2	1	1	0x3
82	0xa10		OKT_BDGT		0	2147483647	2147483647	2147483647	0x0
83	0xa20		OKT_INT		0	1	""""""	0x1	0x6
84	0xa28		OKT_INT		0	1	""""""	0x1	0x0
85	0xa29		OKT_INT		0	1	""""""	0x1	0x0
86	0xa30		OKT_INT		0	2	0	0x1	0x0
87	0xa40		OKT_BDGT		0	2147483647	2147483647	2147483647	0x4
88	0xa50		OKT_NONE		0	0	0	0x1	0x3
89	0xa60		OKT_BDGT		0	2147483647	2147483647	2147483647	0x4
90	0xa70		OKT_INT		0	1	1	1	0x3
91	0xa80		OKT_NONE		0	0	""""""	0x1	0x0
92	0xa90		OKT_DBL		0.0	1.0	""""""	0x1	0x6
