opcode_id	mnemonic	rot13_stored	sm_gen	encoding_slot	encoding_status	pipeline_flags_sm7x	pipeline_flags_sm10x	in_opcode_to_encoding_table
0	ERRBAR	REEONE	sm_70	0	default-slot	1	1	yes
1	IMAD	VZNQ	sm_70	0	default-slot	1	1	yes
2	IMAD_WIDE	VZNQ_JVQR	sm_70	0	default-slot	3	3	yes
3	IADD3	VNQQ3	sm_70	0	default-slot	3	3	yes
4	BMSK	OZFX	sm_70	0	default-slot	1	1	yes
5	SGXT	FTKG	sm_70	160	isel-slot	1	1	yes
6	LOP3	YBC3	sm_70	241	isel-slot			yes
7	ISETP	VFRGC	sm_70	148	isel-slot			yes
8	IABS	VNOF	sm_70	97	isel-slot	1	1	yes
9	LEA	YRN	sm_70	0	default-slot	1	1	yes
10	SHF	FUS	sm_70	93	isel-slot	1		yes
11	FFMA	SSZN	sm_70	94	isel-slot	1	1	yes
12	FADD	SNQQ	sm_70	0	default-slot		1	yes
13	FMUL	SZHY	sm_70	95	isel-slot	1	1	yes
14	FMNMX	SZAZK	sm_70	0	default-slot	1	1	yes
15	FSWZADD	SFJMNQQ	sm_70	0	default-slot	3	3	yes
16	FSET	SFRG	sm_70	0	default-slot	0	0	yes
17	FSEL	SFRY	sm_70	0	default-slot	1	1	yes
18	FSETP	SFRGC	sm_70	0	default-slot	1	1	yes
19	MOV	ZBI	sm_70	0	default-slot	1	1	yes
20	SEL	FRY	sm_70	29	isel-slot	1	1	yes
21	P2R	C2E	sm_70	0	default-slot	1		yes
22	R2P	E2C	sm_70	37	isel-slot	1	1	yes
23	PLOP3	CYBC3	sm_70	0	default-slot	1	1	yes
24	PRMT	CEZG	sm_70	188	isel-slot	1	1	yes
25	NOP	ABC	sm_70	190	isel-slot	3	3	yes
26	VOTE	IBGR	sm_70	0	default-slot	3		yes
27	CS2R_32	PF2E_32	sm_70	0	default-slot	3		yes
28	CS2R_64	PF2E_64	sm_70	0	default-slot	1	1	yes
29	PMTRIG	CZGEVT	sm_70	32	isel-slot	3	3	yes
30	CSMTEST	PFZGRFG	sm_70	271	isel-slot	1	1	yes
31	VABSDIFF	INOFQVSS	sm_70	159	isel-slot	1		yes
32	VABSDIFF4	INOFQVSS4	sm_70	72	isel-slot	3	3	yes
33	IDP	VQC	sm_70	0	default-slot	2	2	yes
34	IDE	VQR	sm_70	55	isel-slot	3	1	yes
35	I2I	V2V	sm_70	42	isel-slot	3		yes
36	I2IP	V2VC	sm_70	53	isel-slot	1	1	yes
37	IMNMX	VZAZK	sm_70	0	default-slot	1		yes
38	POPC	CBCP	sm_70	0	default-slot	1	1	yes
39	FLO	SYB	sm_70	0	default-slot	4	4	yes
40	FCHK	SPUX	sm_70	355	sentinel-unencoded			yes
41	IPA	VCN	sm_70	0	default-slot			yes
