## Mercury FINALIZER pipeline (FNLZR) -- ordered stages that turn a Mercury/capmerc ELF into native SASS.
## "stage_name" = descriptive label / phase tag recovered from binary strings where present.
## "bin_fn" = binary-confirmed ptxas function VMA where known; "-" = stage is internal/inlined or arch-ucode (not separately documented here).
## The lib driver gates and parses input (stages 1-3); per-text-section codegen runs the SASS machine (GenerateSASS sub-phases); stages 5-12 remap relocs, size, and emit the SASS ELF.
stage	level	stage_name	bin_fn	what_it_does
01_accept	lib-driver	finalize-entry	sub_612DE0(fastpath)	gate input: 64-bit, EF_IS_MERCURY set, e_type in {ET_REL,ET_EXEC,ET_EWP}, abiVersion==ELFMERCABIV_ABI(0); arch-compatible / off-target family check (sub_60F290)
02_secgroup	lib-driver	section-grouping	-	group each Mercury .text.<fn> with its SHT_RELA reloc sec + SHT_CUDA_INFO nvinfo sec; build SASS symbol table, section-group info
03_parse	lib-driver	text/data section parse	-	parse reloc + text nvinfo sections -> per-section meta-info; parse global nvinfo section
04_codegen	per-text	GenerateSASS (core finalizer / threadpool)	-	run the SASS machine per text section (see SASS_* sub-stages); min-heap threadpool bins sections by summed size across the available core count
SASS_a_decode	codegen-phase	CONVERT_MERC_BINARY_TO_MERC_IR	-	decode Mercury packet stream (MPE) into Mercury IR
SASS_b_expand	codegen-phase	FINALIZER_EXPANSION	-	expand pseudo/macro Mercury ops into concrete instruction forms
SASS_c_opex	codegen-phase	FINALIZER_OPEX	-	operand-extension / scheduling-barrier (scoreboard) resolution
SASS_d_wars	codegen-phase	FINALIZER_WARS	-	apply per-SM hardware workarounds
SASS_e_emit	codegen-phase	MERC_IR_TO_SASS	-	emit final SASS bytes; build instr-offset vector (Mercury offset -> SASS offset), record yield instr offsets / count
SASS_f_updvec	codegen-phase	UPDATE_INST_VECTOR	-	finalize the offset map
05_relocs	per-text-post	UPDATE_RELOCS_OFFSET	sub_1CD48C0(master resolver)	remap reloc offsets byte->instr via instr-offset vector[off/bytes_in_mpe]; PROG_REL32/_HI/_LO -> R_CUDA_NONE (set during emit); clear const-bank relocs; add yield relocation if vSM<70
06_split	per-reloc	(mercury_reloc_info[rtype-0x10000].handler)	sub_1CD48C0	FNLZR-vs-driver split: handler==NVRH_FINALIZER -> defer to the deferred-reloc list (no output rela slot); else emit rela with the merc->sass reloc conversion(rtype)
07_binsize	lib-driver	output-size pass	-	size the output SASS ELF; only EIATTR_FRAME_SIZE / EIATTR_MIN_STACK_SIZE in global nvinfo may grow
08_emit	lib-driver	SASS-ELF emit	sub_1CB8E40(capmerc emitter driver)	write SASS ELF; clear EF_CUDA_MERCURY; abiVersion=ELFOSABIV_LATEST(7); set EF_CUDA_64BIT_ADDRESS; demote shared/global/local to NOBITS for ET_EXEC; phoff=phnum=0
09_emit_aux	lib-driver	Mercury-aux emit	sub_1C98C60(merc classifier)/sub_1C9F280(master ELF emitter)	emit .nv.merc.* clones (SHT_CUDA_MERCURY), Mercury-to-SASS map sections (SHT_CUDA_MERCURY_SASS_MAP), renamed Mercury constant banks
10_resolve_deferred	lib-driver	deferred-reloc resolve	sub_1CD34E0(bit-patcher)	AFTER text-section symbol values are set: patch deferred FNLZR relocs in place; NVRS_ADDR (32/64) + NVRS_ADDR8_* lanes only, else ELFNLZR_ERROR_INVALID_RELOCATION
11_dedup	emit-substage	(CUDA-13 content dedup; new since earlier toolchains)	sub_1CABD60->sub_1CA6890	content-equality dedup of constant blobs (stage1 of sub_1CB8E40) then symbol/name dedup (sub_1CB68D0); see dedup_functions.tsv
12_selfcheck	optional	(self-check / out-sass)	sub_720F00(lexer)+sub_729540(comparator)	--self-check: reconstitute SASS from capsule and compare section-by-section; errors 17/18/19 on mismatch
