## Mercury-to-SASS offset map (SHT_CUDA_MERCURY_SASS_MAP = SHT_LOPROC+13 = 0x7000000D).
## Section name: ".mercury_to_sass_map" (MERC_MAP_SECNAME), suffixed with the text-section name; sh_info = SASS section index.
## A DWARF-line-program-style byte-code state machine emitted by the ptxas master ELF emitter (sub_1C9F280) + capsule descriptor builder (sub_1C9C300).
## It records the correspondence Mercury-instruction-offset <-> SASS-instruction-offset so the driver/debugger can relabel Mercury PCs to SASS PCs after finalization.
## Opcode/header identifiers and the MPE/SASS sizes are corroborated binary-side (MPE packet = 32B, SASS inst = 16B).
##
## --- HEADER (map header, 16 bytes, 4x u32 LE) ---
field	value	meaning
version	1	map format version
headerLength	16	header size in bytes
sassInstSize	16	bytes per finalized SASS instruction (0x10)
mercInitialInstsize	32	bytes per Mercury packet / MPE (0x20)
##
## --- OPCODES (1 byte opcode + LEB128 args; state machine) ---
opcode	value	args	effect
MSM_nop	0x00	none	padding / no-op
MSM_reset	0x01	none	reset state: mercOffset=0, sassOffset=0, sassInsSize=0x10, mercInsSize=0x20, sassIndex=0, repCount=1
MSM_set_mercury_offset	0x02	uleb	mercOffset = arg
MSM_set_mercury_insn_size	0x03	uleb	mercInsSize = arg (Mercury packet size; default 0x20)
MSM_set_sass_offset	0x04	uleb	sassOffset = arg
MSM_set_sass_insn_size	0x05	uleb	sassInsSize = arg (default 0x10)
MSM_set_sass_index	0x06	uleb	sassIndex = arg (sub-index for 1-Mercury -> N-SASS expansion)
MSM_incr_offsets	0x07	uleb,sleb	mercOffset += arg0; sassOffset += arg1
MSM_repeat	0x08	uleb	repCount = arg; applies as a run-length prefix to the next map/map_expanded
MSM_map	0x09	none	emit one (mercOffset, sassOffset) pair; advance both by their instruction sizes
MSM_map_incr	0x0a	uleb,sleb	emit pair, then mercOffset += arg0, sassOffset += arg1 (custom advance)
MSM_map_expanded	0x0b	uleb	1-Mercury -> N-SASS expansion; expansion count = arg; sassIndex sub-steps
