code	name	patch_op	used_by_mercury_relocs
0	NVRS_NONE	no-op (ignore action)	R_MERCURY_NONE
1	NVRS_ADDR	value = sym+addend; full-width insert (width64@bit0 = whole qword copy; else compose_bits)	G64, ABS64/32/16, PROG_REL64/32/32_LO/32_HI
2	NVRS_GADDR	generic (window-relative) address; driver-resolved	(none direct in mercury; G8 lanes use GADDR8_*)
3	NVRS_HEADER	tex/samp/surf header index bind (default path, not bit-patcher)	TEX/SAMP/SURF_HEADER_INDEX
6	NVRS_LOADDR	low 32 bits of (sym+addend)	ABS32_LO
7	NVRS_HIADDR	high 32 bits ((sym+addend)>>32)	ABS32_HI
15	NVRS_FDESCA	address of entry-function descriptor	FUNC_DESC_64
16	NVRS_PCREL	pcRel = (signed)(sym_value - reloc_offset)	ABS_PROG_REL32_LO/HI, ABS_PROG_REL32/64
20	NVRS_CLEAR	clear the field to zero (sym deleted)	UNUSED_CLEAR64
22	NVRS_ADDR8_0	byte lane 0 of address (mask 0xff, shift 0)	8_0, PROG_REL8_0
23	NVRS_ADDR8_8	byte lane 1 (shift 8)	8_8, PROG_REL8_8
24	NVRS_ADDR8_16	byte lane 2 (shift 16)	8_16, PROG_REL8_16
25	NVRS_ADDR8_24	byte lane 3 (shift 24)	8_24, PROG_REL8_24
26	NVRS_ADDR8_32	byte lane 4 (shift 32)	8_32, PROG_REL8_32
27	NVRS_ADDR8_40	byte lane 5 (shift 40)	8_40, PROG_REL8_40
28	NVRS_ADDR8_48	byte lane 6 (shift 48)	8_48, PROG_REL8_48
29	NVRS_ADDR8_56	byte lane 7 (shift 56)	8_56, PROG_REL8_56
30	NVRS_GADDR8_0	generic-address byte lane 0	G8_0
31	NVRS_GADDR8_8	generic byte lane 1	G8_8
32	NVRS_GADDR8_16	generic byte lane 2	G8_16
33	NVRS_GADDR8_24	generic byte lane 3	G8_24
34	NVRS_GADDR8_32	generic byte lane 4	G8_32
35	NVRS_GADDR8_40	generic byte lane 5	G8_40
36	NVRS_GADDR8_48	generic byte lane 6	G8_48
37	NVRS_GADDR8_56	generic byte lane 7	G8_56
38	NVRS_FDESC8_0	func-descriptor byte lane 0	FUNC_DESC_8_0
39	NVRS_FDESC8_8	func-descriptor byte lane 1	FUNC_DESC_8_8
40	NVRS_FDESC8_16	func-descriptor byte lane 2	FUNC_DESC_8_16
41	NVRS_FDESC8_24	func-descriptor byte lane 3	FUNC_DESC_8_24
42	NVRS_FDESC8_32	func-descriptor byte lane 4	FUNC_DESC_8_32
43	NVRS_FDESC8_40	func-descriptor byte lane 5	FUNC_DESC_8_40
44	NVRS_FDESC8_48	func-descriptor byte lane 6	FUNC_DESC_8_48
45	NVRS_FDESC8_56	func-descriptor byte lane 7	FUNC_DESC_8_56
46	NVRS_UADDR	unified address of symbol	UNIFIED, UNIFIED_32
47	NVRS_UADDR8_0	unified-address byte lane 0	UNIFIED_8_0
48	NVRS_UADDR8_8	unified byte lane 1	UNIFIED_8_8
49	NVRS_UADDR8_16	unified byte lane 2	UNIFIED_8_16
50	NVRS_UADDR8_24	unified byte lane 3	UNIFIED_8_24
51	NVRS_UADDR8_32	unified byte lane 4	UNIFIED_8_32
52	NVRS_UADDR8_40	unified byte lane 5	UNIFIED_8_40
53	NVRS_UADDR8_48	unified byte lane 6	UNIFIED_8_48
54	NVRS_UADDR8_56	unified byte lane 7	UNIFIED_8_56
55	NVRS_LOUADDR	low 32 bits of unified address (CUDA-13)	UNIFIED32_LO
56	NVRS_HIUADDR	high 32 bits of unified address (CUDA-13)	UNIFIED32_HI
