idx	r_type	name	handler	start_bit	num_bits	sym_value_code	sym_value_name	src_start_bit	entry_vma	present_prior
0	0x10000	R_MERCURY_NONE	NVRH_NONE	0	0	0	NVRS_NONE	0	0x23ff080	yes
1	0x10001	R_MERCURY_G64	NVRH_DRIVER	0	64	1	NVRS_ADDR	0	0x23ff0c0	yes
2	0x10002	R_MERCURY_ABS64	NVRH_EITHER	0	64	1	NVRS_ADDR	0	0x23ff100	yes
3	0x10003	R_MERCURY_ABS32	NVRH_EITHER	0	32	1	NVRS_ADDR	0	0x23ff140	yes
4	0x10004	R_MERCURY_ABS16	NVRH_EITHER	0	16	1	NVRS_ADDR	0	0x23ff180	yes
5	0x10005	R_MERCURY_ABS32_LO	NVRH_DRIVER	0	32	6	NVRS_LOADDR	0	0x23ff1c0	yes
6	0x10006	R_MERCURY_ABS32_HI	NVRH_DRIVER	0	32	7	NVRS_HIADDR	32	0x23ff200	yes
7	0x10007	R_MERCURY_PROG_REL64	NVRH_FINALIZER	0	64	1	NVRS_ADDR	0	0x23ff240	yes
8	0x10008	R_MERCURY_PROG_REL32	NVRH_FINALIZER	0	32	1	NVRS_ADDR	0	0x23ff280	yes
9	0x10009	R_MERCURY_PROG_REL32_LO	NVRH_FINALIZER	0	32	1	NVRS_ADDR	0	0x23ff2c0	yes
10	0x1000a	R_MERCURY_PROG_REL32_HI	NVRH_FINALIZER	0	32	1	NVRS_ADDR	32	0x23ff300	yes
11	0x1000b	R_MERCURY_TEX_HEADER_INDEX	NVRH_DRIVER	0	20	3	NVRS_HEADER	0	0x23ff340	yes
12	0x1000c	R_MERCURY_SAMP_HEADER_INDEX	NVRH_DRIVER	20	12	3	NVRS_HEADER	0	0x23ff380	yes
13	0x1000d	R_MERCURY_SURF_HEADER_INDEX	NVRH_DRIVER	0	20	3	NVRS_HEADER	0	0x23ff3c0	yes
14	0x1000e	R_MERCURY_UNUSED_CLEAR64	NVRH_LINKER	0	64	20	NVRS_CLEAR	0	0x23ff400	yes
15	0x1000f	R_MERCURY_FUNC_DESC_64	NVRH_DRIVER	0	64	15	NVRS_FDESCA	0	0x23ff440	yes
16	0x10010	R_MERCURY_8_0	NVRH_EITHER	0	8	22	NVRS_ADDR8_0	0	0x23ff480	yes
17	0x10011	R_MERCURY_8_8	NVRH_EITHER	0	8	23	NVRS_ADDR8_8	8	0x23ff4c0	yes
18	0x10012	R_MERCURY_8_16	NVRH_EITHER	0	8	24	NVRS_ADDR8_16	16	0x23ff500	yes
19	0x10013	R_MERCURY_8_24	NVRH_EITHER	0	8	25	NVRS_ADDR8_24	24	0x23ff540	yes
20	0x10014	R_MERCURY_8_32	NVRH_EITHER	0	8	26	NVRS_ADDR8_32	32	0x23ff580	yes
21	0x10015	R_MERCURY_8_40	NVRH_EITHER	0	8	27	NVRS_ADDR8_40	40	0x23ff5c0	yes
22	0x10016	R_MERCURY_8_48	NVRH_EITHER	0	8	28	NVRS_ADDR8_48	48	0x23ff600	yes
23	0x10017	R_MERCURY_8_56	NVRH_EITHER	0	8	29	NVRS_ADDR8_56	56	0x23ff640	yes
24	0x10018	R_MERCURY_G8_0	NVRH_DRIVER	0	8	30	NVRS_GADDR8_0	0	0x23ff680	yes
25	0x10019	R_MERCURY_G8_8	NVRH_DRIVER	0	8	31	NVRS_GADDR8_8	8	0x23ff6c0	yes
26	0x1001a	R_MERCURY_G8_16	NVRH_DRIVER	0	8	32	NVRS_GADDR8_16	16	0x23ff700	yes
27	0x1001b	R_MERCURY_G8_24	NVRH_DRIVER	0	8	33	NVRS_GADDR8_24	24	0x23ff740	yes
28	0x1001c	R_MERCURY_G8_32	NVRH_DRIVER	0	8	34	NVRS_GADDR8_32	32	0x23ff780	yes
29	0x1001d	R_MERCURY_G8_40	NVRH_DRIVER	0	8	35	NVRS_GADDR8_40	40	0x23ff7c0	yes
30	0x1001e	R_MERCURY_G8_48	NVRH_DRIVER	0	8	36	NVRS_GADDR8_48	48	0x23ff800	yes
31	0x1001f	R_MERCURY_G8_56	NVRH_DRIVER	0	8	37	NVRS_GADDR8_56	56	0x23ff840	yes
32	0x10020	R_MERCURY_FUNC_DESC_8_0	NVRH_DRIVER	0	8	38	NVRS_FDESC8_0	0	0x23ff880	yes
33	0x10021	R_MERCURY_FUNC_DESC_8_8	NVRH_DRIVER	0	8	39	NVRS_FDESC8_8	8	0x23ff8c0	yes
34	0x10022	R_MERCURY_FUNC_DESC_8_16	NVRH_DRIVER	0	8	40	NVRS_FDESC8_16	16	0x23ff900	yes
35	0x10023	R_MERCURY_FUNC_DESC_8_24	NVRH_DRIVER	0	8	41	NVRS_FDESC8_24	24	0x23ff940	yes
36	0x10024	R_MERCURY_FUNC_DESC_8_32	NVRH_DRIVER	0	8	42	NVRS_FDESC8_32	32	0x23ff980	yes
37	0x10025	R_MERCURY_FUNC_DESC_8_40	NVRH_DRIVER	0	8	43	NVRS_FDESC8_40	40	0x23ff9c0	yes
38	0x10026	R_MERCURY_FUNC_DESC_8_48	NVRH_DRIVER	0	8	44	NVRS_FDESC8_48	48	0x23ffa00	yes
39	0x10027	R_MERCURY_FUNC_DESC_8_56	NVRH_DRIVER	0	8	45	NVRS_FDESC8_56	56	0x23ffa40	yes
40	0x10028	R_MERCURY_ABS_PROG_REL32_LO	NVRH_DRIVER	0	32	16	NVRS_PCREL	0	0x23ffa80	yes
41	0x10029	R_MERCURY_ABS_PROG_REL32_HI	NVRH_DRIVER	0	32	16	NVRS_PCREL	32	0x23ffac0	yes
42	0x1002a	R_MERCURY_PROG_REL8_0	NVRH_FINALIZER	0	8	22	NVRS_ADDR8_0	0	0x23ffb00	yes
43	0x1002b	R_MERCURY_PROG_REL8_8	NVRH_FINALIZER	0	8	23	NVRS_ADDR8_8	8	0x23ffb40	yes
44	0x1002c	R_MERCURY_PROG_REL8_16	NVRH_FINALIZER	0	8	24	NVRS_ADDR8_16	16	0x23ffb80	yes
45	0x1002d	R_MERCURY_PROG_REL8_24	NVRH_FINALIZER	0	8	25	NVRS_ADDR8_24	24	0x23ffbc0	yes
46	0x1002e	R_MERCURY_PROG_REL8_32	NVRH_FINALIZER	0	8	26	NVRS_ADDR8_32	32	0x23ffc00	yes
47	0x1002f	R_MERCURY_PROG_REL8_40	NVRH_FINALIZER	0	8	27	NVRS_ADDR8_40	40	0x23ffc40	yes
48	0x10030	R_MERCURY_PROG_REL8_48	NVRH_FINALIZER	0	8	28	NVRS_ADDR8_48	48	0x23ffc80	yes
49	0x10031	R_MERCURY_PROG_REL8_56	NVRH_FINALIZER	0	8	29	NVRS_ADDR8_56	56	0x23ffcc0	yes
50	0x10032	R_MERCURY_UNIFIED	NVRH_DRIVER	0	32	46	NVRS_UADDR	0	0x23ffd00	yes
51	0x10033	R_MERCURY_UNIFIED_32	NVRH_DRIVER	0	64	46	NVRS_UADDR	0	0x23ffd40	yes
52	0x10034	R_MERCURY_UNIFIED_8_0	NVRH_DRIVER	0	8	47	NVRS_UADDR8_0	0	0x23ffd80	yes
53	0x10035	R_MERCURY_UNIFIED_8_8	NVRH_DRIVER	0	8	48	NVRS_UADDR8_8	8	0x23ffdc0	yes
54	0x10036	R_MERCURY_UNIFIED_8_16	NVRH_DRIVER	0	8	49	NVRS_UADDR8_16	16	0x23ffe00	yes
55	0x10037	R_MERCURY_UNIFIED_8_24	NVRH_DRIVER	0	8	50	NVRS_UADDR8_24	24	0x23ffe40	yes
56	0x10038	R_MERCURY_UNIFIED_8_32	NVRH_DRIVER	0	8	51	NVRS_UADDR8_32	32	0x23ffe80	yes
57	0x10039	R_MERCURY_UNIFIED_8_40	NVRH_DRIVER	0	8	52	NVRS_UADDR8_40	40	0x23ffec0	yes
58	0x1003a	R_MERCURY_UNIFIED_8_48	NVRH_DRIVER	0	8	53	NVRS_UADDR8_48	48	0x23fff00	yes
59	0x1003b	R_MERCURY_UNIFIED_8_56	NVRH_DRIVER	0	8	54	NVRS_UADDR8_56	56	0x23fff40	yes
60	0x1003c	R_MERCURY_ABS_PROG_REL32	NVRH_DRIVER	0	32	16	NVRS_PCREL	0	0x23fff80	yes
61	0x1003d	R_MERCURY_ABS_PROG_REL64	NVRH_DRIVER	0	64	16	NVRS_PCREL	0	0x23fffc0	yes
62	0x1003e	R_MERCURY_UNIFIED32_LO	NVRH_DRIVER	0	32	55	NVRS_LOUADDR	0	0x2400000	NO(CUDA13-new)
63	0x1003f	R_MERCURY_UNIFIED32_HI	NVRH_DRIVER	0	32	56	NVRS_HIUADDR	32	0x2400040	NO(CUDA13-new)
64	0x10040	R_CUDA_NONE[sass_reloc_info[0]:contiguous-next-table]	NVRH_NONE	0	0	0	NVRS_NONE	0	0x2400080	n/a
