table	id	severity_code	severity	message	source
main	0	6	fatal	Memory allocation failure	plaintext
main	1	6	fatal	"Stray '""' character"	plaintext
main	2	6	fatal	Stray '[' character	plaintext
main	3	6	fatal	Stray '' character	plaintext
main	4	6	fatal	Could not open output file '%s'	plaintext
main	5	6	fatal	Could not open input file '%s'	plaintext
main	6	6	fatal	Memory allocation failure	plaintext
main	7	6	fatal	Unexpected non-ASCII character encountered on line %u	plaintext
main	8	6	fatal	Unexpected EOF encountered on line %u	plaintext
main	9	5	error	Non-generic address is not supported as operand for %s instruction	plaintext
main	10	5	error	Illegal operand type for address/array-index	plaintext
main	11	5	error	Instruction '%s' is not yet implemented %s '%s'	plaintext
main	12	5	error	Only %s vector modifier supported with type %s on %s operation for %s	plaintext
main	13	6	fatal	Unsupported Function '%s' on arch '%s' or higher	plaintext
main	14	5	error	'%s' syntax expected for instruction '%s'	plaintext
main	15	5	error	Argument %d of instruction '%s': value '%d' must be %s the value '%d' of argument %d	plaintext
main	16	5	error	Unsupported modifier '%s' for instruction '%s'	plaintext
main	17	5	error	Unsupported modifier '%s' %s for instruction '%s'	plaintext
main	18	5	error	Unexpected number of '%s' modifiers specified	plaintext
main	19	6	fatal	No variable storage specified	plaintext
main	20	5	error	Number of threads participating in barrier must be in multiple of warp size	plaintext
main	21	5	error	Call to '%s' requires call prototype	plaintext
main	22	2	info	Potential out of bound access while accessing symbol '%s' of type '%s' with instruction type '%s'.	plaintext
main	23	5	error	Illegal to use symbol '%s' of type %s as %s. Use %s only.	plaintext
main	24	5	error	Invalid combination of '%s' and '%s' for instruction '%s' %s	plaintext
main	25	6	fatal	Number of %s arguments (%d) to inline function '%s' crosses the limit %d. Consider increasing the limit	plaintext
main	26	5	error	Argument %d of instruction '%s': Maximum of %d-bits are expected to be set	plaintext
main	27	5	error	Invalid reserved shared memory variable %s	plaintext
main	28	5	error	Registers 0-3 are reserved by ABI and cannot be used for %s	plaintext
main	29	5	error	Minimum parameter register %d and number of parameter registers %d together overflows maximum register limit %d for %s	plaintext
main	30	5	error	Unexpected number of arguments specified for pragma %s	plaintext
main	31	3	warning	Unknown pragma '%s'. Ignoring pragma	plaintext
main	32	5	error	Cannot define alias to variable object '%s'	plaintext
main	33	5	error	Function '%s' with %s scope cannot be aliased	plaintext
main	34	5	error	Mismatch in prototype of alias '%s' and aliasee '%s'. %s differ(s)	plaintext
main	35	5	error	'%s' is already aliased to '%s' and cannot be redefined	plaintext
main	36	5	error	Cannot alias a function to itself	plaintext
main	37	5	error	Cannot define alias to entry function '%s'	plaintext
main	38	5	error	Illegal redefinition of function '%s' as alias	plaintext
main	39	5	error	Modifier '%s' on instruction '%s' %s is not supported starting %s and later architectures	plaintext
main	40	2	info	Advisory: Modifier '%s' should be used on instruction '%s' instead of modifier '%s' as it is expected to have substantially reduced performance on some future architectures	plaintext
main	41	3	warning	Advisory: '%s' modifier on instruction '%s' should be used on .target '%s' instead of .target '%s' as this feature is expected to have substantially reduced performance on some future architectures	plaintext
main	42	3	warning	'%s' modifier on instruction %s is deprecated since PTX ISA version %s and will be discontinued from future PTX ISA version	plaintext
main	43	3	warning	'%s' modifier on instruction %s may produce unexpected results on %s and later architectures	plaintext
main	44	5	error	Instruction '%s' with '%s' is not supported starting from PTX ISA version %s	plaintext
main	45	5	error	Instruction '%s' without '.sync' is not supported on .target sm_70 and higher from PTX ISA version 6.4	plaintext
main	46	3	warning	Instruction '%s' without '.sync' is deprecated since PTX ISA version 6.0 and will be discontinued in a future PTX ISA version	plaintext
main	47	3	warning	Instruction '%s' without '.sync' may produce unpredictable results on %s and later architectures	plaintext
main	48	5	error	Argument(s) to pragma '%s' cannot be empty	plaintext
main	49	5	error	Attribute '%s' specified multiple times in function	plaintext
main	50	5	error	Pragma '%s' is allowed only within function scope	plaintext
main	51	5	error	Pragma '%s' cannot be specified for device functions	plaintext
main	52	5	error	Pragma '%s' cannot be specified for function '%s'	plaintext
main	53	5	error	local_maxnreg specified multiple times in function '%s'	plaintext
main	54	5	error	Pragma '%s' specified multiple times in function '%s'	plaintext
main	55	5	error	Invalid range '%s' specified for .pragma '%s'	plaintext
main	56	5	error	Invalid value '%s' specified for .pragma '%s'	plaintext
main	57	5	error	Illegal %clayout '%s' for instruction '%s'	plaintext
main	58	5	error	Feature '%s' cannot be compiled for architecture '%s'	plaintext
main	59	5	error	Instruction '%s' cannot be compiled for architecture '%s'	plaintext
main	60	5	error	Feature '%s' not supported on .target '%s'	plaintext
main	61	5	error	Instruction '%s' not supported on .target '%s'	plaintext
main	62	5	error	Illegal matrix shape '%s' for instruction '%s' with '%s' modifier	plaintext
main	63	5	error	Illegal matrix shape '%s' for instruction '%s'	plaintext
main	64	5	error	Modifier '%s' requires '%s' space for instruction '%s'	plaintext
main	65	5	error	%s must be in '%s' space	plaintext
main	66	5	error	Only the last input parameter can be an incomplete array.	plaintext
main	67	5	error	%s cannot be an incomplete array.	plaintext
main	68	3	warning	Program is doing double precision computations.	plaintext
main	69	5	error	Undefined metadata index '%d'	plaintext
main	70	5	error	Duplicate metadata node with index '%d'	plaintext
main	71	5	error	Illegal use of attribute '%s' for instruction '%s'	plaintext
main	72	5	error	Illegal to predicate instruction '%s' with operand '%s'	plaintext
main	73	5	error	Illegal attribute '%s' for symbol '%s'	plaintext
main	74	5	error	Illegal operand type to instruction '%s'	plaintext
main	75	3	warning	%s	plaintext
main	76	3	warning	Double is not supported. Demoting to float	plaintext
main	77	5	error	Modifier '%s' requires .target %s or higher	plaintext
main	78	5	error	Modifier '%s' requires PTX ISA .version %s or later	plaintext
main	79	5	error	Feature '%s' requires .target %s or higher	plaintext
main	80	5	error	Modifier '%s' on '%s' requires .target %s or higher	plaintext
main	81	5	error	Modifier '%s' on '%s' requires PTX ISA .version %s or later	plaintext
main	82	5	error	Feature '%s' requires PTX ISA .version %s or later	plaintext
main	83	5	error	Instruction '%s%s%s%s' requires PTX ISA .version %d.%d or later	plaintext
main	84	5	error	Instruction '%s%s%s%s' requires .target sm_%d or higher	plaintext
main	85	5	error	Instruction '%s' requires .target %s or higher	plaintext
main	86	5	error	Undefined preprocessor macro '%s'	plaintext
main	87	6	fatal	Non-terminated preprocessor macro	plaintext
main	88	6	fatal	Missing .ENDMACRO	plaintext
main	89	6	fatal	Missing .ENDIF	plaintext
main	90	6	fatal	Ill formed conditional	plaintext
main	91	5	error	Too many operands for macro '%s'	plaintext
main	92	5	error	Formal parameter '%s' is also the name of a reserved macro parameter.	plaintext
main	93	5	error	Formal parameter names must be all different.	plaintext
main	94	5	error	Deprecated feature: '%s' not supported as of PTX version %s	plaintext
main	95	5	error	Unimplemented feature: %s	plaintext
main	96	5	error	Source location %d %d %d used in inlined_at directive must be used in a preceding .loc directive	plaintext
main	97	5	error	Debug information not found in presence of .target debug	plaintext
main	98	5	error	%s directive(s) required for directive '%s'	plaintext
main	99	5	error	Conflicting directives: %s	plaintext
main	100	5	error	Directive map_f64_to_f32 is not supported with SM 1.3 or higher	plaintext
main	101	5	error	Instruction '%s' requires SM 1.3 or higher, or map_f64_to_f32 directive	plaintext
main	102	6	fatal	Missing .target directive at start of file '%s'	plaintext
main	103	6	fatal	Target architecture not defined at start of file '%s'	plaintext
main	104	5	error	Conflicting .target option '%s'	plaintext
main	105	6	fatal	Unsupported .target '%s'	plaintext
main	106	6	fatal	Missing .version directive at start of file '%s'	plaintext
main	107	6	fatal	Unsupported .version %s; current version is '%s'	plaintext
main	108	5	error	Instruction '%s' applies only to signed numeric types	plaintext
main	109	5	error	Read-only special register cannot be destination argument	plaintext
main	110	5	error	Special register argument not allowed for instruction '%s'	plaintext
main	111	5	error	Module-scoped variables in %s state space are not allowed with ABI	plaintext
main	112	5	error	Undefined file index #%d	plaintext
main	113	5	error	Duplicate file index #%d	plaintext
main	114	5	error	Unable to infer type of vector elements (assuming .b8)	plaintext
main	115	5	error	Incompatible elements of vector expression	plaintext
main	116	2	info	Field '%s' is ignored in .texref variables in independent texture mode	plaintext
main	117	6	fatal	Unrecognized field name '%s' in opaque struct initializer	plaintext
main	118	6	fatal	Too many elements in opaque struct initializer	plaintext
main	119	5	error	Opaque structure initializer requires named fields	plaintext
main	120	6	fatal	Greater number of elements in array initializer	plaintext
main	121	6	fatal	Incorrect number of elements in vector initializer	plaintext
main	122	6	fatal	Variable used as initial value not in .global or .const state space	plaintext
main	123	6	fatal	Expected initializer for symbol '%s'.	plaintext
main	124	6	fatal	Invalid initial value expression	plaintext
main	125	5	error	Invalid mask value '0x%llx' used in initializer	plaintext
main	126	6	fatal	Invalid initial value symbol '%s'	plaintext
main	127	5	error	Unrecognized initial value symbol '%s'	plaintext
main	128	6	fatal	Initial value type mismatch	plaintext
main	129	5	error	Directive '%s' is supported only for '%s' functions	plaintext
main	130	5	error	Invalid directive '%s' for function '%s'	plaintext
main	131	5	error	Operand negation not allowed for instruction '%s'	plaintext
main	132	5	error	Floating-point coordinates required	plaintext
main	133	5	error	Integer coordinates require .s32 instruction type	plaintext
main	134	5	error	Illegal type for %s	plaintext
main	135	5	error	Value out of range for type .b%d %lld	plaintext
main	136	5	error	Positive non-zero value expected for %s	plaintext
main	137	5	error	Barrier number '%llu' out of range, expected to be in range [0..15]	plaintext
main	138	5	error	Instruction '%s' requires .v%d type	plaintext
main	139	5	error	Operand vector size doesn't match geometry for instruction '%s'	plaintext
main	140	5	error	Illegal query modifier for instruction '%s'	plaintext
main	141	6	fatal	No initial value is allowed for .f16 type	plaintext
main	142	5	error	No initial value is allowed for external symbol '%s'	plaintext
main	143	5	error	No initial value is allowed for '%s' in this state space	plaintext
main	144	5	error	Unexpected number of state spaces specified in instruction '%s'	plaintext
main	145	5	error	Multiple state spaces specified	plaintext
