# ptxas pseudo-instruction macro-builtin catalog (CUDA 13.0.88)
# Registrar: sub_5D4190. 588 entries = 115 NAMED (human-named pseudo-ops, dict a1+808)
#   + 473 NUMERIC (key = adler32(__cuda_* macro name), dict a1+816).
# expansion_summary recovered from the decoded PTX macro pool
#   (decoded/ptxas-ptx-macro-pool/ptxas_ptx_macro_pool.decoded.bin): each numeric
#   template uses registers prefixed __ptxMacroFuncsFermi_<name>_ with a __skip_<name>: end label;
#   named templates are anchored by a $..._cuda_<op>_DONE label. arch=(code) for NAMED ops
#   whose entry-point lowering lives in the handler fn (expansion still pool-templated by op name).
# columns: kind  key(dec)  hex  handler_fn  cuda_name  family  arch  expansion_summary
kind	key	hex	handler_fn	cuda_name	family	arch	expansion_summary
NAMED			sub_4DB410	membar	barrier/bar	(code)	memory fence; lowers to membar/fence with scope suffix
NAMED			sub_57F6E0	tensormap.replace	tensormap	(code)	patch tensormap descriptor fields in mem via ld/shl/lop3(0xD8 merge)/st RMW per field
NAMED			sub_59F630	cvt	convert	(code)	numeric type conversion; lowers to cvt with rounding/sat suffix
NAMED			sub_573860	div.full	math	(code)	f32: scale, rcp.approx.ftz.f32, Newton mul-refine, rescale; subnormal slow-path
NAMED			sub_5B76D0	div	math	(code)	int/rounded-f32: call __cuda_sm20_div_{s16,u16,s32,u32,s64,u64} reciprocal subroutine, cvt back
NAMED			sub_589810	rem	math	(code)	int: call __cuda_sm20_rem_* reciprocal subroutine; q=a/b then r=a-q*b
NAMED			sub_5B0CD0	rcp	math	(code)	range-reduce (selp scale subnormal/huge), rcp.approx.ftz.f32, rescale
NAMED			sub_57BFC0	rsqrt	math	(code)	subnormal scale-select, rsqrt.approx.ftz.f32/f64, rescale
NAMED			sub_583190	ex2	math	(code)	range-reduced ex2.approx.ftz.f32; f16 via cvt->ex2->cvt; f16x2 packed per half
NAMED			sub_52A5C0	lg2	math	(code)	lg2.approx.ftz.f32 core with pre/post scaling
NAMED			sub_5B4040	sqrt	math	(code)	sqrt.approx.ftz.f32 (approx) or call __cuda_sm20_sqrt_rn_ftz_f32 (rn)
NAMED			sub_52CAC0	sured.b	tex/surface	(code)	surface reduction passthrough: sured.b.<op>.<geom>.<type> [surf,coords],data
NAMED			sub_590C20	bfind	bit/int	(code)	b32 passthrough; b64: bfind on hi word, fallback to lo+32 if hi all-clear
NAMED			sub_50B5A0	brev	bit/int	(code)	b32 passthrough; b64: brev.b32 each half then swap lo<->hi
