kind	key	hex	handler	name
NAMED			sub_4DB410	membar
NAMED			sub_57F6E0	tensormap.replace
NAMED			sub_59F630	cvt
NAMED			sub_573860	div.full
NAMED			sub_5B76D0	div
NAMED			sub_589810	rem
NAMED			sub_5B0CD0	rcp
NAMED			sub_57BFC0	rsqrt
NAMED			sub_583190	ex2
NAMED			sub_52A5C0	lg2
NAMED			sub_5B4040	sqrt
NAMED			sub_52CAC0	sured.b
NAMED			sub_590C20	bfind
NAMED			sub_50B5A0	brev
NAMED			sub_578470	bfe
NAMED			sub_52E100	bfi
NAMED			sub_4DBCC0	clz
NAMED			sub_4DB210	popc
NAMED			sub_581A10	testp
NAMED			sub_50B180	copysign
NAMED			sub_4DD860	_ldldu
NAMED			sub_584D10	tex
NAMED			sub_5879B0	tex.base
NAMED			sub_58B6A0	tex.level
NAMED			sub_56D700	tld4
NAMED			sub_5ADDC0	tex.grad
NAMED			sub_59C7E0	vadd
NAMED			sub_59B1D0	vsub
NAMED			sub_598630	vmin
NAMED			sub_599BF0	vmax
NAMED			sub_59DDF0	vabsdiff
NAMED			sub_5945E0	vshl
NAMED			sub_595A80	vshr
NAMED			sub_591F00	vset
NAMED			sub_596F30	vmad
NAMED			sub_575950	vadd2
NAMED			sub_57EB70	vmax2
NAMED			sub_57E030	vmin2
NAMED			sub_550260	vabsdiff2
NAMED			sub_52DB20	vset2
NAMED			sub_5761F0	vsub2
NAMED			sub_579760	vavrg2
NAMED			sub_586B10	vadd4
NAMED			sub_573040	vmin4
NAMED			sub_5717E0	vmax4
NAMED			sub_572800	vabsdiff4
NAMED			sub_56DED0	vset4
NAMED			sub_585CA0	vsub4
NAMED			sub_57AAE0	vavrg4
NAMED			sub_56BA60	dp2a.lo
NAMED			sub_56C8D0	dp2a.hi
NAMED			sub_577BA0	dp4a
NAMED			sub_56A5A0	bar.warp
NAMED			sub_567680	redux
NAMED			sub_570290	barrier
NAMED			sub_524FB0	bar
NAMED			sub_570940	barrier.arrive
NAMED			sub_500BF0	bar.arrive
NAMED			sub_5889B0	barrier.red
NAMED			sub_52D590	bar.red
NAMED			sub_4DAB60	barrier.cta
