sm_generation	index	va	class_id	sub_a	sub_b	aux_ref	range_lo	range_hi	flag
sm_10x	0	0x224FE80	3	0	0	0	0	0	1
sm_10x	1	0x224FEC0	3	0	1	0	0	0	1
sm_10x	2	0x224FF00	3	0	6	0	0	0	1
sm_10x	3	0x224FF40	3	0	9	0	0	0	1
sm_10x	4	0x224FF80	3	0	10	0	0	0	1
sm_10x	5	0x224FFC0	3	0	26	0	0	0	1
sm_10x	6	0x2250000	3	0	28	0	0	0	1
sm_10x	7	0x2250040	3	1	1	0	0	0	1
sm_10x	8	0x2250080	3	2	2	0	0	0	1
sm_10x	9	0x22500C0	3	9	9	0	0	0	1
sm_10x	10	0x2250100	3	16	16	0	0	0	1
sm_10x	11	0x2250140	3	66	66	0	0	0	1
sm_10x	12	0x2250180	3	74	74	0	0	0	1
sm_10x	13	0x22501C0	4	0	0	0	0	0	1
sm_10x	14	0x2250200	0	0	0	0	0	0	1
sm_10x	15	0x2250240	1	0	0	0	0	0	1
sm_10x	16	0x2250280	5	0	0	0	0	0	1
sm_10x	17	0x22502C0	5	1	1	0	0	0	1
sm_10x	18	0x2250300	5	9	9	0	0	0	1
sm_10x	19	0x2250340	6	0	0	0	0	0	1
sm_10x	20	0x2250380	2	0	0	0	0	0	1
sm_10x	21	0x22503C0	9	0	0	0	0	0	1
sm_10x	22	0x2250400	9	0	1	0	0	0	1
sm_10x	23	0x2250440	9	0	2	0	0	0	1
sm_10x	24	0x2250480	9	0	4	0	0	0	1
sm_10x	25	0x22504C0	9	0	5	0	0	0	1
sm_10x	26	0x2250500	9	0	6	0	0	0	1
sm_10x	27	0x2250540	9	0	8	0	0	0	1
sm_10x	28	0x2250580	9	0	9	0	0	0	1
sm_10x	29	0x22505C0	9	0	10	0	0	0	1
sm_10x	30	0x2250600	9	0	14	0	0	0	1
sm_10x	31	0x2250640	9	0	20	0	0	0	1
sm_10x	32	0x2250680	9	0	22	0	0	0	1
sm_10x	33	0x22506C0	9	0	25	0	0	0	1
sm_10x	34	0x2250700	9	0	27	0	0	0	1
sm_10x	35	0x2250740	9	0	36	0	0	0	1
