table_va	record	warp_granule	reg_per_thread_budget	datapath_width	mode_flag	warps_per_sched	alloc_granularity	allocatable_gpr	derived_count1	derived_count2
0x21CE6A0	0	64	8	64	8	32	4	4	4	4
0x21CE6A0	1	64	16	64	8	32	4	8	8	8
0x21CE6A0	2	64	24	64	8	32	4	12	12	12
0x21CE6A0	3	64	32	64	8	32	4	16	16	16
0x21CE6A0	4	64	48	64	8	32	4	24	24	24
0x21CE6A0	5	64	64	64	8	32	4	32	32	32
0x21CE6A0	6	64	80	64	8	32	4	40	40	40
0x21CE6A0	7	64	96	64	8	32	4	48	48	48
0x21CE6A0	8	64	112	64	8	32	4	56	56	56
0x21CE6A0	9	64	128	64	8	32	4	64	64	64
0x21CE6A0	10	64	144	64	8	32	4	72	72	72
0x21CE6A0	11	64	160	64	8	32	4	80	80	80
0x21CE6A0	12	64	176	64	8	32	4	88	88	88
0x21CE6A0	13	64	192	64	8	32	4	96	96	96
0x21CE6A0	14	64	208	64	8	32	4	104	104	104
0x21CE6A0	15	64	224	64	8	32	4	112	112	112
0x21CE6A0	16	64	240	64	8	32	4	120	120	120
0x21CE6A0	17	64	256	64	8	32	4	128	128	128
0x21CEE60	0	64	8	256	1	32	4	2	4	4
0x21CEE60	1	64	16	256	1	32	4	4	8	8
0x21CEE60	2	64	24	256	1	32	4	6	12	12
0x21CEE60	3	64	32	256	1	32	4	8	16	16
0x21CEE60	4	64	48	256	1	32	4	12	24	24
0x21CEE60	5	64	64	256	1	32	4	16	32	32
0x21CEE60	6	64	80	256	1	32	4	20	40	40
0x21CEE60	7	64	96	256	1	32	4	24	48	48
0x21CEE60	8	64	112	256	1	32	4	28	56	56
0x21CEE60	9	64	128	256	1	32	4	32	64	64
0x21CEE60	10	64	144	256	1	32	4	36	72	72
0x21CEE60	11	64	160	256	1	32	4	40	80	80
0x21CEE60	12	64	176	256	1	32	4	44	88	88
0x21CEE60	13	64	192	256	1	32	4	48	96	96
0x21CEE60	14	64	208	256	1	32	4	52	104	104
0x21CEE60	15	64	224	256	1	32	4	56	112	112
0x21CEE60	16	64	240	256	1	32	4	60	120	120
0x21CEE60	17	64	256	256	1	32	4	64	128	128
