# sm_110 40-B dependency rules (430 classes).
# Resolved to the sm_103 Blackwell dependency-rule table @ .rodata VMA
# 0x2262720 (installer sub_ABF590 enum 0x4001).  Binary-derived
# (ptxas 13.0.88).  sm_120 == sm_121 byte-identical; both resolve to sm_103
# (FP64 DFMA/DADD decoupled like sm_103 -- not coupled like sm_100;
# dependent-DFMA issue gap 0x50 not 0x10 -- verified empirically).
# Identical bytes to dependency_rules_sm_103.tsv.
idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
0	0	0	52	21	56	1	-1	-1	39	4
1	2	1	17	0	56	8	-1	-1	0	1
2	3	1	17	0	56	8	-1	-1	33	2
3	4	1	42	15	56	4	-1	-1	1	1
4	5	1	42	15	56	4	-1	-1	1	1
5	6	1	42	15	56	4	-1	-1	1	1
6	7	1	42	15	56	4	-1	-1	3	3
7	8	1	42	15	56	4	-1	-1	2	3
8	9	1	42	15	56	4	-1	-1	1	1
9	10	1	42	15	56	4	-1	-1	4	1
10	11	1	17	0	56	8	-1	6	33	2
11	12	1	17	0	56	8	-1	-1	33	2
12	13	1	46	19	14	4	-1	-1	12	1
13	14	1	46	19	14	4	-1	-1	12	1
14	15	0	22	2	56	2	-1	-1	39	4
15	17	0	21	19	31	4	-1	-1	39	4
16	18	0	56	19	33	6	-1	-1	39	4
17	19	0	23	19	35	4	-1	-1	39	4
18	20	1	28	5	56	4	-1	5	33	2
19	21	0	22	2	56	2	-1	-1	39	4
20	22	1	28	5	56	4	-1	-1	5	1
21	23	1	28	5	56	4	-1	-1	5	1
22	24	0	52	21	56	1	-1	-1	39	4
23	25	1	28	5	56	4	-1	5	5	1
24	26	1	28	5	56	4	-1	5	5	1
25	27	1	28	5	56	4	-1	5	5	1
26	28	1	74	33	56	8	15	-1	36	1
27	29	1	29	6	56	8	-1	5	5	1
28	30	1	28	5	56	4	-1	-1	5	1
29	31	1	28	5	56	4	-1	-1	5	1
30	32	1	28	5	56	4	-1	5	5	1
31	33	1	29	6	56	8	-1	5	5	1
32	34	1	42	15	56	4	-1	-1	33	2
33	35	0	52	21	56	1	-1	8	39	4
34	39	0	52	21	56	1	-1	11	39	4
35	42	1	42	15	56	4	-1	-1	33	2
36	43	1	63	27	56	32	-1	-1	33	2
37	44	1	17	0	56	8	-1	6	33	2
38	45	1	48	19	10	64	-1	-1	18	1
39	48	0	22	2	56	2	-1	-1	39	4
40	49	0	46	18	56	2	-1	-1	39	4
41	51	0	22	2	56	2	-1	-1	39	4
42	52	1	48	19	10	64	-1	-1	18	1
43	54	0	52	21	56	1	-1	4	39	4
44	55	1	48	19	10	64	-1	-1	18	1
45	56	1	47	19	2	584	176	-1	17	1
46	57	1	19	19	5	1024	-1	-1	17	1
47	58	1	17	19	3	584	-1	-1	17	1
48	59	1	18	19	4	1024	-1	-1	17	1
49	60	1	48	19	10	64	-1	-1	18	1
50	61	1	48	19	10	64	-1	-1	18	1
51	62	0	22	2	56	2	-1	-1	39	4
52	63	1	28	5	56	4	-1	-1	5	1
53	64	0	52	21	56	1	-1	-1	39	4
54	65	1	28	5	56	4	-1	5	5	1
55	66	1	48	19	10	64	-1	-1	38	1
56	67	1	74	33	56	8	15	-1	36	1
57	68	0	22	2	56	2	-1	-1	39	4
58	69	1	48	19	10	64	-1	-1	38	1
59	70	1	74	33	56	8	15	-1	36	1
60	71	0	22	2	56	2	-1	-1	39	4
61	72	0	31	12	9	1	-1	-1	39	4
62	74	0	31	12	9	1	-1	-1	39	4
63	75	1	74	33	56	8	15	-1	36	1
64	76	1	42	15	56	4	-1	-1	8	1
65	77	1	42	15	56	4	-1	-1	9	1
66	79	0	31	12	9	1	-1	-1	39	4
67	81	0	31	12	9	1	-1	-1	39	4
68	87	1	74	33	56	8	15	-1	36	1
69	88	0	22	2	56	2	-1	-1	39	4
70	90	0	31	12	9	1	-1	-1	39	4
71	92	0	31	12	9	1	-1	-1	39	4
72	93	1	63	27	56	32	-1	-1	11	1
73	94	1	48	19	10	64	-1	-1	38	1
74	95	1	74	33	56	8	15	-1	36	1
75	96	0	22	2	56	2	-1	-1	39	4
76	97	0	22	2	56	2	-1	-1	39	4
77	98	0	22	2	56	2	-1	-1	39	4
78	99	0	30	12	8	2	-1	-1	39	4
79	100	0	22	2	56	2	-1	-1	39	4
80	101	0	22	2	56	2	-1	-1	39	4
81	102	1	17	0	56	8	-1	-1	33	2
82	103	0	33	12	13	2	-1	-1	39	4
83	104	0	30	12	8	2	-1	-1	39	4
84	105	0	33	12	13	2	-1	-1	39	4
85	106	0	33	12	13	2	-1	-1	39	4
86	107	0	33	12	13	2	-1	-1	39	4
87	108	0	33	12	13	2	-1	-1	39	4
88	109	1	46	19	14	4	-1	-1	12	1
89	110	1	46	19	14	4	-1	-1	12	1
90	112	0	19	19	26	6	-1	-1	39	4
91	113	0	18	19	23	4	-1	-1	39	4
92	114	0	19	19	26	6	-1	-1	39	4
93	115	0	17	19	21	4	-1	-1	39	4
94	116	0	20	19	28	6	-1	-1	39	4
95	117	0	16	19	19	8	-1	-1	39	4
96	118	0	15	19	17	8	-1	-1	39	4
97	119	0	52	19	25	6	-1	-1	39	4
98	120	0	22	2	56	2	-1	-1	39	4
