idx	unit_id	rule_type	latency	throughput_inv	barrier_latency	barrier_throughput	read_latency	write_latency	stall_cycles	issue_slots
0	2	1	17	0	56	8	-1	-1	0	1
1	3	1	17	0	56	8	-1	-1	33	2
2	4	1	42	15	56	4	-1	-1	1	1
3	5	1	42	15	56	4	-1	-1	1	1
4	6	1	42	15	56	4	-1	-1	1	1
5	7	1	42	15	56	4	-1	-1	2	3
6	8	1	42	15	56	4	-1	-1	2	3
7	9	1	42	15	56	4	-1	-1	1	1
8	10	1	42	15	56	4	-1	-1	4	1
9	11	1	17	0	56	8	-1	6	1	1
10	12	1	17	0	56	8	-1	-1	1	1
11	15	0	22	2	56	2	-1	-1	39	4
12	16	0	20	19	32	8	-1	-1	39	4
13	17	0	20	19	32	8	-1	-1	39	4
14	18	0	21	19	34	16	-1	-1	39	4
15	19	0	23	19	35	4	-1	-1	39	4
16	20	1	28	5	56	4	-1	-1	33	2
17	21	0	22	2	56	2	-1	-1	39	4
18	22	1	28	5	56	4	-1	-1	5	1
19	23	1	28	5	56	4	-1	-1	5	1
20	24	0	52	21	56	1	-1	-1	39	4
21	25	1	28	5	56	4	-1	-1	5	1
22	26	1	28	5	56	4	-1	5	5	1
23	27	1	28	5	56	4	-1	-1	5	1
24	28	1	74	33	56	8	15	-1	36	1
25	29	1	29	6	56	8	-1	-1	5	1
26	30	1	28	5	56	4	-1	-1	5	1
27	31	1	28	5	56	4	-1	-1	5	1
28	32	1	28	5	56	4	-1	-1	5	1
29	33	1	29	6	56	8	-1	-1	5	1
30	34	1	42	15	56	4	-1	-1	33	2
31	35	0	52	21	56	1	-1	8	39	4
32	39	0	52	21	56	1	-1	11	39	4
33	41	4	255	35	56	-1	-1	-1	39	4
34	42	1	42	15	56	4	-1	-1	33	2
35	43	1	63	27	56	32	-1	-1	33	2
36	45	1	48	19	10	64	20	-1	18	1
37	47	0	46	18	56	2	-1	-1	39	4
38	48	0	22	2	56	2	-1	-1	39	4
39	49	0	46	18	56	2	-1	-1	39	4
40	51	0	22	2	56	2	-1	-1	39	4
41	52	1	48	19	10	64	20	-1	18	1
42	54	0	52	21	56	1	-1	4	39	4
43	55	1	48	19	10	64	20	-1	18	1
44	56	1	47	19	2	584	176	-1	17	1
45	60	1	48	19	10	64	20	-1	18	1
46	61	1	48	19	10	64	20	-1	18	1
47	64	0	52	21	56	1	-1	-1	39	4
48	65	1	28	5	56	4	-1	-1	5	1
49	66	1	48	19	10	64	20	-1	38	1
50	67	1	74	33	56	8	15	-1	36	1
51	68	0	22	2	56	2	-1	-1	39	4
52	69	1	48	19	10	64	20	-1	38	1
53	70	1	74	33	56	8	15	-1	36	1
54	71	0	22	2	56	2	-1	-1	39	4
55	72	0	31	12	9	1	-1	-1	39	4
56	74	0	31	12	9	1	-1	-1	39	4
57	75	1	74	33	56	8	15	-1	36	1
58	79	0	31	12	9	1	-1	-1	39	4
59	81	0	31	12	9	1	-1	-1	39	4
60	87	1	74	33	56	8	15	-1	36	1
61	88	0	22	2	56	2	-1	-1	39	4
62	90	0	31	12	9	1	-1	-1	39	4
63	92	0	31	12	9	1	-1	-1	39	4
64	93	1	63	27	56	32	-1	-1	11	1
65	94	1	48	19	10	64	20	-1	38	1
66	95	1	74	33	56	8	15	-1	36	1
67	96	0	22	2	56	2	-1	-1	39	4
68	97	0	22	2	56	2	-1	-1	39	4
69	98	0	22	2	56	2	-1	-1	39	4
70	99	0	30	12	8	2	-1	-1	39	4
71	100	0	22	2	56	2	-1	-1	39	4
72	101	0	22	2	56	2	-1	-1	39	4
