# sm_12x (consumer Blackwell: sm_120/sm_121) 72-B sched-class descriptors
# == the sm_10x latency family @ .rodata VMA 0x226C880 (430 classes).
# Binary-derived (ptxas 13.0.88).  sm_120 and sm_121 install this exact table
# (installer sub_ABF590 enum 0x4001, shared with sm_100/sm_103); sm_120 == sm_121
# byte-identical SASS verified empirically.  Identical bytes to latency_table_sm10x.tsv.
idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
0	0	ffffffffffffffff	0000ffffffff0000	8	0	39	4	19	7	3	0	0	2	2	0
1	2	1010ffffffffffff	0000ffffffff0000	0	4	0	1	0	7	3	2	1	2	3	0
2	3	1010ffffffffffff	0000ffffffff0000	0	4	33	2	0	7	3	3	1	2	3	0
3	4	15150404ffffffff	0000ffffffff0000	0	4	1	1	3	7	3	4	1	2	3	0
4	5	15150404ffffffff	0000ffffffff0000	268435456	4	1	1	3	7	3	5	1	2	3	0
5	6	15150404ffffffff	0000ffffffff0000	268435456	4	1	1	3	7	3	6	1	2	3	0
6	7	15150404ffff0404	0000ffffffff0000	0	260	3	3	3	7	3	7	1	2	3	0
7	8	15150404ffff0404	0000ffffffff0000	0	4	2	3	3	7	3	8	1	2	3	0
8	9	15150404ffffffff	0000ffffffff0000	0	4	1	1	3	7	3	9	1	2	3	0
9	10	1515ffffffff0404	0000ffffffff0000	0	4	4	1	0	7	3	10	1	2	1	0
10	11	1515ffffffff0404	0000ffffffff0000	276824064	4	33	2	0	7	3	11	1	2	1	0
11	12	1515ffffffff0404	0000ffffffff0000	268439552	4	33	2	0	7	3	12	1	2	1	0
12	13	ffff0404ffffffff	00000303ffff0000	16384	1024	12	1	11	7	3	13	1	2	3	0
13	14	ffff0404ffffffff	00000303ffff0000	49152	1024	12	1	11	7	3	14	1	2	3	0
14	15	0000ffffffffffff	0000ffffffff0000	0	0	39	4	19	3	2	15	0	1	1	0
15	17	2a2affffffffffff	00000303ffff0000	0	4	13	1	10	6	1	17	3	1	1	0
16	18	2b2bffffffffffff	00000303ffff0000	0	4	13	1	10	6	1	18	3	1	1	0
17	19	2929ffffffffffff	00000303ffff0000	0	4	13	1	10	6	1	19	3	1	1	0
18	20	0b0b000004ffffff	0000ffffffff0000	4195328	4	33	2	0	7	3	20	1	2	3	0
19	21	0000030303ffffff	0000ffffffff0000	256	0	39	4	19	3	2	21	0	1	1	0
20	22	ffffffffffffffff	0000ffffffff0000	0	0	5	1	6	7	3	22	1	2	1	0
21	23	ffffffffffffffff	0000ffffffff0000	67108864	0	5	1	6	7	3	23	1	2	1	0
22	24	ffffffffffffffff	0000ffffffff0000	67108872	0	39	4	19	7	3	24	0	2	1	0
23	25	ffff0000ffff0404	00000000ffff0000	4194304	1	5	1	6	7	3	25	1	2	2	0
24	26	ffffffffffff0404	0000ffffffff0000	4194304	1	5	1	6	7	3	26	1	2	2	0
25	27	ffffffffffff0404	0000ffffffff0000	4194304	1	5	1	6	7	3	27	1	2	3	0
26	28	1010040404ffffff	0000ffffffff0000	1024	4	36	1	12	7	3	28	1	2	3	0
27	29	0b0bffffffff0404	0000ffffffff0000	138412032	1	5	1	0	7	3	29	1	2	3	0
