idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
0	0	ffffffffffffffff	0000ffffffff0000	8	0	39	4	19	7	3	0	0	2	2	0
1	1	ffffffffffffffff	0000ffffffff0000	8	0	39	4	19	7	3	1	0	2	2	0
2	2	3232ffffffffffff	0000ffffffff0000	0	4	0	1	0	7	3	2	1	2	3	0
3	3	3232ffffffffffff	0000ffffffff0000	0	4	33	2	0	7	3	3	1	2	3	0
4	4	3b3b0e0effffffff	0000ffffffff0000	0	4	1	1	3	7	3	4	1	2	3	0
5	5	3b3b0e0effffffff	0000ffffffff0000	268435456	4	1	1	3	7	3	5	1	2	3	0
6	6	3b3b0e0effffffff	0000ffffffff0000	268435456	4	1	1	3	7	3	6	1	2	3	0
7	7	3b3b0e0effff0808	0000ffffffff0000	0	260	3	3	3	7	3	7	1	2	3	0
8	8	3b3b0e0effff0808	0000ffffffff0000	0	4	2	3	3	7	3	8	1	2	3	0
9	9	3b3b0e0effff0808	0000ffffffff0000	0	4	1	1	3	7	3	9	1	2	3	0
10	10	3b3bffffffff0808	0000ffffffff0000	0	4	4	1	0	7	3	10	1	2	1	0
11	11	3b3bffffffff0808	0000ffffffff0000	276824064	4	33	2	0	7	3	11	1	2	1	0
12	12	3b3bffffffff0808	0000ffffffff0000	268439552	4	33	2	0	7	3	12	1	2	1	0
13	15	0000ffffffffffff	0000ffffffff0000	0	0	39	4	19	3	2	15	0	1	1	0
14	20	2c2c0000ffffffff	0000ffffffff0000	4194304	4	33	2	0	7	3	20	1	2	3	0
15	21	00000404ffffffff	0000ffffffff0000	0	0	39	4	19	3	2	21	0	1	1	0
16	22	ffffffffffffffff	0000ffffffff0000	4194304	0	5	1	6	7	3	22	1	2	1	0
17	23	ffffffffffffffff	0000ffffffff0000	67108864	0	5	1	6	7	3	23	1	2	1	0
18	24	ffffffffffffffff	0000ffffffff0000	67108872	0	39	4	19	7	3	24	0	2	1	0
19	25	ffff0000ffff0808	00000000ffff0000	4194304	1	5	1	6	7	3	25	1	2	2	0
20	26	ffffffffffff0808	0000ffffffff0000	4194304	1	5	1	6	7	3	26	1	2	2	0
21	27	ffffffffffff0808	0000ffffffff0000	4194304	1	5	1	6	7	3	27	1	2	3	0
22	28	32320e0effffffff	0000ffffffff0000	0	4	36	1	12	7	3	28	1	2	3	0
23	29	2c2cffffffff0808	0000ffffffff0000	138412032	1	5	1	0	7	3	29	1	2	3	0
24	30	ffff0000ffff0808	0000ffffffff0000	4194304	1	5	1	6	7	3	30	1	2	2	0
25	31	ffffffffffff0808	0000ffffffff0000	0	0	5	1	6	7	3	31	1	2	3	0
26	32	ffffffffffff0808	0000ffffffff0000	4194304	1	5	1	6	7	3	32	1	2	3	0
27	33	2c2c0000ffff0808	0000ffffffff0000	138412032	1	5	1	0	7	3	33	1	2	3	0
28	34	3b3b0e0effffffff	0000ffffffff0000	268435456	4	33	2	3	7	3	34	1	2	3	0
29	35	ffffffffffffffff	0000ffffffff0000	16777224	0	39	4	19	7	3	35	0	2	2	0
30	36	32320e0effffffff	0000ffffffff0000	301989896	4	33	2	0	7	3	36	3	2	0	0
31	37	ffffffffffffffff	0000ffffffff0000	33554440	0	33	2	0	7	3	37	3	2	0	0
32	38	ffff0e0effffffff	0000ffffffff0000	33554440	0	33	2	0	7	3	38	3	2	0	0
33	39	ffffffffffffffff	0000ffffffff0000	524296	0	39	4	19	7	3	39	0	2	2	0
34	40	ffff0e0effffffff	0000ffffffff0000	134217728	36	15	3	7	7	3	40	1	2	3	0
35	41	3b3b0e0effff0808	0000ffffffff0000	0	4	33	2	3	7	3	41	1	2	3	0
36	42	3b3b0e0effffffff	0000ffffffff0000	268435456	4	33	2	3	7	3	42	1	2	3	0
37	43	32320e0effffffff	0000ffffffff0000	268435456	4	33	2	14	7	3	43	1	2	3	0
38	44	ffffffffffffffff	0000ffffffff0000	8388608	0	33	2	0	7	3	44	1	2	1	0
39	45	31310e0effffffff	0000ffffffff0000	8	4	18	1	10	4	1	45	3	0	0	0
40	46	00001919ffffffff	0000ffffffff0000	0	0	39	4	19	3	2	46	0	1	1	0
