sm_gen	ori_opcode	pipeline_flags
sm_10x	0	1
sm_10x	1	1
sm_10x	2	3
sm_10x	3	3
sm_10x	4	1
sm_10x	5	1
sm_10x	8	1
sm_10x	9	1
sm_10x	11	1
sm_10x	12	1
sm_10x	13	1
sm_10x	14	1
sm_10x	15	3
sm_10x	16	0
sm_10x	17	1
sm_10x	18	1
sm_10x	19	1
sm_10x	20	1
sm_10x	22	1
sm_10x	23	1
sm_10x	24	1
sm_10x	25	3
sm_10x	28	1
sm_10x	29	3
sm_10x	30	1
sm_10x	32	3
sm_10x	33	2
sm_10x	34	1
sm_10x	36	1
sm_10x	38	1
sm_10x	39	4
sm_7x	0	1
sm_7x	1	1
sm_7x	2	3
sm_7x	3	3
sm_7x	4	1
sm_7x	5	1
sm_7x	8	1
sm_7x	9	1
sm_7x	10	1
sm_7x	11	1
sm_7x	13	1
sm_7x	14	1
sm_7x	15	3
sm_7x	16	0
sm_7x	17	1
sm_7x	18	1
sm_7x	19	1
sm_7x	20	1
sm_7x	21	1
sm_7x	22	1
sm_7x	23	1
sm_7x	24	1
sm_7x	25	3
sm_7x	26	3
sm_7x	27	3
sm_7x	28	1
sm_7x	29	3
sm_7x	30	1
sm_7x	31	1
sm_7x	32	3
sm_7x	33	2
sm_7x	34	3
sm_7x	35	3
sm_7x	36	1
sm_7x	37	1
sm_7x	38	1
sm_7x	39	4
