ori_opcode	latency_cycles	mnemonic_best_effort	note
0		ERRBAR	default (ALU=6 / MEM=300 by property bit 0x40)
1		IMAD	default (ALU=6 / MEM=300 by property bit 0x40)
2		IMAD_WIDE	default (ALU=6 / MEM=300 by property bit 0x40)
3		IADD3	default (ALU=6 / MEM=300 by property bit 0x40)
4		BMSK	default (ALU=6 / MEM=300 by property bit 0x40)
5		SGXT	default (ALU=6 / MEM=300 by property bit 0x40)
6		LOP3	default (ALU=6 / MEM=300 by property bit 0x40)
7		ISETP	default (ALU=6 / MEM=300 by property bit 0x40)
8		IABS	default (ALU=6 / MEM=300 by property bit 0x40)
9		LEA	default (ALU=6 / MEM=300 by property bit 0x40)
10		SHF	default (ALU=6 / MEM=300 by property bit 0x40)
11		FFMA	default (ALU=6 / MEM=300 by property bit 0x40)
12		FADD	default (ALU=6 / MEM=300 by property bit 0x40)
13		FMUL	default (ALU=6 / MEM=300 by property bit 0x40)
14		FMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
15		FSWZADD	default (ALU=6 / MEM=300 by property bit 0x40)
16	300	FSET	
17	24	FSEL	
18		FSETP	default (ALU=6 / MEM=300 by property bit 0x40)
19		MOV	default (ALU=6 / MEM=300 by property bit 0x40)
20		SEL	default (ALU=6 / MEM=300 by property bit 0x40)
21		P2R	default (ALU=6 / MEM=300 by property bit 0x40)
22		R2P	default (ALU=6 / MEM=300 by property bit 0x40)
23		PLOP3	default (ALU=6 / MEM=300 by property bit 0x40)
24		PRMT	default (ALU=6 / MEM=300 by property bit 0x40)
25		NOP	default (ALU=6 / MEM=300 by property bit 0x40)
26		VOTE	default (ALU=6 / MEM=300 by property bit 0x40)
27		CS2R_32	default (ALU=6 / MEM=300 by property bit 0x40)
28		CS2R_64	default (ALU=6 / MEM=300 by property bit 0x40)
29		PMTRIG	default (ALU=6 / MEM=300 by property bit 0x40)
30		CSMTEST	default (ALU=6 / MEM=300 by property bit 0x40)
31		VABSDIFF	default (ALU=6 / MEM=300 by property bit 0x40)
32		VABSDIFF4	default (ALU=6 / MEM=300 by property bit 0x40)
33		IDP	default (ALU=6 / MEM=300 by property bit 0x40)
34		IDE	default (ALU=6 / MEM=300 by property bit 0x40)
35		I2I	default (ALU=6 / MEM=300 by property bit 0x40)
36		I2IP	default (ALU=6 / MEM=300 by property bit 0x40)
37		IMNMX	default (ALU=6 / MEM=300 by property bit 0x40)
38	13	POPC	
39		FLO	default (ALU=6 / MEM=300 by property bit 0x40)
40		FCHK	default (ALU=6 / MEM=300 by property bit 0x40)
41		IPA	default (ALU=6 / MEM=300 by property bit 0x40)
42	24	MUFU	
43		F2F	default (ALU=6 / MEM=300 by property bit 0x40)
44		F2F_X	default (ALU=6 / MEM=300 by property bit 0x40)
45		F2I	default (ALU=6 / MEM=300 by property bit 0x40)
46		F2I_X	default (ALU=6 / MEM=300 by property bit 0x40)
47		I2F	default (ALU=6 / MEM=300 by property bit 0x40)
48		I2F_X	default (ALU=6 / MEM=300 by property bit 0x40)
49		FRND	default (ALU=6 / MEM=300 by property bit 0x40)
50		FRND_X	default (ALU=6 / MEM=300 by property bit 0x40)
51		AL2P	default (ALU=6 / MEM=300 by property bit 0x40)
52		AL2P_INDEXED	default (ALU=6 / MEM=300 by property bit 0x40)
53	24	BREV	
54		BMOV_B	default (ALU=6 / MEM=300 by property bit 0x40)
55	24	BMOV_R	
56		BMOV	default (ALU=6 / MEM=300 by property bit 0x40)
57		S2R	default (ALU=6 / MEM=300 by property bit 0x40)
58		B2R	default (ALU=6 / MEM=300 by property bit 0x40)
59	13	R2B	
60	13	LEPC	
61		BAR	default (ALU=6 / MEM=300 by property bit 0x40)
62	13	BAR_INDEXED	
63		SETCTAID	default (ALU=6 / MEM=300 by property bit 0x40)
64		SETLMEMBASE	default (ALU=6 / MEM=300 by property bit 0x40)
65		GETLMEMBASE	default (ALU=6 / MEM=300 by property bit 0x40)
66		DEPBAR	default (ALU=6 / MEM=300 by property bit 0x40)
67	13	BRA	
68		BRX	default (ALU=6 / MEM=300 by property bit 0x40)
69		JMP	default (ALU=6 / MEM=300 by property bit 0x40)
70		JMX	default (ALU=6 / MEM=300 by property bit 0x40)
71		CALL	default (ALU=6 / MEM=300 by property bit 0x40)
72		RET	default (ALU=6 / MEM=300 by property bit 0x40)
73		BSSY	default (ALU=6 / MEM=300 by property bit 0x40)
74		BREAK	default (ALU=6 / MEM=300 by property bit 0x40)
75		BPT	default (ALU=6 / MEM=300 by property bit 0x40)
76		KILL	default (ALU=6 / MEM=300 by property bit 0x40)
77		EXIT	default (ALU=6 / MEM=300 by property bit 0x40)
78	13	RTT	
79	13	BSYNC	
80		MATCH	default (ALU=6 / MEM=300 by property bit 0x40)
81		NANOSLEEP	default (ALU=6 / MEM=300 by property bit 0x40)
82		NANOTRAP	default (ALU=6 / MEM=300 by property bit 0x40)
83		TEX	default (ALU=6 / MEM=300 by property bit 0x40)
84		TLD	default (ALU=6 / MEM=300 by property bit 0x40)
85		TLD4	default (ALU=6 / MEM=300 by property bit 0x40)
86		TMML	default (ALU=6 / MEM=300 by property bit 0x40)
87		TXD	default (ALU=6 / MEM=300 by property bit 0x40)
88	30	TXQ	
89	30	LDC	
90		ALD	default (ALU=6 / MEM=300 by property bit 0x40)
91	24	AST	
92		OUT	default (ALU=6 / MEM=300 by property bit 0x40)
93		OUT_FINAL	default (ALU=6 / MEM=300 by property bit 0x40)
94		LDS	default (ALU=6 / MEM=300 by property bit 0x40)
95		STS	default (ALU=6 / MEM=300 by property bit 0x40)
96		LDG	default (ALU=6 / MEM=300 by property bit 0x40)
97		STG	default (ALU=6 / MEM=300 by property bit 0x40)
98		LDL	default (ALU=6 / MEM=300 by property bit 0x40)
99		STL	default (ALU=6 / MEM=300 by property bit 0x40)
100		LD	default (ALU=6 / MEM=300 by property bit 0x40)
101		ST	default (ALU=6 / MEM=300 by property bit 0x40)
102		ATOM	default (ALU=6 / MEM=300 by property bit 0x40)
103		ATOMG	default (ALU=6 / MEM=300 by property bit 0x40)
104		RED	default (ALU=6 / MEM=300 by property bit 0x40)
105		ATOMS	default (ALU=6 / MEM=300 by property bit 0x40)
106	13	QSPC	
107		CCTL_NO_SB	default (ALU=6 / MEM=300 by property bit 0x40)
108		CCTL	default (ALU=6 / MEM=300 by property bit 0x40)
109		CCTLL	default (ALU=6 / MEM=300 by property bit 0x40)
110		CCTLT	default (ALU=6 / MEM=300 by property bit 0x40)
111		MEMBAR	default (ALU=6 / MEM=300 by property bit 0x40)
112		SULD	default (ALU=6 / MEM=300 by property bit 0x40)
113		SUST	default (ALU=6 / MEM=300 by property bit 0x40)
114		SUATOM	default (ALU=6 / MEM=300 by property bit 0x40)
115		SURED	default (ALU=6 / MEM=300 by property bit 0x40)
116		PIXLD	default (ALU=6 / MEM=300 by property bit 0x40)
117		ISBERD	default (ALU=6 / MEM=300 by property bit 0x40)
118		ISBEWR	default (ALU=6 / MEM=300 by property bit 0x40)
119		SHFL	default (ALU=6 / MEM=300 by property bit 0x40)
120		WARPSYNC	default (ALU=6 / MEM=300 by property bit 0x40)
121		YIELD	default (ALU=6 / MEM=300 by property bit 0x40)
122		DFMA	default (ALU=6 / MEM=300 by property bit 0x40)
123		DADD	default (ALU=6 / MEM=300 by property bit 0x40)
124		DMUL	default (ALU=6 / MEM=300 by property bit 0x40)
125		DSETP	default (ALU=6 / MEM=300 by property bit 0x40)
126		HADD2	default (ALU=6 / MEM=300 by property bit 0x40)
127		HADD2_F32	default (ALU=6 / MEM=300 by property bit 0x40)
128		HFMA2	default (ALU=6 / MEM=300 by property bit 0x40)
129		HMUL2	default (ALU=6 / MEM=300 by property bit 0x40)
130		HSET2	default (ALU=6 / MEM=300 by property bit 0x40)
131		HSETP2	default (ALU=6 / MEM=300 by property bit 0x40)
132		HMMA_16	default (ALU=6 / MEM=300 by property bit 0x40)
133		HMMA_32	default (ALU=6 / MEM=300 by property bit 0x40)
134		IMMA	default (ALU=6 / MEM=300 by property bit 0x40)
135		INTRINSIC	default (ALU=6 / MEM=300 by property bit 0x40)
136		SM70_LAST	default (ALU=6 / MEM=300 by property bit 0x40)
137		SM73_FIRST	default (ALU=6 / MEM=300 by property bit 0x40)
138		UBREV	default (ALU=6 / MEM=300 by property bit 0x40)
139		UBMSK	default (ALU=6 / MEM=300 by property bit 0x40)
140		UCLEA	default (ALU=6 / MEM=300 by property bit 0x40)
141		UISETP	default (ALU=6 / MEM=300 by property bit 0x40)
142		ULDC	default (ALU=6 / MEM=300 by property bit 0x40)
143		ULEA	default (ALU=6 / MEM=300 by property bit 0x40)
144		UP2UR	default (ALU=6 / MEM=300 by property bit 0x40)
145		ULOP3	default (ALU=6 / MEM=300 by property bit 0x40)
146		UPLOP3	default (ALU=6 / MEM=300 by property bit 0x40)
147		USEL	default (ALU=6 / MEM=300 by property bit 0x40)
148		USGXT	default (ALU=6 / MEM=300 by property bit 0x40)
149		UFLO	default (ALU=6 / MEM=300 by property bit 0x40)
150		UIADD3	default (ALU=6 / MEM=300 by property bit 0x40)
151		UIMAD	default (ALU=6 / MEM=300 by property bit 0x40)
152		UMOV	default (ALU=6 / MEM=300 by property bit 0x40)
153		UPRMT	default (ALU=6 / MEM=300 by property bit 0x40)
154		VOTEU	default (ALU=6 / MEM=300 by property bit 0x40)
