idx	triplet_count	sb_id	threshold	mask
0	2	0	56	-1
0	2	2	56	-1
1	3	0	56	-1
1	3	2	56	-1
1	3	5	56	-1
2	4	0	56	-1
2	4	2	56	-1
2	4	5	56	-1
2	4	15	56	-1
3	6	0	56	-1
3	6	2	56	-1
3	6	12	56	-1
3	6	15	56	-1
3	6	23	56	-1
3	6	34	56	-1
4	3	0	56	-1
4	3	2	56	-1
4	3	15	56	-1
5	2	0	56	-1
5	2	5	56	-1
6	3	0	56	-1
6	3	5	56	-1
6	3	15	56	-1
7	4	0	56	-1
7	4	5	56	-1
7	4	15	56	-1
7	4	21	56	-1
8	5	0	56	-1
8	5	5	56	-1
8	5	15	56	-1
8	5	21	56	-1
8	5	27	56	-1
9	4	0	56	-1
9	4	5	56	-1
9	4	15	56	-1
9	4	23	56	-1
10	3	0	56	-1
10	3	5	56	-1
10	3	19	56	-1
11	3	0	56	-1
11	3	5	56	-1
11	3	21	56	-1
12	3	0	56	-1
12	3	5	56	-1
12	3	23	56	-1
13	2	0	56	-1
13	2	15	56	-1
14	5	0	56	-1
14	5	15	56	-1
14	5	21	56	-1
14	5	23	56	-1
14	5	27	56	-1
15	4	0	56	-1
15	4	15	56	-1
15	4	21	56	-1
15	4	27	56	-1
16	2	0	56	-1
16	2	31	56	-1
17	1	0	56	8
18	1	0	43	8
19	1	1	56	8
20	1	2	56	-1
21	1	2	56	2
22	3	5	56	-1
22	3	15	56	-1
22	3	21	56	-1
23	5	5	56	-1
23	5	15	56	-1
23	5	21	56	-1
23	5	27	56	-1
23	5	31	56	-1
24	2	5	56	-1
24	2	21	56	-1
25	3	5	56	-1
25	3	21	56	-1
25	3	28	56	-1
26	1	5	56	4
27	1	6	56	8
28	1	12	8	2
29	1	12	9	1
30	1	12	12	4
31	1	12	13	2
32	1	13	56	8
33	1	15	56	-1
34	2	15	56	-1
34	2	21	56	-1
35	2	15	56	-1
35	2	23	56	-1
36	2	15	56	-1
36	2	27	56	-1
37	1	15	56	4
38	1	16	56	32
39	1	17	56	4
40	1	19	2	16
41	1	19	3	16
42	1	19	4	32
43	1	19	5	64
44	1	19	10	2
45	1	19	11	4
46	1	19	14	4
47	1	19	15	2
48	1	19	17	8
49	1	19	19	8
50	1	19	21	4
51	1	19	23	4
52	1	19	25	6
53	1	19	26	6
54	1	19	28	6
55	1	19	31	4
56	1	19	33	6
57	1	19	35	4
58	1	19	36	6
59	1	19	38	8
60	1	19	39	4
61	1	21	56	-1
62	2	21	56	-1
62	2	28	56	-1
63	2	21	56	-1
63	2	31	56	-1
64	1	21	56	1
65	1	23	45	8
66	1	23	46	16
67	1	23	47	16
68	1	27	56	32
69	1	28	0	8
70	1	28	52	4
71	1	28	54	8
72	1	31	56	-1
73	1	31	56	2
74	1	34	56	8
