# ptxas static scheduling-class descriptor table  (.rodata VMA 0x2297C00)
# 256 classes, 72-byte stride; binary-derived (CUDA 13.0.88)
# columns: class  pipeA(hex)  pipeB(hex)  p0..p11
   2  0303ffffffffffff  0000ffffffff0000  0 4 0 1 0 7 3 2 1 2 3 0
   3  0303ffffffffffff  0000ffffffff0000  0 4 33 2 0 7 3 3 1 2 3 0
   4  04040202ffffffff  0000ffffffff0000  0 4 1 1 3 7 3 4 1 2 3 0
   5  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 5 1 2 3 0
   6  04040202ffffffff  0000ffffffff0000  268435456 4 1 1 3 7 3 6 1 2 3 0
   7  04040202ffff0101  0000ffffffff0000  0 4 2 3 3 7 3 7 1 2 3 0
   8  04040202ffff0101  0000ffffffff0000  0 4 2 3 3 7 3 8 1 2 3 0
   9  04040202ffffffff  0000ffffffff0000  0 4 1 1 3 7 3 9 1 2 3 0
  10  0404ffffffff0101  0000ffffffff0000  0 4 4 1 3 7 3 10 1 2 1 0
  11  0404ffffffff0101  0000ffffffff0000  276824064 4 1 1 3 7 3 11 1 2 1 0
  12  0404ffffffff0101  0000ffffffff0000  268439552 4 1 1 3 7 3 12 1 2 1 0
  15  0000ffffffffffff  0000ffffffff0000  0 0 39 4 19 3 2 15 0 1 1 0
  16  1212ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 16 3 1 1 0
  17  1212ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 17 3 1 1 0
  18  1313ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 18 3 1 1 0
  19  1111ffffffffffff  00000303ffff0000  0 4 13 1 14 6 1 19 3 1 1 0
  20  0101000004ffffff  0000ffffffff0000  1024 4 33 2 0 7 3 20 1 2 3 0
  21  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 21 0 1 1 0
  22  ffffffffffffffff  0000ffffffff0000  0 0 5 1 6 7 3 22 1 2 1 0
  23  ffffffffffffffff  0000ffffffff0000  67108864 0 5 1 6 7 3 23 1 2 1 0
  24  ffffffffffffffff  0000ffffffff0000  67108872 0 39 4 19 7 3 24 0 2 1 0
  25  ffff0000ffff0101  00000000ffff0000  0 1 5 1 6 7 3 25 1 2 2 0
  26  ffffffffffff0101  0000ffffffff0000  4194304 1 5 1 6 7 3 26 1 2 2 0
  27  ffffffffffff0101  0000ffffffff0000  0 1 5 1 6 7 3 27 1 2 3 0
  28  0303020204ffffff  0000ffffffff0000  1024 4 36 1 12 7 3 28 1 2 3 0
  29  0101ffffffff0101  0000ffffffff0000  134217728 1 5 1 0 7 3 29 1 2 3 0
  30  ffff0000ffff0101  0000ffffffff0000  0 1 5 1 6 7 3 30 1 2 2 0
  31  ffffffffffff0101  0000ffffffff0000  0 0 5 1 6 7 3 31 1 2 3 0
  32  ffffffffffff0101  0000ffffffff0000  0 1 5 1 6 7 3 32 1 2 3 0
  33  01010000ffff0101  0000ffffffff0000  134217728 1 5 1 0 7 3 33 1 2 3 0
  34  04040202ffffffff  0000ffffffff0000  268435456 4 33 2 3 7 3 34 1 2 3 0
  35  ffffffffffffffff  0000ffffffff0000  16777224 0 39 4 19 7 3 35 0 2 2 0
  39  ffffffffffffffff  0000ffffffff0000  524296 0 39 4 19 7 3 39 0 2 2 0
  41  04040202ffff0101  0000ffffffff0000  0 4 33 2 3 7 3 41 1 2 3 0
  42  04040202ffffffff  0000ffffffff0000  268435456 4 33 2 3 7 3 42 1 2 3 0
  43  03030202ffffffff  0000ffffffff0000  268435456 4 33 2 14 7 3 43 1 2 3 0
  45  0202020203ffffff  0000ffffffff0000  264 4 18 1 14 4 1 45 3 0 1 0
  47  0505ffffffffffff  0000ffffffff0000  0 0 39 4 19 7 3 47 0 1 1 0
  48  0000ffffffffffff  0000ffffffff0000  0 0 39 4 19 7 3 48 0 1 1 0
  49  0505ffffffffffff  0000ffffffff0000  0 0 39 4 19 7 3 49 0 1 1 0
  51  ffffffffffff0202  0000ffffffff0000  512 0 39 4 19 7 3 51 0 1 1 0
  52  1414020204ffffff  0000ffffffff0000  1032 4 18 1 14 4 1 52 3 0 1 0
  54  ffffffffffffffff  0000ffffffff0000  2097160 0 39 4 19 7 3 54 0 2 2 0
  55  1414020204ffffff  0000ffffffff0000  1032 4 18 1 14 4 1 55 3 0 1 0
  56  0606ffffffffffff  00000303ffff0000  8 4 17 1 14 0 1 56 3 0 1 0
  60  1414020204ffffff  0000ffffffff0000  1032 4 18 1 14 4 1 60 3 0 1 0
  61  1414020204ff0707  0000ffffffff0000  1032 4 18 1 14 4 1 61 3 0 1 0
  64  ffffffffffffffff  0000ffffffff0000  67108872 0 39 4 19 7 3 64 0 2 1 0
  65  ffffffffffff0101  0000ffffffff0000  0 0 5 1 6 7 3 65 1 2 1 0
  66  0303020204ffffff  0000ffffffff0000  1024 4 38 1 14 7 3 66 1 2 3 0
  67  0303020204ffffff  0000ffffffff0000  1024 4 36 1 12 7 3 67 1 2 3 0
  68  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 68 0 1 1 0
  69  0303020204ffffff  0000ffffffff0000  1024 4 38 1 14 7 3 69 1 2 3 0
  70  0303020204ffffff  0000ffffffff0000  1024 4 36 1 12 7 3 70 1 2 3 0
  71  0000010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 71 0 1 1 0
  72  0707010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 72 0 1 1 0
  74  0707010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 74 0 1 1 0
  75  0303020204ff0101  0000ffffffff0000  1024 4 36 1 12 7 3 75 1 2 3 0
  79  0707010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 79 0 1 1 0
  81  0707010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 81 0 1 1 0
  87  0303020204ff0101  0000ffffffff0000  1024 4 36 1 12 7 3 87 1 2 3 0
  88  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 88 0 1 1 0
  90  0707010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 90 0 1 1 0
  92  0707010103ffffff  0000ffffffff0000  256 0 39 4 19 3 2 92 0 1 1 0
  93  03030202ffff0101  0000ffffffff0000  0 4 11 1 14 7 3 93 1 2 3 0
  94  0303020204ffffff  0000ffffffff0000  1024 4 38 1 14 7 3 94 1 2 3 0
  95  0303020204ffffff  0000ffffffff0000  1024 4 36 1 12 7 3 95 1 2 3 0
  96  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 96 0 1 1 0
  97  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 97 0 1 1 0
  98  0000010103ff0000  0000ffffffff0000  256 0 39 4 19 3 2 98 0 1 1 0
  99  0707ffffffffffff  0000ffffffff0000  0 0 39 4 19 3 2 99 0 1 1 0
 100  0000ffffffffffff  0000ffffffff0000  0 0 39 4 19 3 2 100 0 1 1 0
 101  0000ffffffffffff  0000ffffffff0000  0 0 39 4 19 3 2 101 0 1 1 0
 102  0303ffffffffffff  0000ffffffff0000  0 4 33 2 0 7 3 102 1 2 3 0
 103  0808010103ffffff  0000ffffffff0000  256 0 39 4 19 1 2 103 0 1 1 0
 104  0a0a010103ffffff  0000ffffffff0000  256 0 39 4 19 1 2 104 0 1 1 0
 105  0808010103ffffff  0000ffffffff0000  256 0 39 4 19 1 2 105 0 1 1 0
 106  0808010103ff0404  0000ffffffff0000  256 0 39 4 19 1 2 106 0 1 1 0
 107  0b0b020203ff0505  0000ffffffff0000  256 0 39 4 19 2 0 107 0 1 1 0
 108  0808010103ff0404  0000ffffffff0000  256 0 39 4 19 1 2 108 0 1 1 0
 111  1313010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 111 3 1 1 0
 112  1313010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 112 3 1 1 0
 113  1212010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 113 3 1 1 0
 114  1313010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 114 3 1 1 0
 115  1212010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 115 3 1 1 0
 116  1212010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 116 3 1 1 0
 117  1313010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 117 3 1 1 0
 118  1313010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 118 3 1 1 0
 119  1212010104ffffff  00000303ffff0000  1024 4 19 1 14 5 1 119 3 1 1 0
 120  0909010103ff0404  0000ffffffff0000  256 0 39 4 19 1 2 120 0 1 1 0
 121  0808010103ffffff  0000ffffffff0000  256 0 39 4 19 1 2 121 0 1 1 0
 122  0808010103ffffff  0000ffffffff0000  256 0 39 4 19 1 2 122 0 1 1 0
