# Instruction legality / validation table @ VA 0x22FEE00..0x2339E00 (241664 B = 60416 u32)
# Flat sparse view: every NON-ZERO u32 with its index/VA and value-class.
# Layout is a packed record table (dominant stride 24 B = 6 u32) but record size varies by region;
# the reliable binary facts are the value-classes below. Records group as {key, handler/ptr}.
# value classes: text_handler_ptr=dedicated (opcode,modifier) validator/encoder fn in .text;
#   rodata_subtable_ptr=pointer into nested dispatch sub-table (0x1CE0000-0x2400000);
#   small_key=(format_id<<8)|minor_opcode (same key as per_sm_handler_dispatch);
#   special_validation_sentinel=0x08000000 (no dedicated handler; run generic validation path).
# value_class_totals={'zero': 41330, 'small_key (fmt<<8|minor)': 9721, 'text_handler_ptr': 8087, 'rodata_subtable_ptr': 918, 'special_validation_sentinel': 259, 'other': 101}
dword_index	va	value_hex	value_class	as_key_fmt	as_key_minor
136	0x22FF020	0x300	small_key (fmt<<8|minor)	0x3	0x0
138	0x22FF028	0x118E200	text_handler_ptr		
142	0x22FF038	0xA01	small_key (fmt<<8|minor)	0xA	0x1
144	0x22FF040	0x118E1F0	text_handler_ptr		
148	0x22FF050	0xA02	small_key (fmt<<8|minor)	0xA	0x2
150	0x22FF058	0x118E210	text_handler_ptr		
154	0x22FF068	0xD03	small_key (fmt<<8|minor)	0xD	0x3
156	0x22FF070	0x118E230	text_handler_ptr		
160	0x22FF080	0x1304	small_key (fmt<<8|minor)	0x13	0x4
162	0x22FF088	0x118E220	text_handler_ptr		
166	0x22FF098	0x1305	small_key (fmt<<8|minor)	0x13	0x5
168	0x22FF0A0	0x118E240	text_handler_ptr		
172	0x22FF0B0	0x312	small_key (fmt<<8|minor)	0x3	0x12
174	0x22FF0B8	0x118E320	text_handler_ptr		
178	0x22FF0C8	0xA13	small_key (fmt<<8|minor)	0xA	0x13
180	0x22FF0D0	0x118E310	text_handler_ptr		
184	0x22FF0E0	0x31A	small_key (fmt<<8|minor)	0x3	0x1A
186	0x22FF0E8	0x118E340	text_handler_ptr		
190	0x22FF0F8	0xA1B	small_key (fmt<<8|minor)	0xA	0x1B
192	0x22FF100	0x118E330	text_handler_ptr		
196	0x22FF110	0x21C	small_key (fmt<<8|minor)	0x2	0x1C
198	0x22FF118	0x118E260	text_handler_ptr		
202	0x22FF128	0x31D	small_key (fmt<<8|minor)	0x3	0x1D
204	0x22FF130	0x118E280	text_handler_ptr		
208	0x22FF140	0x21E	small_key (fmt<<8|minor)	0x2	0x1E
210	0x22FF148	0x118E2A0	text_handler_ptr		
214	0x22FF158	0xA1F	small_key (fmt<<8|minor)	0xA	0x1F
216	0x22FF160	0x118E250	text_handler_ptr		
220	0x22FF170	0x320	small_key (fmt<<8|minor)	0x3	0x20
222	0x22FF178	0x118E270	text_handler_ptr		
226	0x22FF188	0xA21	small_key (fmt<<8|minor)	0xA	0x21
228	0x22FF190	0x118E290	text_handler_ptr		
232	0x22FF1A0	0x222	small_key (fmt<<8|minor)	0x2	0x22
234	0x22FF1A8	0x118E2C0	text_handler_ptr		
238	0x22FF1B8	0xA23	small_key (fmt<<8|minor)	0xA	0x23
240	0x22FF1C0	0x118E2B0	text_handler_ptr		
244	0x22FF1D0	0x324	small_key (fmt<<8|minor)	0x3	0x24
246	0x22FF1D8	0x118E2E0	text_handler_ptr		
250	0x22FF1E8	0x325	small_key (fmt<<8|minor)	0x3	0x25
252	0x22FF1F0	0x118E2D0	text_handler_ptr		
256	0x22FF200	0x226	small_key (fmt<<8|minor)	0x2	0x26
258	0x22FF208	0x118E300	text_handler_ptr		
262	0x22FF218	0xA27	small_key (fmt<<8|minor)	0xA	0x27
264	0x22FF220	0x118E2F0	text_handler_ptr		
268	0x22FF230	0x500	small_key (fmt<<8|minor)	0x5	0x0
270	0x22FF238	0x118F400	text_handler_ptr		
280	0x22FF260	0x500	small_key (fmt<<8|minor)	0x5	0x0
282	0x22FF268	0x118F200	text_handler_ptr		
286	0x22FF278	0x1E01	small_key (fmt<<8|minor)	0x1E	0x1
288	0x22FF280	0x118F1F0	text_handler_ptr		
292	0x22FF290	0x500	small_key (fmt<<8|minor)	0x5	0x0
294	0x22FF298	0x118D340	text_handler_ptr		
300	0x22FF2B0	0x501	small_key (fmt<<8|minor)	0x5	0x1
302	0x22FF2B8	0x118D630	text_handler_ptr		
312	0x22FF2E0	0x300	small_key (fmt<<8|minor)	0x3	0x0
314	0x22FF2E8	0x118F350	text_handler_ptr		
318	0x22FF2F8	0x301	small_key (fmt<<8|minor)	0x3	0x1
320	0x22FF300	0x118F370	text_handler_ptr		
324	0x22FF310	0x302	small_key (fmt<<8|minor)	0x3	0x2
326	0x22FF318	0x118F340	text_handler_ptr		
330	0x22FF328	0x303	small_key (fmt<<8|minor)	0x3	0x3
332	0x22FF330	0x118F360	text_handler_ptr		
336	0x22FF340	0x500	small_key (fmt<<8|minor)	0x5	0x0
338	0x22FF348	0x118EAD0	text_handler_ptr		
342	0x22FF358	0x502	small_key (fmt<<8|minor)	0x5	0x2
344	0x22FF360	0x118EAC0	text_handler_ptr		
352	0x22FF380	0x500	small_key (fmt<<8|minor)	0x5	0x0
354	0x22FF388	0x118BAF0	text_handler_ptr		
358	0x22FF398	0x501	small_key (fmt<<8|minor)	0x5	0x1
360	0x22FF3A0	0x118BB00	text_handler_ptr		
364	0x22FF3B0	0x500	small_key (fmt<<8|minor)	0x5	0x0
366	0x22FF3B8	0x118E480	text_handler_ptr		
376	0x22FF3E0	0x300	small_key (fmt<<8|minor)	0x3	0x0
378	0x22FF3E8	0x118D720	text_handler_ptr		
382	0x22FF3F8	0x301	small_key (fmt<<8|minor)	0x3	0x1
384	0x22FF400	0x118D730	text_handler_ptr		
392	0x22FF420	0x1304	small_key (fmt<<8|minor)	0x13	0x4
394	0x22FF428	0x118E350	text_handler_ptr		
398	0x22FF438	0x1308	small_key (fmt<<8|minor)	0x13	0x8
400	0x22FF440	0x118E360	text_handler_ptr		
408	0x22FF460	0x500	small_key (fmt<<8|minor)	0x5	0x0
410	0x22FF468	0x118C2B0	text_handler_ptr		
414	0x22FF478	0x501	small_key (fmt<<8|minor)	0x5	0x1
416	0x22FF480	0x118C290	text_handler_ptr		
420	0x22FF490	0x502	small_key (fmt<<8|minor)	0x5	0x2
422	0x22FF498	0x118C2A0	text_handler_ptr		
426	0x22FF4A8	0x503	small_key (fmt<<8|minor)	0x5	0x3
428	0x22FF4B0	0x118C2D0	text_handler_ptr		
432	0x22FF4C0	0x2204	small_key (fmt<<8|minor)	0x22	0x4
434	0x22FF4C8	0x118C2E0	text_handler_ptr		
438	0x22FF4D8	0x2205	small_key (fmt<<8|minor)	0x22	0x5
440	0x22FF4E0	0x118C2F0	text_handler_ptr		
444	0x22FF4F0	0x506	small_key (fmt<<8|minor)	0x5	0x6
446	0x22FF4F8	0x118C2C0	text_handler_ptr		
456	0x22FF520	0xB00	small_key (fmt<<8|minor)	0xB	0x0
458	0x22FF528	0x118F3C0	text_handler_ptr		
462	0x22FF538	0x501	small_key (fmt<<8|minor)	0x5	0x1
464	0x22FF540	0x118F3B0	text_handler_ptr		
468	0x22FF550	0x502	small_key (fmt<<8|minor)	0x5	0x2
470	0x22FF558	0x118F3D0	text_handler_ptr		
474	0x22FF568	0x603	small_key (fmt<<8|minor)	0x6	0x3
476	0x22FF570	0x118F390	text_handler_ptr		
480	0x22FF580	0x504	small_key (fmt<<8|minor)	0x5	0x4
482	0x22FF588	0x118F380	text_handler_ptr		
486	0x22FF598	0x505	small_key (fmt<<8|minor)	0x5	0x5
488	0x22FF5A0	0x118F3A0	text_handler_ptr		
496	0x22FF5C0	0xB00	small_key (fmt<<8|minor)	0xB	0x0
498	0x22FF5C8	0x118F250	text_handler_ptr		
502	0x22FF5D8	0x501	small_key (fmt<<8|minor)	0x5	0x1
504	0x22FF5E0	0x118F240	text_handler_ptr		
508	0x22FF5F0	0x502	small_key (fmt<<8|minor)	0x5	0x2
510	0x22FF5F8	0x118F260	text_handler_ptr		
514	0x22FF608	0x603	small_key (fmt<<8|minor)	0x6	0x3
516	0x22FF610	0x118F220	text_handler_ptr		
520	0x22FF620	0x504	small_key (fmt<<8|minor)	0x5	0x4
522	0x22FF628	0x118F210	text_handler_ptr		
526	0x22FF638	0x505	small_key (fmt<<8|minor)	0x5	0x5
528	0x22FF640	0x118F230	text_handler_ptr		
536	0x22FF660	0xB00	small_key (fmt<<8|minor)	0xB	0x0
538	0x22FF668	0x118C370	text_handler_ptr		
542	0x22FF678	0x501	small_key (fmt<<8|minor)	0x5	0x1
544	0x22FF680	0x118C360	text_handler_ptr		
548	0x22FF690	0x502	small_key (fmt<<8|minor)	0x5	0x2
550	0x22FF698	0x118C380	text_handler_ptr		
554	0x22FF6A8	0x603	small_key (fmt<<8|minor)	0x6	0x3
556	0x22FF6B0	0x118C340	text_handler_ptr		
560	0x22FF6C0	0x504	small_key (fmt<<8|minor)	0x5	0x4
562	0x22FF6C8	0x118C330	text_handler_ptr		
566	0x22FF6D8	0x505	small_key (fmt<<8|minor)	0x5	0x5
568	0x22FF6E0	0x118C350	text_handler_ptr		
576	0x22FF700	0xB00	small_key (fmt<<8|minor)	0xB	0x0
578	0x22FF708	0x118F100	text_handler_ptr		
582	0x22FF718	0x501	small_key (fmt<<8|minor)	0x5	0x1
584	0x22FF720	0x118F0F0	text_handler_ptr		
588	0x22FF730	0x502	small_key (fmt<<8|minor)	0x5	0x2
590	0x22FF738	0x118F110	text_handler_ptr		
594	0x22FF748	0x603	small_key (fmt<<8|minor)	0x6	0x3
596	0x22FF750	0x118F0D0	text_handler_ptr		
600	0x22FF760	0x504	small_key (fmt<<8|minor)	0x5	0x4
602	0x22FF768	0x118F0C0	text_handler_ptr		
606	0x22FF778	0x505	small_key (fmt<<8|minor)	0x5	0x5
608	0x22FF780	0x118F0E0	text_handler_ptr		
616	0x22FF7A0	0xB00	small_key (fmt<<8|minor)	0xB	0x0
618	0x22FF7A8	0x118D9C0	text_handler_ptr		
622	0x22FF7B8	0x501	small_key (fmt<<8|minor)	0x5	0x1
624	0x22FF7C0	0x118D9B0	text_handler_ptr		
628	0x22FF7D0	0x502	small_key (fmt<<8|minor)	0x5	0x2
630	0x22FF7D8	0x118D9D0	text_handler_ptr		
634	0x22FF7E8	0x603	small_key (fmt<<8|minor)	0x6	0x3
636	0x22FF7F0	0x118D990	text_handler_ptr		
640	0x22FF800	0x504	small_key (fmt<<8|minor)	0x5	0x4
642	0x22FF808	0x118D980	text_handler_ptr		
646	0x22FF818	0x505	small_key (fmt<<8|minor)	0x5	0x5
648	0x22FF820	0x118D9A0	text_handler_ptr		
656	0x22FF840	0xB00	small_key (fmt<<8|minor)	0xB	0x0
658	0x22FF848	0x118D390	text_handler_ptr		
662	0x22FF858	0x501	small_key (fmt<<8|minor)	0x5	0x1
664	0x22FF860	0x118D380	text_handler_ptr		
668	0x22FF870	0x502	small_key (fmt<<8|minor)	0x5	0x2
670	0x22FF878	0x118D3A0	text_handler_ptr		
674	0x22FF888	0x603	small_key (fmt<<8|minor)	0x6	0x3
676	0x22FF890	0x118D360	text_handler_ptr		
680	0x22FF8A0	0x504	small_key (fmt<<8|minor)	0x5	0x4
682	0x22FF8A8	0x118D350	text_handler_ptr		
686	0x22FF8B8	0x505	small_key (fmt<<8|minor)	0x5	0x5
688	0x22FF8C0	0x118D370	text_handler_ptr		
696	0x22FF8E0	0xB00	small_key (fmt<<8|minor)	0xB	0x0
698	0x22FF8E8	0x118EAA0	text_handler_ptr		
702	0x22FF8F8	0x501	small_key (fmt<<8|minor)	0x5	0x1
704	0x22FF900	0x118EA90	text_handler_ptr		
708	0x22FF910	0x502	small_key (fmt<<8|minor)	0x5	0x2
710	0x22FF918	0x118EAB0	text_handler_ptr		
714	0x22FF928	0x603	small_key (fmt<<8|minor)	0x6	0x3
716	0x22FF930	0x118EA60	text_handler_ptr		
720	0x22FF940	0x504	small_key (fmt<<8|minor)	0x5	0x4
722	0x22FF948	0x118EA40	text_handler_ptr		
726	0x22FF958	0x505	small_key (fmt<<8|minor)	0x5	0x5
728	0x22FF960	0x118EA70	text_handler_ptr		
732	0x22FF970	0x507	small_key (fmt<<8|minor)	0x5	0x7
734	0x22FF978	0x118EA50	text_handler_ptr		
738	0x22FF988	0x508	small_key (fmt<<8|minor)	0x5	0x8
740	0x22FF990	0x118EA80	text_handler_ptr		
744	0x22FF9A0	0xB00	small_key (fmt<<8|minor)	0xB	0x0
746	0x22FF9A8	0x118E9A0	text_handler_ptr		
750	0x22FF9B8	0x501	small_key (fmt<<8|minor)	0x5	0x1
752	0x22FF9C0	0x118E990	text_handler_ptr		
756	0x22FF9D0	0x502	small_key (fmt<<8|minor)	0x5	0x2
758	0x22FF9D8	0x118E9B0	text_handler_ptr		
762	0x22FF9E8	0x603	small_key (fmt<<8|minor)	0x6	0x3
764	0x22FF9F0	0x118E960	text_handler_ptr		
768	0x22FFA00	0x504	small_key (fmt<<8|minor)	0x5	0x4
770	0x22FFA08	0x118E940	text_handler_ptr		
774	0x22FFA18	0x505	small_key (fmt<<8|minor)	0x5	0x5
776	0x22FFA20	0x118E970	text_handler_ptr		
780	0x22FFA30	0x507	small_key (fmt<<8|minor)	0x5	0x7
782	0x22FFA38	0x118E950	text_handler_ptr		
786	0x22FFA48	0x508	small_key (fmt<<8|minor)	0x5	0x8
788	0x22FFA50	0x118E980	text_handler_ptr		
792	0x22FFA60	0x1904	small_key (fmt<<8|minor)	0x19	0x4
794	0x22FFA68	0x118E9C0	text_handler_ptr		
798	0x22FFA78	0x1905	small_key (fmt<<8|minor)	0x19	0x5
800	0x22FFA80	0x118E9E0	text_handler_ptr		
804	0x22FFA90	0x1906	small_key (fmt<<8|minor)	0x19	0x6
806	0x22FFA98	0x118E9D0	text_handler_ptr		
816	0x22FFAC0	0x500	small_key (fmt<<8|minor)	0x5	0x0
818	0x22FFAC8	0x118F440	text_handler_ptr		
822	0x22FFAD8	0x501	small_key (fmt<<8|minor)	0x5	0x1
824	0x22FFAE0	0x118F450	text_handler_ptr		
832	0x22FFB00	0xA00	small_key (fmt<<8|minor)	0xA	0x0
834	0x22FFB08	0x118EFC0	text_handler_ptr		
838	0x22FFB18	0x1201	small_key (fmt<<8|minor)	0x12	0x1
840	0x22FFB20	0x118EFE0	text_handler_ptr		
844	0x22FFB30	0xA02	small_key (fmt<<8|minor)	0xA	0x2
846	0x22FFB38	0x118EFD0	text_handler_ptr		
850	0x22FFB48	0x1203	small_key (fmt<<8|minor)	0x12	0x3
852	0x22FFB50	0x118EFF0	text_handler_ptr		
856	0x22FFB60	0x500	small_key (fmt<<8|minor)	0x5	0x0
858	0x22FFB68	0x118DF10	text_handler_ptr		
862	0x22FFB78	0x505	small_key (fmt<<8|minor)	0x5	0x5
864	0x22FFB80	0x118DF00	text_handler_ptr		
868	0x22FFB90	0x503	small_key (fmt<<8|minor)	0x5	0x3
870	0x22FFB98	0x118D3F0	text_handler_ptr		
876	0x22FFBB0	0x300	small_key (fmt<<8|minor)	0x3	0x0
878	0x22FFBB8	0x118E090	text_handler_ptr		
888	0x22FFBE0	0xB07	small_key (fmt<<8|minor)	0xB	0x7
890	0x22FFBE8	0x118BF20	text_handler_ptr		
894	0x22FFBF8	0x508	small_key (fmt<<8|minor)	0x5	0x8
