table_index	arch_index	sm_id	sm_string	note
0	7	30	sm_30	
1	8	32	sm_32	
2	9	35	sm_35	
3	10	37	sm_37	
4	11	50	sm_50	
5	12	52	sm_52	
6	13	53	sm_53	
7	14	60	sm_60	
8	15	61	sm_61	
9	16	62	sm_62	
10	17	70	sm_70	
11	18	72	sm_72	
12	19	73	sm_73	
13	20	75	sm_75	
14	21	80	sm_80	
15	22	0		null separator
16	23	86	sm_86	
17	24	87	sm_87	
18	25	88	sm_88	
19	26	89	sm_89	
20	27	90	sm_90	
21	28	100	sm_100	
22	29	101	sm_101	
23	30	110	sm_110	
24	31	0		null separator
25	32	103	sm_103	
26	33	120	sm_120	
27	34	121	sm_121	
