# Scheduling-builder seed table @ VA 0x1D16148, 50 x {u32 sm_id,u32 gen_code,u32 variant}
# gen_code = INTERNAL scheduler-model generation index (NOT marketing arch). Binary-derived groupings below.
# 3 segments: [0-7] blackwell/thor subset, [8-17] hopper/blackwell subset, [18-49] full arch list
table_index	sm_id	sm_string	gen_code	variant	gen_meaning
0	0		0	0	none/pad
1	0		0	0	none/pad
2	100	sm_100	8	8	sched-gen8 (Hopper+Blackwell)
3	101	sm_101	8	8	sched-gen8 (Hopper+Blackwell)
4	103	sm_103	8	8	sched-gen8 (Hopper+Blackwell)
5	110	sm_110	9	0	sched-gen9 (Thor sm_110)
6	120	sm_120	8	8	sched-gen8 (Hopper+Blackwell)
7	121	sm_121	8	8	sched-gen8 (Hopper+Blackwell)
8	0		0	0	none/pad
9	0		0	0	none/pad
10	90	sm_90	8	0	sched-gen8 (Hopper+Blackwell)
11	100	sm_100	8	6	sched-gen8 (Hopper+Blackwell)
12	101	sm_101	8	6	sched-gen8 (Hopper+Blackwell)
13	103	sm_103	8	8	sched-gen8 (Hopper+Blackwell)
14	110	sm_110	9	0	sched-gen9 (Thor sm_110)
15	120	sm_120	8	7	sched-gen8 (Hopper+Blackwell)
16	121	sm_121	8	8	sched-gen8 (Hopper+Blackwell)
17	0		0	0	none/pad
18	10	sm_10	1	0	sched-gen1 (Tesla sm_1x)
19	11	sm_11	1	0	sched-gen1 (Tesla sm_1x)
20	12	sm_12	1	2	sched-gen1 (Tesla sm_1x)
21	13	sm_13	1	2	sched-gen1 (Tesla sm_1x)
22	20	sm_20	2	0	sched-gen2 (Fermi sm_2x)
23	21	sm_21	2	0	sched-gen2 (Fermi sm_2x)
24	30	sm_30	3	0	sched-gen3 (Kepler sm_30/35)
25	32	sm_32	4	0	sched-gen4 (Kepler-low+Maxwell)
26	35	sm_35	3	1	sched-gen3 (Kepler sm_30/35)
27	37	sm_37	4	1	sched-gen4 (Kepler-low+Maxwell)
28	50	sm_50	4	0	sched-gen4 (Kepler-low+Maxwell)
29	52	sm_52	4	1	sched-gen4 (Kepler-low+Maxwell)
30	53	sm_53	4	2	sched-gen4 (Kepler-low+Maxwell)
31	60	sm_60	5	0	sched-gen5 (Pascal sm_6x)
32	61	sm_61	5	0	sched-gen5 (Pascal sm_6x)
33	62	sm_62	5	0	sched-gen5 (Pascal sm_6x)
34	70	sm_70	6	0	sched-gen6 (Volta+Turing)
35	72	sm_72	6	1	sched-gen6 (Volta+Turing)
36	75	sm_75	6	3	sched-gen6 (Volta+Turing)
37	80	sm_80	7	0	sched-gen7 (Ampere/Ada/Hopper-as-A)
38	82	sm_82	6	2	sched-gen6 (Volta+Turing)
39	86	sm_86	7	1	sched-gen7 (Ampere/Ada/Hopper-as-A)
40	87	sm_87	7	4	sched-gen7 (Ampere/Ada/Hopper-as-A)
41	88	sm_88	7	3	sched-gen7 (Ampere/Ada/Hopper-as-A)
42	89	sm_89	7	8	sched-gen7 (Ampere/Ada/Hopper-as-A)
43	90	sm_90	7	8	sched-gen7 (Ampere/Ada/Hopper-as-A)
44	100	sm_100	8	6	sched-gen8 (Hopper+Blackwell)
45	101	sm_101	8	6	sched-gen8 (Hopper+Blackwell)
46	103	sm_103	8	8	sched-gen8 (Hopper+Blackwell)
47	110	sm_110	9	0	sched-gen9 (Thor sm_110)
48	120	sm_120	8	7	sched-gen8 (Hopper+Blackwell)
49	121	sm_121	8	8	sched-gen8 (Hopper+Blackwell)
