sm_id	sm_string	arch_family	version_code_base	sched_gen_code
30	sm_30	Kepler	(no base code in table)	3
32	sm_32	Kepler	(no base code in table)	4
35	sm_35	Kepler	(no base code in table)	3
37	sm_37	Kepler	(no base code in table)	4
50	sm_50	Maxwell	0x5000	4
52	sm_52	Maxwell	(no base code in table)	4
53	sm_53	Maxwell	(no base code in table)	4
60	sm_60	Pascal	0x6000	5
61	sm_61	Pascal	(no base code in table)	5
62	sm_62	Pascal	(no base code in table)	5
70	sm_70	Volta	(no base code in table)	6
72	sm_72	Volta	(no base code in table)	6
73	sm_73	Volta	(no base code in table)	
75	sm_75	Turing	(no base code in table)	6
80	sm_80	Ampere	0x8000	7
86	sm_86	Ampere	(no base code in table)	7
87	sm_87	Ampere	(no base code in table)	7
88	sm_88	Ampere	(no base code in table)	7
89	sm_89	Ada	(no base code in table)	7
90	sm_90	Hopper	0x9000	8
100	sm_100	Blackwell	(no base code in table)	8
101	sm_101	Blackwell	(no base code in table)	8
110	sm_110	Thor	(no base code in table)	9
103	sm_103	Blackwell	(no base code in table)	8
120	sm_120	Blackwell	(no base code in table)	8
121	sm_121	Blackwell	(no base code in table)	8
