action_dec	token_id_dec	token_id_hex	subcode_dec	target_addr_hex	notes
0				0x723a7d	SPECIAL: char/default catch-all: stores last char, jmp 0x720f81 (re-dispatch trailing-context loop); returns single-char token via 0x720f81 path
1				0x723993	SPECIAL: comment/whitespace-style rule: calls 0x720ba0 (string-intern), no token (continue scan) | kw=.DEFINE $$,.DEFINE A,.DEFINE A$
2	364	0x16c		0x723989	kw=.MACRO
3				0x72397f	SPECIAL: calls 0x71f630 helper then jmp 0x723948 (continue scan, no token) | kw=.IF
4	339	0x153		0x723add	kw=.version 0.0
5	340	0x154		0x723ad3	kw=.target
6	341	0x155		0x723ac9	kw=.address_size
7	344	0x158		0x723abf	kw=.section
8	345	0x159		0x723ab5	kw=.file
9	346	0x15a		0x723aab	kw=.loc
10	350	0x15e		0x723aa1	kw=inlined_at
11	351	0x15f		0x723a97	kw=function_name
12	383	0x17f		0x723498	kw=.metadata_section
13	385	0x181		0x72348e	kw=.metadata_index
14	384	0x180		0x723484	kw=.metadata
15	347	0x15b		0x72347a	kw=.pragma
16	349	0x15d		0x723470	kw=.alias
17	334	0x14e		0x723466	kw=.align
18	335	0x14f		0x72345c	kw=.allocno
19	336	0x150		0x723452	kw=.retaddr_allocno
20	342	0x156		0x723448	kw=.scratch
21	333	0x14d		0x72343e	kw=.func
22	276	0x114		0x723434	kw=.entry
23	279	0x117		0x723b77	kw=.maxnreg
24	280	0x118		0x723b6d	kw=.maxntid
25	281	0x119		0x723b63	kw=.maxnctapersm
26	282	0x11a		0x723b59	kw=.minnctapersm
27	283	0x11b		0x723b4f	kw=.reqntid
28	374	0x176		0x7235d8	kw=.noreturn
29	375	0x177		0x7235ce	kw=.unique
30	376	0x178		0x7235c4	kw=.local_maxnreg
31	378	0x17a		0x7235ba	kw=.abi_preserve
32	379	0x17b		0x7235b0	kw=.abi_preserve_control
33	380	0x17c		0x7235a6	kw=.abi_preserve_after
34	284	0x11c		0x72359c	kw=.reqnctapercluster
35	285	0x11d		0x723592	kw=.explicitcluster
36	287	0x11f		0x723588	kw=.blocksareclusters
37	286	0x11e		0x72357e	kw=.maxclusterrank
38	271	0x10f		0x723574	kw=.extern
39	272	0x110		0x72356a	kw=.visible
40	273	0x111		0x723560	kw=.weak
41	274	0x112		0x723556	kw=.common
42	377	0x179		0x72354c	kw=.hidden
43	277	0x115		0x723542	kw=.FORCE_INLINE
44	278	0x116		0x723538	kw=.proto
45	319	0x13f		0x72352e	kw=.ptr
46	372	0x174		0x723524	kw=.attribute
47	373	0x175		0x72351a	kw=.managed
48	381	0x17d		0x723510	kw=.unified
49	382	0x17e		0x723506	kw=.reserved
50	369	0x171		0x7234fc	kw=.branchtargets
51	370	0x172		0x7234f2	kw=.calltargets
52	371	0x173		0x7234e8	kw=.callprototype
53	264	0x108		0x7234de	kw=WARP_SZ
54	265	0x109		0x7234d4	kw=<<
55	266	0x10a		0x7234ca	kw=>>
56	267	0x10b		0x7234c0	kw===
