# RT-core (TTU) BVH byte format — cross-validated field map + concrete test vectors.
# Recovered from analysis of the RT runtime/test binaries + the BVH builder + nvdisasm SASS.
# Three independent producers agree on every layout: the hardware diag RT-core test
# (explicit byte construction + known geometry oracle), the OptiX wide-BVH builder
# (bit-field spec headers w/ sizeof asserts), and the DXR->rtcore acceleration-structure
# builder. Byte layouts + test vectors are bare interface facts. Confidence HIGH unless noted.
#
# Bit offsets are within the named struct (LE bit packing); byte = bit/8. Word layout = u32 reg[].
# Columns: struct  byte_off  bit_off  size_bits  field  type  meaning  source_agreement  confidence
struct	byte_off	bit_off	size_bits	field	type	meaning	source_agreement	confidence
#
# ============ COMPLET (compressed BVH node) — 128 bytes, 128B aligned, 32B header + 11/12x 8B child ============
complet	0	0	4	format	u4	child format (0=Standard,1=MotionBlur,2=MultiBox,3=MotionBlurMultiBox)	diag+optix+dxr	high
complet	0	4	1	lptr	u1	long-ptr mode: last child slot holds 17b high ptr bits instead of a box	diag+optix+dxr	high
complet	0	5	1	relPtr	u1	leaf pointer is relative(offset) vs absolute	diag+optix+dxr	high
complet	0	6	2	leafType	u2	0=ItemRange 1=TriRange 2=InstNode 3=DisplacedMicromesh	diag+optix+dxr	high
complet	1	8	8	xscl	u8	X scale exponent: dx=bitcast(xscl<<23); placed in FP32 exponent field	diag+optix+dxr	high
complet	2	16	8	yscl	u8	Y scale exponent	diag+optix+dxr	high
complet	3	24	8	zscl	u8	Z scale exponent	diag+optix+dxr	high
complet	4	32	32	xmin	f32	box origin/anchor X (FP31 w/ 3b shearExpOffset in LSBs when leafType=3)	diag+optix+dxr	high
complet	8	64	32	ymin	f32	box origin/anchor Y	diag+optix+dxr	high
complet	12	96	32	zmin	f32	box origin/anchor Z	diag+optix+dxr	high
complet	16	128	32	itemBaseLo/leafPtrLo	u32	low bits of leaf/item base ptr (128B-aligned: bits[6:0]=0)	diag+optix+dxr	high
complet	20	160	15/17	itemBaseHi/leafPtrHi	u15/u17	high bits of leaf/item base ptr (15b item, 17b leaf)	diag+optix+dxr	high
complet	20	165	1	shearEnable	u1	misc[17]: sheared-AABB complet enable (Ada)	diag+optix	high
complet	20	161	4	shearSelect	u4	misc[16:13]: shear axis-pair select (when shearEnable)	diag+optix	high
complet	20	157	4	shearCoeff0	u4	misc[12:9]: shear coefficient 0	diag+optix	high
complet	20	161	4	shearCoeff1	u4	misc[8:5]: shear coefficient 1	diag+optix	high
complet	23	184	4	firstTriIdx	u4	misc[27:24]: first triangle index in leaf range	diag+optix+dxr	high
complet	23	188	4	parentLeafIdx	u4	misc[31:28]: this complet's index within parent (0xF=root)	diag+optix+dxr	high
complet	24	192	32	parentOfs/parentPtrLo	u32/s32	parent ptr: lptr=0 signed rel ofs (bits[38:7], <<7); lptr=1 abs low 32b	diag+optix+dxr	high
complet	28	224	32	childOfs/childPtrLo	u32/s32	first-child ptr: lptr=0 signed rel ofs (<<7=128B); lptr=1 abs low 32b	diag+optix+dxr	high
complet	120	960	17	parentPtrHi	u17	(longPtr u64@120 bits[16:0]) high bits of abs parent ptr	diag+optix+dxr	high
complet	120	992	17	childPtrHi	u17	(longPtr u64@120 bits[48:32]) high bits of abs child ptr	diag+optix+dxr	high
# ---- complet child record (8 bytes), 11 records @ byte 32..119 (slot 11 reused as longPtr hi when lptr=1) ----
complet.child	0	0	8	xlo	u8	quantized child AABB lower X (256 buckets/axis)	diag+optix+dxr	high
complet.child	1	8	8	xhi	u8	quantized child AABB upper X	diag+optix+dxr	high
complet.child	2	16	8	ylo	u8	quantized child AABB lower Y	diag+optix+dxr	high
complet.child	3	24	8	yhi	u8	quantized child AABB upper Y	diag+optix+dxr	high
complet.child	4	32	8	zlo	u8	quantized child AABB lower Z	diag+optix+dxr	high
complet.child	5	40	8	zhi	u8	quantized child AABB upper Z	diag+optix+dxr	high
complet.child	6	48	8	rval	u8	per-child ray-op/range value byte	diag+optix+dxr	high
complet.child	7	56	8	data	u8	leaf-descriptor byte (union by leafType; see notes)	diag+optix+dxr	high
# child.data byte (offset 7) decode per leafType:
complet.child.data	7	56	3	lines	u3	TriRange leaf: number of cache lines touched (bits[2:0])	diag+optix	high
complet.child.data	7	59	4	triIdx	u4	TriRange leaf: triangle index in first line (bits[6:3])	diag+optix	high
complet.child.data	7	63	1	alpha	u1	TriRange leaf: alpha bit (bit7)	diag+optix	high
complet.child.data	7	56	6	count/size	u6	ItemRange item count / InstNode size (bits[5:0])	optix+dxr	high
complet.child.data	7	62	1	leafBit	u1	bit6: this child is a leaf	optix+dxr	high
# empty child sentinel: xlo=0xFF xhi=0x00 ylo=0xFF yhi=0x00 zlo=0xFF zhi=0x00 (lo>hi => degenerate box)
#
# ============ child AABB dequantization (decode math — verified) ============
decode	-	-	-	dx	formula	dx = bitcast_f32(xscl<<23) ; lox=xmin+dx*xlo/256 ; hix=xmin+dx*(xhi+1)/256	diag+optix+dxr	high
decode	-	-	-	encode	formula	scl = exp(xmax-xmin) ; +1 if mantissa!=0 (round up so dx>=len, box always encloses)	diag	high
#
# ============ TEST VECTOR A: root-AABB scale exponent (concrete) ============
testvec.A	-	-	-	rootAABB	geometry	BVH-test root AABB = [-4/3,-4/3,-4/3, +4/3,+4/3,+4/3] (axis len=8/3~=2.667)	diag	high
testvec.A	-	-	-	xscl	value	len=2.667 -> bitcast=0x402AAAAB raw_exp=128 mantissa!=0 -> xscl=0x81(129)	diag	high
testvec.A	-	-	-	dx	value	dx = 2^(129-127) = 4.0 (>= 2.667, conservative)	diag	high
testvec.A	-	-	-	sanityBox	geometry	sanity-check bbox = [-1,-1,-1, 1,1,1] (len=2.0 exact)	diag	high
testvec.A	-	-	-	scl_exact	value	len=2.0 -> bitcast=0x40000000 exp=128 mantissa=0 -> scl=0x80(128) dx=2.0 exact	diag	high
#
# ============ TEST VECTOR B: child quantization (+X half of root) ============
testvec.B	-	-	-	childBox	geometry	child = +X half of root: X=[0, +4/3] (origin xmin=-4/3, dx=4.0)	diag	high
testvec.B	-	-	-	xlo	value	xlo = floor(256*(0-(-4/3))/4) = 85 = 0x55	diag	high
testvec.B	-	-	-	xhi	value	xhi = ceil(256*(4/3-(-4/3))/4 - 1) = 170 = 0xAA	diag	high
testvec.B	-	-	-	decoded	value	decode X = [-0.00521, 1.33854] conservatively encloses target [0, 1.333]	diag	high
#
# ============ TEST VECTOR C: hit record (Triangle hit, 16B = 4x u32) ============
testvec.C	-	-	-	input	geometry	synth hit: triId=7 t=2.5 u=0.25 v=0.5 alpha=0 facing=1	diag	high
testvec.C	-	-	-	bytes	value	data=[0x00000007, 0x40200000, 0xBE800000, 0x3F000000] (LE u32)	diag	high
testvec.C	-	-	-	decode	value	d3>>31=0 -> Triangle; triId=d0; t=bitcast(d1&0x7FFFFFFF); u=bitcast(d2&..); v=bitcast(d3&..); alpha=d1>>31; facing=d2>>31	diag	high
testvec.C	-	-	-	miss	value	miss: d3=0xF0000000 (top nibble 0b1111 => HitType::None)	diag	high
testvec.C	-	-	-	trirange	value	trirange hit: d3 nibble 0b1001 bit27=0 => TriRange	diag	high
testvec.C	-	-	-	error	value	error: d3=0xE0000003 nibble 0b1110 errorCode=d3&0x3F => Error	diag	high
#
# ============ HIT RECORD (TTUResData, 16 bytes = data[0..3]) ============
