struct	field	byte_offset	bit_offset	bits	type	meaning	source_of_evidence
TTUComplet	header	0	0	256	TTUCompletHeader	32-byte node header (quantization + ptrs + leaf type)	rtcore-driver-struct
TTUComplet	child[0..11]	32	256	768	TTUCompletChild[12]	twelve 8-byte child records (slot 11 = long-ptr-hi when LPTR=1)	rtcore-driver-struct
TTUCompletHeader	FORMAT	0	0	4	uint	node format: 0=AABB(only base-valid),1=motion,2=multibox,3=both; reserved=>err0x30	rtcore-driver-struct + validator
TTUCompletHeader	LPTR	0	4	1	bool	0=relative 32b ptrs in header; 1=long-ptr (hi17 in child[11])	rtcore-driver-struct
TTUCompletHeader	RELPTR	0	5	1	bool	1=leaf/item ptr relative to this complet addr; 0=absolute	rtcore-driver-struct
TTUCompletHeader	LEAFTYPE	0	6	2	enum	0=ItemRange,1=TriRange,2=InstanceNode,3=reserved/DMM; reserved=>err0x31	rtcore-driver-struct
TTUCompletHeader	XSCL	1	8	8	uint	x quantization exponent: dx=2^(XSCL-127)/256	rtcore-driver-struct + dequantize-routine
TTUCompletHeader	YSCL	2	16	8	uint	y quantization exponent	rtcore-driver-struct + dequantize-routine
TTUCompletHeader	ZSCL	3	24	8	uint	z quantization exponent	rtcore-driver-struct + dequantize-routine
TTUCompletHeader	XMIN	4	32	32	FP32	x quantization origin (box low corner)	rtcore-driver-struct + dequantize-routine
TTUCompletHeader	YMIN	8	64	32	FP32	y quantization origin	rtcore-driver-struct + dequantize-routine
TTUCompletHeader	ZMIN	12	96	32	FP32	z quantization origin	rtcore-driver-struct + dequantize-routine
TTUCompletHeader	ITEMBASELO/LEAFPTRLO	16	128	32	uint	low 32 bits of leaf-array / item base pointer	rtcore-driver-struct + addr-resolver
TTUCompletHeader	ITEMBASEHI	20	160	15	uint	item-base high bits (ItemRange)	rtcore-driver-struct + addr-resolver
TTUCompletHeader	LEAFPTRHI	20	160	17	uint	leaf-ptr high bits (TriRange/InstanceNode)	rtcore-driver-struct + addr-resolver
TTUCompletHeader	FORCERAYOPALWAYS	22	180	1	bool	force ray-op predicate to always-pass for children	rtcore-driver-struct
TTUCompletHeader	MULTIBOXCOUNT	22	181	3	uint	multi-box child grouping (feature)	rtcore-driver-struct
TTUCompletHeader	FIRSTTRIIDX	23	184	4	uint	starting local triangle index for first TriRange leaf	rtcore-driver-struct + leaf-tri-range-accessor
TTUCompletHeader	PARENTLEAFIDX	23	188	4	uint	parent child-slot back-ref; 0xF=root	rtcore-driver-struct + validator(err0x33)
TTUCompletHeader	PARENTOFS	24	192	32	S32	signed parent-complet offset (<<7 bytes) when LPTR=0	rtcore-driver-struct + addr-resolver
TTUCompletHeader	PARENTPTRLO	24	192	32	uint	parent-ptr low 32b when LPTR=1	rtcore-driver-struct
TTUCompletHeader	CHILDOFS	28	224	32	S32	signed child-complet base offset (<<7 bytes); must be nonzero(err0x34)	rtcore-driver-struct + validator
TTUCompletHeader	CHILDPTRLO	28	224	32	uint	child-ptr low 32b when LPTR=1	rtcore-driver-struct
TTUCompletChild	XLO	0	0	8	uint	quantized x low endpoint	rtcore-driver-struct
TTUCompletChild	XHI	1	8	8	uint	quantized x high endpoint (decoded as XHI+1)	rtcore-driver-struct + dequantize-routine
TTUCompletChild	YLO	2	16	8	uint	quantized y low endpoint	rtcore-driver-struct
TTUCompletChild	YHI	3	24	8	uint	quantized y high endpoint (YHI+1)	rtcore-driver-struct + dequantize-routine
TTUCompletChild	ZLO	4	32	8	uint	quantized z low endpoint; 0xFF+ZHI=0 => empty child	rtcore-driver-struct + isEmpty-sentinel
TTUCompletChild	ZHI	5	40	8	uint	quantized z high endpoint (ZHI+1)	rtcore-driver-struct + dequantize-routine
TTUCompletChild	RVAL	6	48	8	uint	visibility/ray-op value tested vs ray instance mask	rtcore-driver-struct + validator
TTUCompletChild	DATA	7	56	8	TTUCompletChildData	child type byte (leaf bit + per-type payload)	rtcore-driver-struct
TTUCompletChild	PARENTPTRHI	0	0	17	uint	parent-ptr high 17b (only when this is slot 11 + LPTR=1)	rtcore-driver-struct
TTUCompletChild	CHILDPTRHI	4	32	17	uint	child-ptr high 17b (only when slot 11 + LPTR=1)	rtcore-driver-struct
TTUCompletChildData	LEAF_BIT	0	6	1	bool	1=child is a leaf (LEAF_MASK bits0-6 nonzero => leaf)	rtcore-driver-struct
TTUCompletChildData_TriRange	LINES	0	0	3	uint	block-index delta of the triangle range (0=single block)	rtcore-driver-struct + builder-constructor
TTUCompletChildData_TriRange	TRIIDX	0	3	4	uint	exclusive end local triangle index of the range	rtcore-driver-struct + builder-constructor
TTUCompletChildData_TriRange	ALPHA	0	7	1	bool	0=opaque, 1=alpha-textured	rtcore-driver-struct
TTUCompletChildData_InstanceNode	SIZE	0	0	6	uint	instance-node size in 64-byte units	rtcore-driver-struct + addr-resolver
TTUCompletChildData_InstanceNode	INV	0	7	1	bool	invert ray-op result	rtcore-driver-struct
TTUCompletChildData_ItemRange	COUNT	0	0	6	uint	number of items in this leaf range	rtcore-driver-struct
TTUCompletChildData_ItemRange	INV	0	7	1	bool	invert ray-op result	rtcore-driver-struct
TTUTriangleBlock	v0	0	0	96	FP32x3	(uncompressed) triangle0 vertex0 xyz	rtcore-driver-block-writer
TTUTriangleBlock	v1	12	96	96	FP32x3	(uncompressed) triangle0 vertex1 xyz	rtcore-driver-block-writer
TTUTriangleBlock	v2	24	192	96	FP32x3	(uncompressed) triangle0 vertex2 xyz	rtcore-driver-block-writer
TTUTriangleBlock	TIDBASE	120	960	32	uint	(uncompressed) triangle0 userTriangleID; tri t at bit 960-32t	rtcore-driver-block-writer
TTUTriangleBlock	HEADER	124	992	32	TTUTriangleBlockHeader	block header (mode/count/flags)	rtcore-driver-struct
